Name,Descriptions,Keywords,Challenge,meta,Armor Class,Hit Points,Speed,STR,STR_mod,DEX,DEX_mod,CON,CON_mod,INT,INT_mod,WIS,WIS_mod,CHA,CHA_mod,Saving Throws,Skills,Senses,Languages,Traits,Actions,Legendary Actions,Damage Immunities,Condition Immunities,Damage Resistances,Damage Vulnerabilities,Reactions
Ghoul,"The Ghoul is a monster that lurks in the dark, waiting to ambush its unsuspecting prey. It is a fearsome creature, with sharp claws and teeth that can rend flesh from bone. It is said that the Ghoul is born from the souls of the damned, and that it feeds on the living to sustain itself. Beware the Ghoul, for it is a deadly foe.","Horror , Undead , Monster , Dark",1 (200 Souls),"Medium undead,",12,22 (5d8),30 ft.,13,(+1),15,(+2),10,(+0),7,(-2),10,(+0),6,(-2),,,"Darkvision 60 ft., Passive Perception 10",Common,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +2 to hit, reach 5 ft., one creature. <em>Hit:</em> 9 (2d6 + 2) piercing damage. </p><p><em><strong>Claws.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (2d4 + 2) slashing damage. If the target is a creature other than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.</p>",,Poison,"Charmed, Exhaustion, Poisoned",,,
Giant Ape,"The Giant Ape is a massive, hulking creature that towers over most other enemies in the game. It is incredibly strong, and can easily crush players with its powerful attacks. It is also very fast and agile for its size, making it a very dangerous opponent.","Strength , Speed , Agility , Size","7 (2,900 Souls)",Huge beast,12,157 (15d12 + 60),"40 ft., climb 40 ft.",23,(+6),14,(+2),18,(+4),7,(-2),12,(+1),7,(-2),,"Athletics +9, Perception +4",Passive Perception 14,--,,"<p><em><strong>Multiattack.</strong></em> The ape makes two fist attacks. </p><p><em><strong>Fist.</strong></em> <em>Melee Weapon Attack:</em> +9 to hit, reach 10 ft., one target. <em>Hit:</em> 22 (3d10 + 6) bludgeoning damage. </p><p><em><strong>Rock.</strong></em> <em>Ranged Weapon Attack:</em> +9 to hit, range 50/100 ft., one target. <em>Hit:</em> 30 (7d6 + 6) bludgeoning damage.</p>",,,,,,
Giant Badger,"The Giant Badger is a massive creature that towers over most other enemies in the game. It is incredibly aggressive and will charge at the player, trying to swipe them with its massive claws. It is difficult to take down, but if the player can avoid its attacks and get in some good hits, they will eventually be victorious.","Aggressive , Massive , Difficult to take down , Dangerous",1/4 (50 Souls),Medium beast,10,13 (2d8 + 4),"30 ft., burrow 10 ft.",13,(+1),10,(+0),15,(+2),2,(-4),12,(+1),5,(-3),,,"Darkvision 30 ft., Passive Perception 11",--,<p><em><strong>Keen Smell.</strong></em> The badger has advantage on Wisdom (Perception) checks that rely on smell.</p>,"<p><em><strong>Multiattack.</strong></em> The badger makes two attacks: one with its bite and one with its claws. </p><p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) piercing damage. </p><p><em><strong>Claws.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (2d4 + 1) slashing damage.</p>",,,,,,
Giant Bat,"The Giant Bat is a large, flying creature that attacks by swooping down on its prey and biting them with its sharp teeth. It is a dark, shadowy creature that is difficult to see in the darkness of the caves where it lives.","Dark and mysterious creature , Flying creature , Biting creature , Cave",1/4 (50 Souls),Large beast,13,22 (4d10),"10 ft., fly 60 ft.",15,(+2),16,(+3),11,(+0),2,(-4),12,(+1),6,(-2),,,"Blindsight 60 ft., Passive Perception 11",--,<p><em><strong>Echolocation.</strong></em> The bat can't use its blindsight while deafened.</p><p><em><strong>Keen Hearing.</strong></em> The bat has advantage on Wisdom (Perception) checks that rely on hearing.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one creature. <em>Hit:</em> 5 (1d6 + 2) piercing damage.</p>",,,,,,
Giant Boar,"The Giant Boar is a massive creature that is covered in thick, bristly fur. It has two large tusks that protrude from its mouth, and its eyes are small and beady. It is a fearsome creature that is capable of charging at its enemies with great force.","Animal , Beast , Fearsome , Nature",2 (450 Souls),Large beast,12 (Natural Armor),42 (5d10 + 15),40 ft.,17,(+3),10,(+0),16,(+3),2,(-4),7,(-2),5,(-3),,,Passive Perception 8,--,"<p><em><strong>Charge.</strong></em> If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. </p><p><em><strong>Relentless (Recharges after a Short or Long Rest).</strong></em> If the boar takes 10 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.</p>","<p><em><strong>Tusk.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 10 (2d6 + 3) slashing damage.</p>",,,,,,
Giant Centipede,"The Giant Centipede is a massive creature that lurks in the dark, dank depths of the world. It is a fearsome predator, preying on anything that crosses its path. The Giant Centipede is a fearsome foe, and will not hesitate to kill anything that stands in its way.","Monsters , Prey , Darkness , Fear",1/4 (50 Souls),Small beast,13 (Natural Armor),4 (1d6 + 1),"30 ft., climb 30 ft.",5,(-3),14,(+2),12,(+1),1,(-5),7,(-2),3,(-4),,,"Blindsight 30 ft., Passive Perception 8",--,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one creature. <em>Hit:</em> 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.</p>",,,,,,
Giant Constrictor Snake,This monster would be a giant snake that would constrict its prey. It would be a very powerful and dangerous creature that would be difficult to defeat.,"Danger , Strength , Survival , Size",2 (450 Souls),Huge beast,12,60 (8d12 + 8),"30 ft., swim 30 ft.",19,(+4),14,(+2),12,(+1),1,(-5),10,(+0),3,(-4),,Perception +2,"Blindsight 10 ft., Passive Perception 12",--,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 10 ft., one creature. <em>Hit:</em> 11 (2d6 + 4) piercing damage. </p><p><em><strong>Constrict.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 5 ft., one creature. <em>Hit:</em> 13 (2d8 + 4) bludgeoning damage, and the target is grappled (escape DC 16). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.</p>",,,,,,
Giant Crab,"The Giant Crab is a massive creature that lurks in the dark depths of the ocean. It has a hard shell that protects it from most attacks, and its powerful claws can crush anything that gets in its way.","Giant Crab,, Monster, , Threat, , Danger",1/8 (25 Souls),Medium beast,15 (Natural Armor),13 (3d8),"30 ft., swim 30 ft.",13,(+1),15,(+2),11,(+0),1,(-5),9,(-1),3,(-4),,Stealth +4,"Blindsight 30 ft., Passive Perception 9",--,<p><em><strong>Amphibious.</strong></em> The crab can breathe air and water.</p>,"<p><em><strong>Claw.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) bludgeoning damage, and the target is grappled (escape DC 11). The crab has two claws, each of which can grapple only one target.</p>",,,,,,
Giant Crocodile,"The Giant Crocodile is a massive creature that lurks in the swamps and marshes of the Dark Souls world. This reptilian behemoth is feared by all who know of its existence, for its size and strength are unmatched. Those foolish enough to venture into its territory quickly become its prey, as the Giant Crocodile ruthlessly devours anything that crosses its path.","Monster , Swamps , Marshes , Dark Souls","5 (1,800 Souls)",Huge beast,14 (Natural Armor),85 (9d12 + 27),"30 ft., swim 50 ft.",21,(+5),9,(-1),17,(+3),2,(-4),10,(+0),7,(-2),,Stealth +5,Passive Perception 10,--,<p><em><strong>Hold Breath.</strong></em> The crocodile can hold its breath for 30 minutes.</p>,"<p><em><strong>Multiattack.</strong></em> The crocodile makes two attacks: one with its bite and one with its tail. </p><p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +8 to hit, reach 5 ft., one target. <em>Hit:</em> 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the crocodile can't bite another target. </p><p><em><strong>Tail.</strong></em> <em>Melee Weapon Attack:</em> +8 to hit, reach 10 ft., one target not grappled by the crocodile. <em>Hit:</em> 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.</p>",,,,,,
Giant Eagle,"The Giant Eagle is a massive bird that can be found soaring through the skies of Lordran. It has a wingspan that is wider than most men are tall, and its talons are as sharp as blades. This creature is feared by many, as it is known to swoop down and snatch up unsuspecting victims in its powerful claws.","Giant Eagle , Lordran , Sky , Wildlife",1 (200 Souls),Large beast,13,26 (4d10 + 4),"10 ft., fly 80 ft.",16,(+3),17,(+3),13,(+1),8,(-1),14,(+2),10,(+0),,Perception +4,Passive Perception 14,Giant Eagle understands Common and Auran but can't speak them,<p><em><strong>Keen Sight.</strong></em> The eagle has advantage on Wisdom (Perception) checks that rely on sight.</p>,"<p><em><strong>Multiattack.</strong></em> The eagle makes two attacks: one with its beak and one with its talons. </p><p><em><strong>Beak.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (1d6 + 3) piercing damage.</p><p> <em><strong>Talons.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 10 (2d6 + 3) slashing damage.</p>",,,,,,
Giant Elk,The Giant Elk is a massive creature that towers over most other creatures in the game. It is covered in thick fur that protects it from the cold and its antlers are massive and sharp. It is a peaceful creature but will attack if provoked.,"Nature , Survival , Strength , Courage",2 (450 Souls),Huge beast,14 (Natural Armor),42 (5d12 + 10),60 ft.,19,(+4),16,(+3),14,(+2),7,(-2),14,(+2),10,(+0),,Perception +4,Passive Perception 14,"Elvish, Giant Elk and Sylvan but can't speak them","<p><em><strong>Charge.</strong></em> If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.</p>","<p><em><strong>Ram.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 10 ft., one target. <em>Hit:</em> 11 (2d6 + 4) bludgeoning damage. </p><p><em><strong>Hooves.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 5 ft., one prone creature. <em>Hit:</em> 22 (4d8 + 4) bludgeoning damage.</p>",,,,,,
Giant Fire Beetle,This monster would be a giant beetle made of fire. It would be extremely aggressive and would attack anything that came near it. It would be very difficult to kill and would be a major threat to any player that encountered it.,"Fire , Beetle , Aggressive , Threat",0 (10 Souls),Small beast,13 (Natural Armor),4 (1d6 + 1),30 ft.,8,(-1),10,(+0),12,(+1),1,(-5),7,(-2),3,(-4),,,"Blindsight 30 ft., Passive Perception 8",--,<p><em><strong>Illumination.</strong></em> The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 feet.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +1 to hit, reach 5 ft., one target. <em>Hit:</em> 2 (1d6 âˆ’ 1) slashing damage.</p>",,,,,,
Giant Frog,"This monster would be a giant frog-like creature that would be found in dark, damp areas. It would attack by leaping at its prey and trying to swallow them whole.","Dark and damp areas , Jumps at prey , Swallows prey whole , Frog-like creature",1/4 (50 Souls),Medium beast,11,18 (4d8),"30 ft., swim 30 ft.",12,(+1),13,(+1),11,(+0),2,(-4),10,(+0),3,(-4),,"Perception +2, Stealth +3","Darkvision 30 ft., Passive Perception 12",--,"<p><em><strong>Amphibious.</strong></em> The frog can breathe air and water. </p><p><em><strong>Standing Leap.</strong></em> The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) piercing damage, and the target is grappled (escape DC 11). Until this grapple ends, the target is restrained, and the frog can't bite another target. </p><p><em><strong>Swallow.</strong></em> The frog makes one bite attack against a Small or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the frog, and it takes 5 (2d4) acid damage at the start of each of the frog's turns. The frog can have only one target swallowed at a time. If the frog dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.</p>",,,,,,
Giant Goat,"The Giant Goat is a massive creature that towers over most other enemies in the game. It is incredibly strong, and its horns can impale and kill even the most powerful of foes. It is also very fast, and its hooves are deadly weapons. This creature is feared by all who know of it, and it is said that only the most powerful of warriors can hope to defeat it.","Monsters , Strength , Speed , Fearsome",1/2 (100 Souls),Large beast,11 (Natural Armor),19 (3d10 + 3),40 ft.,17,(+3),11,(+0),12,(+1),3,(-4),12,(+1),6,(-2),,,Passive Perception 11,--,"<p><em><strong>Charge.</strong></em> If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone. </p><p><em><strong>Sure-Footed.</strong></em> The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.</p>","<p><em><strong>Ram.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 8 (2d4 + 3) bludgeoning damage.</p>",,,,,,
Giant Hyena,"The Giant Hyena is a massive, feral beast that prowls the darkest depths of Lordran. Covered in shaggy black fur, this monstrous creature has a powerful, muscular build that belies its incredible speed and agility. Its massive jaws are lined with sharp teeth, and its eyes glow a sinister red in the darkness. The Giant Hyena is a fearsome opponent that will stop at nothing to devour its prey.","Feral, Savage , Dangerous , Powerful",1 (200 Souls),Large beast,12,45 (6d10 + 12),50 ft.,16,(+3),14,(+2),14,(+2),2,(-4),12,(+1),7,(-2),,Perception +3,Passive Perception 13,--,"<p><em><strong>Rampage.</strong></em> When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 10 (2d6 + 3) piercing damage.</p>",,,,,,
Giant Lizard,"The Giant Lizard is a massive creature that towers over most other enemies in the game. It is covered in thick scales that make it resistant to damage, and its powerful tail can crush or knock down opponents. It is slow and methodical in its attacks, but can be deadly if its opponents are not careful.","Size , Resistance to damage , Slow and methodical , Deadly if opponents are not careful",1/4 (50 Souls),Large beast,12 (Natural Armor),19 (3d10 + 3),"30 ft., climb 30 ft.",15,(+2),12,(+1),13,(+1),2,(-4),10,(+0),5,(-3),,,"Darkvision 30 ft., Passive Perception 10",--,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (1d8 + 2) piercing damage.</p>",,,,,,
Giant Octopus,"The Giant Octopus is a massive creature that lurks in the dark depths of the ocean. It has a large, bulbous body with eight long tentacles that it uses to capture its prey. Its skin is a deep blue color, and its eyes are glowing white orbs that seem to stare into your soul. This creature is feared by sailors and fishermen alike, as it is known to drag them down to the depths of the sea to their doom.","Monsters , The ocean , Danger , Fear",1 (200 Souls),Large beast,11,52 (8d10 + 8),"10 ft., swim 60 ft.",17,(+3),13,(+1),13,(+1),4,(-3),10,(+0),4,(-3),,"Perception +4, Stealth +5","Darkvision 60 ft., Passive Perception 14",--,"<p><em><strong>Hold Breath.</strong></em> While out of water, the octopus can hold its breath for 1 hour. </p><p><em><strong>Underwater Camouflage.</strong></em> The octopus has advantage on Dexterity (Stealth) checks made while underwater.</p><p><em><strong>Water Breathing.</strong></em> The octopus can breathe only underwater.</p>","<p><em><strong>Tentacles.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 15 ft., one target. <em>Hit:</em> 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the octopus can't use its tentacles on another target. </p><p><em><strong>Ink Cloud (Recharges after a Short or Long Rest).</strong></em> A 20- foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.</p>",,,,,,
Giant Owl,"The Giant Owl is a massive creature with wings that span at least 20 feet. It has piercing yellow eyes and a hooked beak that looks capable of tearing flesh from bone. Its feathers are a mottled brown, and it has talons the size of a human hand. This creature is feared by many, as it is known to swoop down on unsuspecting prey and carry them off into the night.","Giant Owl, predator, night, fear, prey",1/4 (50 Souls),"Large beast,",12,19 (3d10 + 3),"5 ft., fly 60 ft.",13,(+1),15,(+2),12,(+1),8,(-1),13,(+1),10,(+0),,"Perception +5, Stealth +4","Darkvision 120 ft., Passive Perception 15","Elvish, Giant Owl and Sylvan but can't speak them",<p><em><strong>Flyby.</strong></em> The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. </p><p><em><strong>Keen Hearing and Sight.</strong></em> The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.</p>,"<p><em><strong>Talons.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 8 (2d6 + 1) slashing damage.</p>",,,,,,
Giant Poisonous Snake,"This monster would be a giant snake that would be found in dark, dank areas of the game world. It would be covered in poisonous venom that would deal damage to players if they came into contact with it. The snake would be aggressive and would attack players on sight.","Danger , Poison , Dark , Monster",1/4 (50 Souls),Medium beast,14,11 (2d8 + 2),"30 ft., swim 30 ft.",10,(+0),18,(+4),13,(+1),2,(-4),10,(+0),3,(-4),,Perception +2,"Blindsight 10 ft., Passive Perception 12",--,,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +6 to hit, reach 10 ft., one target. <em>Hit:</em> 6 (1d4 + 4) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.</p>",,,,,,
Giant Rat,"The Giant Rat is a large, rodent-like creature that is found in the dark, dank sewers and caverns of Lordran. It is a aggressive creature that will attack anything that moves, and is known for its large teeth and claws.","Dark and Dangerous , Rat-like creature , Large teeth and claws , Aggressive",1/8 (25 Souls),Small beast,12,7 (2d6),30 ft.,7,(-2),15,(+2),11,(+0),2,(-4),10,(+0),4,(-3),,,"Darkvision 60 ft., Passive Perception 10",--,<p><em><strong>Keen Smell.</strong></em> The rat has advantage on Wisdom (Perception) checks that rely on smell. </p><p><em><strong>Pack Tactics.</strong></em> The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit</em>: 4 (1d4 + 2) piercing damage.</p>",,,,,,
Giant Scorpion,"The Giant Scorpion is a massive arachnid creature that dwells in the dark depths of Lordran. It is a fearsome opponent, armed with a large stinger that can poison its prey, and powerful claws that can rend flesh and bone. The Giant Scorpion is a fearsome foe, and should not be underestimated.","Arachnids , Dark depths , Foes , Poison",3 (700 Souls),Large beast,15 (Natural Armor),52 (7d10 + 14),40 ft.,15,(+2),13,(+1),15,(+2),1,(-5),9,(-1),3,(-4),,,"Blindsight 60 ft., Passive Perception 9",--,,"<p><em><strong>Multiattack.</strong></em> The scorpion makes three attacks: two with its claws and one with its sting. </p><p><em><strong>Claw.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 12). The scorpion has two claws, each of which can grapple only one target. </p><p><em><strong>Sting.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one creature. <em>Hit:</em> 7 (1d10 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one.</p>",,,,,,
Giant Sea Horse,"This monster would be a giant horse-like creature that lived in the water. It would be a fearsome creature, and would be very difficult to defeat.","aquatic , sea , horse , fearsome",1/2 (100 Souls),Large beast,13 (Natural Armor),16 (3d10),"0 ft., swim 40 ft.",12,(+1),15,(+2),11,(+0),2,(-4),12,(+1),5,(-3),,,Passive Perception 11,--,"<p><em><strong>Charge.</strong></em> If the sea horse moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. It the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone. </p><p><em><strong>Water Breathing.</strong></em> The sea horse can breathe only underwater.</p>","<p><em><strong>Ram.</strong></em> <em>Melee Weapon Attack:</em> +3 to hit, reach 5 ft., one target. <em>Hit:</em> 4 (1d6 + 1) bludgeoning damage.</p>",,,,,,
Giant Shark,The Giant Shark is a massive creature that lurks in the dark depths of the ocean. It is a fearsome predator that can easily devour any creature that it comes across. It is a feared creature by all who know of its existence.,"Giant Shark, ocean, fear, predator","5 (1,800 Souls)",Huge beast,13 (Natural Armor),126 (11d12 + 55),"0 ft., swim 50 ft.",23,(+6),11,(+0),21,(+5),1,(-5),10,(+0),5,(-3),,Perception +3,"Blindsight 60 ft., Passive Perception 13",--,<p><em><strong>Blood Frenzy.</strong></em> The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. </p><p><em><strong>Water Breathing.</strong></em> The shark can breathe only underwater.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +9 to hit, reach 5 ft., one target. <em>Hit:</em> 22 (3d10 + 6) piercing damage.</p>",,,,,,
Giant Spider,"The Giant Spider is a massive arachnid creature that lurks in the dark, dank corners of Lordran. It is a fearsome opponent, whose long, sharp fangs can inject a deadly venom into its prey. The Giant Spider is also incredibly agile, able to climb walls and ceilings with ease, making it a difficult target to hit.","Arachnids , Dark , Venom , Agility",1 (200 Souls),Large beast,14 (Natural Armor),26 (4d10 + 4),"30 ft., climb 30 ft.",14,(+2),16,(+3),12,(+1),2,(-4),11,(+0),4,(-3),,Stealth +7,"Blindsight 10 ft., Darkvision 60 ft., Passive Perception 10",--,"<p><em><strong>Spider Climb.</strong></em> The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. </p><p><em><strong>Web Sense.</strong></em> While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. </p><p><em><strong>Web Walker.</strong></em> The spider ignores movement restrictions caused by webbing.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one creature. <em>Hit:</em> 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way. </p><p><em><strong>Web (Recharge 5â€“6).</strong></em> <em>Ranged Weapon Attack:</em> +5 to hit, range 30/60 ft., one creature. <em>Hit:</em> The target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).</p>",,,,,,
Giant Toad,"The Giant Toad is a massive creature that lurks in the swamps and marshes of Lordran. It is a fearsome predator, preying on anything that crosses its path. The Giant Toad is covered in slimy, green skin and has a large, gaping mouth filled with sharp teeth. It is a dangerous foe that should not be underestimated.","Giant Toad , Prey , Predator , Lordran",1 (200 Souls),Large beast,11,39 (6d10 + 6),"20 ft., swim 40 ft.",15,(+2),13,(+1),13,(+1),2,(-4),10,(+0),3,(-4),,,"Darkvision 30 ft., Passive Perception 10",--,"<p><em><strong>Amphibious.</strong></em> The toad can breathe air and water.</p><p><em><strong>Standing Leap.</strong></em> The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.</p>","<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the toad can't bite another target. </p><p><em><strong>Swallow.</strong></em> The toad makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time. If the toad dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.</p>",,,,,,
Giant Vulture,"The Giant Vulture is a massive bird-like creature that can be found in the dark depths of Lordran. This creature is incredibly aggressive and will attack anything that moves, making it a dangerous foe for any would-be adventurer. This creature is also capable of flying, making it difficult to escape from if it decides to pursue its prey.","Dark and Dangerous , Flying , Aggressive , Lordran",1 (200 Souls),"Large beast,",10,22 (3d10 + 6),"10 ft., fly 60 ft.",15,(+2),10,(+0),15,(+2),6,(-2),12,(+1),7,(-2),,Perception +3,Passive Perception 13,Understands Common but can't speak it,<p><em><strong>Keen Sight and Smell.</strong></em> The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.</p><p><em><strong>Pack Tactics.</strong></em> The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.</p>,"<p><em><strong>Multiattack.</strong></em> The vulture makes two attacks: one with its beak and one with its talons. </p><p><em><strong>Beak.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 7 (2d4 + 2) piercing damage. </p><p><em><strong>Talons.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one target. <em>Hit:</em> 9 (2d6 + 2) slashing damage.</p>",,,,,,
Giant Wasp,"The Giant Wasp is a large insectoid creature that is aggressive and territorial. It has a large stinger that it uses to inject venom into its prey, paralyzing them so that it can devour them alive. The Giant Wasp is a feared creature in the world of Dark Souls, and rightfully so.","Insectoid , Large , Aggressive , Paralyzing venom",1/2 (100 Souls),Medium beast,12,13 (3d8),"10 ft., fly 50 ft.",10,(+0),14,(+2),10,(+0),1,(-5),10,(+0),3,(-4),,,Passive Perception 10,--,,"<p><em><strong>Sting.</strong></em> <em>Melee Weapon Attack:</em> +4 to hit, reach 5 ft., one creature. <em>Hit:</em> 5 (1d6 + 2) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.</p>",,,,,,
Giant Weasel,"The Giant Weasel is a massive weasel-like creature that roams the dark depths of Lordran. It is a fearsome beast that is known to attack anything that moves, making it a dangerous foe for any adventurer. The Giant Weasel is a massive creature, standing at over 8 feet tall and weighing in at over 500 pounds. It is covered in thick fur that is matted with blood and dirt, and its eyes glow a eerie red in the darkness. The Giant We","Dark, dangerous, fearsome, large",1/8 (25 Souls),Medium beast,13,9 (2d8),40 ft.,11,(+0),16,(+3),10,(+0),4,(-3),12,(+1),5,(-3),,"Perception +3, Stealth +5","Darkvision 60 ft., Passive Perception 13",--,<p><em><strong>Keen Hearing and Smell.</strong></em> The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.</p>,"<p><em><strong>Bite.</strong></em> <em>Melee Weapon Attack:</em> +5 to hit, reach 5 ft., one target. <em>Hit:</em> 5 (1d4 + 3) piercing damage.</p>",,,,,,
