Prompt,Completion,Item Name,Item Description,ItemType
ItemName,,Disc Chime,"A rare sacred chime of unknown origin. Can be used as a shield.This chime, likely brought here by a visiting saint, slightly augments the effects of miracles. Use strong attack to emit miracles and hexes.Effect: use miracles and hexes (strong attack)",
ItemName,,Dragon Bone Fist,"A weapon from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. The Gods fused the power of the soul with the great bones of the dragons, forming an appropriate core for the giant golem",
ItemName,,Dragon Chime,"A sacred chime shaped as a dragon. A catalyst for miracles and hexes.This chime sat long in the Dark Chasm, but still one senses a sublime purity.Only those with the deepest faith can wield this chime, but they will be rewarded with greatly amplified spells.",
ItemName,,Dragon Communion Seal,"Formless drakeblood seal with a dragon communion crest.
Enhances Dragon Communion incantations.

The sacrificial devouring of the heart gives power.
Indeed, Dragon Communion is too primal in nature for the term
""incantation"" to be appropriate.
This seal scales incantations with one's arcane attribute.",
ItemName,,Dragon Greatclaw,"Weapon said to have been whittled from the claw of a great, ancient dragon, wielded by grotesque Tree Sentinels who yet serve the Erdtree.

The claw is enwreathed with lightning, and tears through the dragons' feeble descendants with ease.",
ItemName,,Dragon Greatsword,This sword one of the rare dragon weapons came from the tail of the stone dragon of Ash Lake descendant of the ancient dragons. Its great mystical power will be unleashed when wielded with two hands,
ItemName,,Dragon Halberd,"Halberd shaped like a dragon, enwreathed with both ice and lightning.

Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin.",
ItemName,,Dragon King Greataxe,This axe one of the rare dragon weapons is formed by the tail of the Gaping Dragon a distant deformed descendant of the everlasting dragons. The axe is imbued with a mystical power to be released when held with both hands,
ItemName,,Dragon King's Cragblade,"Piercing Gravel Stone sword containing primeval lightning.
A portion of the Dragonlord's power, gained from a
remembrance.

This weapon commands great power over the paltry, mortal
dragons of today.",
ItemName,,Dragon Tooth,Created from an everlasting dragon tooth. Legendary great hammer of Havel the Rock. The dragon tooth will never break as it is harder than stone and it grants its wielder resistance to magic and flame,
ItemName,,Fake Dragon Tooth,"A giant dragon tooth used as a great hammer. As solid as a boulder, this tooth is said to be taken from a dragon, but the truth of this claim is unclear.What is certain is that is bears some mystical power, and its wielder gains resistance to magic and fire.",
ItemName,,Dragonrider Bow,"Bow wielded by Dragonrider, King Vendrick's royal guard.
Merely drawing this bow requires inhuman strength, but each shot has deadly potential.
Demands great skill of its wielder, and thus served to test the worthiness of those who aspired to join Dragonriders.",
ItemName,,Dragonrider Longbow,"Longbow of the Dragonriders, who served the Old King of Want.The Dragonriders were the Old King's royal guard, and great strength was demanded of them. Merely drawing this bow calls for inhuman strength. The worthy few who can master this bow, however, use it to devastating effect.Skill: PuncturePull the arrow even further back for a more powerful shot that can also pierce shields.",
ItemName,,Dragonrider Twinblade,".Twinblade of the Dragonriders, King Vendrick's royal guard.Twinblades are wielded with an unusual technique. This one strikes hard but is very heavy.Demands great skill of its wielder, and thus served to test the worthiness of those who aspired to join the Dragonriders.",
ItemName,,Dragonrider's Halberd,"Halberd of the Dragonriders, King Vendrick's royal guard. A highly versatile weapon that can slash, sweep, and thrust when wielded nimbly, and is also imbued with magic.Demands great skill of its wielder, and thus served to test the worthiness of those who aspire to join the Dragonriders.",
ItemName,,Dragonscale Blade,"A weapon made by sharpening a Gravel Stone scale, thought to be
the source of ancient dragon immortality, into an unclouded
blade.

Alas, the Dragonkin Soldiers never attained immortality, and
perished as decrepit, pale imitations of their skyborn kin. ",
ItemName,,Dragonslayer Greataxe,"Melted iron greataxe that once formed part of the Dragonslayer Armour.Thickly imbued with the power of lightning. Use skill to draw upon the techniques used to slay the archdragons.Skill: Falling BoltHold axe high in the air to gather fierce lightning, and smash ground to whip the bolts to the ground.",
ItemName,,Dragonslayer Greatbow,"Greatbow used by the Dragonslayers during the age of gods. Far greater in size than any normal bow, and far more devastating.The bow must be anchored in the ground to be fired, a time consuming operation that leaves the operator vulnerable. Only specialized great arrows can be fired from the bow.Skill: Puncturing ArrowMasterfully fires off a great arrow that pierces through all enemies in its path, inflicting damage.",
ItemName,,Dragonslayer Spear,Cross spear born from the soul of Ornstein a Dragonslayer guarding Anor Londo cathedral. Inflicts lightning damage; effective against dragons. Two-handed thrust relies on cross and buries deep within a dragon's hide and sends human foes flying.,
ItemName,,Dragonslayer Glaive,"A ranseur forged from the soul of the Old Dragonslayer.The spear of the knight known as the Dragonslayer was imbued with the power of lightning, and shattered the stone scales of dragons.",
ItemName,,Dragonslayer Greatspear,"Cross spear associated with Ornstein the Dragonslayer. A weapon of the gods imbued with the strength of lightning.Two-handed thrust utilizes the support of the cross and requires great might, but can pierce deep into the flesh of dragons, and send mere men flying.Skill: Lightning ChargeCharge with spear at waist to enwreathe with lightning, then release bolts with final thrust.",
ItemName,,Dragonslayer Swordspear,"A dragon hunting weapon from the age of the gods. The earliest form of the cross spear, serving as both a sword and a spear.Its owner was the Nameless King, a deific hunter of dragons. The swordspear is imbued with lightning, of which he was the heir.Skill: Falling BoltHold swordspear high in the air to summon fierce lightning that descends upon distant foes.",
ItemName,,Dragonslayer's Axe,"Axe favored by Creighton the Wanderer, infamous deserter of the Knights of Mirrah.Called Dragonslayer's Axe for the lightning that pulsates within its blade, but Creighton used it to slay men.",
ItemName,,Dragonslayer's Crescent Axe,"The beloved black axe of the gallant Shieldless Lothian, formerly of Forossa.No warrior matched the ferocity of unbeatable Lothian, but he abruptly retired from the battlefield and was never heard from again. Some say that he grew tired of the frailty of human foes, and set off to slay the legendary dragon.",
ItemName,,Drake Sword,"This sword one of the rare dragon weapons is formed by a drake's tail. Drakes are seen as undeveloped imitators of the dragons but they are likely their distant kin. The sword is imbued with a mystical power, to be released when held with both hands",
ItemName,,Drakeblood Greatsword,"Greatsword wielded by the Drakeblood Knights, led by the honorable Sir Yorgh. The insignia chiseled upon its hilt symbolizes dragon's blood.To the Drakeblood Knights, fresh dragon blood was sacrosanct. They believed that by obtaining it, they could achieve a true understanding of life, transcending their own banal existence.",
ItemName,,Drakekeeper's Great Hammer,"An extremely sturdy pitch-black great hammer.Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.",
ItemName,,Drakekeeper's Greataxe,"Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.",
ItemName,,Drakekeeper's Sword,"n extremely sturdy pitch-black straight sword.Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.",
ItemName,,Drakekeeper's Ultra Greatsword,"An extremely sturdy pitch-black greatsword.Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worth enough to be granted audience.",
ItemName,,Drakekeeper's Warpick,"An extremely sturdy pitch-black war hammer.Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.",
ItemName,,Drakewing Ultra Greatsword,"A sword decorated with drake wings.Use strong attack to unleash its latent power.The blade of this sword is split into two, and is best swung in smashing motions rather than slices.Drakes are likely descendants of the ancient dragons, and although their strength pales in comparison to the what is described in legend, to mere humans they are still mighty beasts",
ItemName,,Drang Hammers,"Paired hammers of the Drang Knights, descendants from the land known for the legend of the Linking of the Fire.When the Drang Knights disbanded, they scattered across the lands as sellswords. They quickly became known for shieldless, aggressive tactics that struck fear in the hearts of men.Skill: Spin BashBash foes with a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.",
ItemName,,Drang Twinspears,"Paired spears of the Drang Knights, proclaimed descendants from the land known for the legend of the Linking of the Fire. When the Drang Knights disbanded, they scattered across the lands as sellswords. They quickly became known for shieldless, aggressive tactics that struck fear in the hearts of men.",
ItemName,,Drangleic Sword,"Greatsword of Drummond, Royal Army Captain. An old and unadorned sword,perhaps, but the pride and joy of this venerable captain.An heirloom passed from grandfather to father, and then from father to son. Drummond, and those before him, used this sword to repel those who would threaten their great land.",
ItemName,,Duelist Greataxe,"Greataxe designed for gladiatorial combat. Used by duelists who were exiled from the colosseum.

A weapon reserved for duelist champions, the charge attack is particularly ferocious.",
ItemName,,Earth Seeker,"This large twin-bladed axe forged with bronze is a ceremonial weapon normally used in sacred rites.Millwood is a land of primitive earth worship where chieftain knights served as high priests.",
ItemName,,Eclipse Shotel,"Storied sword and treasure of Castle Sol that depicts an eclipsed sun drained of color. One of the legendary armaments.

In Sol, the sight of an eclipse inspires a dreadful awe, preventing an onlooker from averting his gaze.",
ItemName,,Elder Flame,"Pyromancy flame drawing upon the latent power of Quelana of Izalith, mother of pyromancy. For the pyromancer, a flame is a precious thing indeed, to be nurtured, often for an entire lifetime. When the flame is shared, it creates an eternal bond between the parties.",
ItemName,,Eleonora,"A strange weapon found among malformed inhabitants of the Profaned Capital.The Profaned Flame was triggered by the curse of these women, relatives of a certain oracle, but despite their culpability, they went on living, without any cares.Skill: Feast BellHold up axe and wave to emit a solemn chime to temporarily make weapons lacerating, and to restore HP for each hit.",
ItemName,,Eleonora's Poleblade,"Twinned naginata forged in the Land of Reeds. Chosen weapon of Eleonora, Violet Bloody Finger.

Her mastery of the sword was such that her onslaught was likened to a whirlwind, but now her legacy is stained by accursed blood.

Unique Skill: Bloodblade Dance
Leap at foe to perform a flurry of tornado-like attacks. Follow up with an additional input to perform an attack that ends in an evasive maneuver.",
ItemName,,Eleum Loyce,"Curved sword forged from the Soul of Alsanna.Formed by two curious blades, this sword can restore an ally's HP with a hit from its strong attack.The enigmatic Alsanna quietly found a place at the Ivory King's side, and when his strength was fully drained, he conferred this sword inscribed with the name of the land, to her.",
ItemName,,Envoy's Greathorn,"Fanned golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt.

Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call.",
ItemName,,Envoy's Horn,"Golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt.

Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call.",
ItemName,,Envoy's Long Horn,"Long golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt.

Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call.",
ItemName,,Erdsteel Dagger,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace. 

Though forged to a high standard, the weapon is difficult to wield. 
Attack power also scales with faith. ",
ItemName,,Erdtree Bow,"Longbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Arrow.

Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows.",
ItemName,,Erdtree Greatbow,"Greatbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Great Arrow.

Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows.",
ItemName,,Erdtree Seal,"A formless sacred seal decorated with an Erdtree crest, once the focus of religion in the Lands Between.

Even though the Elden Ring is shattered, and the Erdtree has dulled from its former radiance, earnest faith continues to hold the answers.",
ItemName,,Espada Ropera,"Thrusting sword of Chancellor Wellager. Forged with rare geisteel.A masterpiece of the great blacksmith Llewellyn that he brought along as a gift when he left Mirrah for Drangleic.",
ItemName,,Estoc,"The largest of the thrusting swords. Can pierce an armored knight in one thrust. The blade is also sharp, allowing slicing as well.",
ItemName,,Executioner's Greataxe,"Bulky cleaver welded to a long haft. Said to have been used to dispatch the remnants of defeated armies, felling them like timber.

Perhaps that is the reason it excels at critical hits. ",
ItemName,,Executioner's Greatsword,"Greatsword of a debauched executioner used for beheadings.This sword retains a keen memory of its executioner's duty, and absorbs HP from each fallen foe.",
ItemName,,Exile Greatsword,"Bloodstained greatsword wielded by one of the Watchdogs of Farron, who preside over the slumber of fallen warriors. The blade is a reminder of the exile's past misdeeds.Inhuman strength is required to wield this heaviest of curved greatswords.Skill: Spin SlashSlice into foes with a large spinning motion, and continue spinning to transition into a strong attack.",
ItemName,,Falchion,"Small, curved sword. Each hit inflicts little damage, but fluid chain attacks are deadly. The falchion's sharp slashing attacks are effective against cloth and flesh, but not against metal armor or tough scales.",
ItemName,,Great Falchion,"A curved Greatsword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales.

Wielders of the weapon employ a unique style that enhances attacks with spinning motions.",
ItemName,,Fallingstar Beast Jaw,"Part of a Falling star Beast's jaw, hard and shining black, fashioned into a weapon. 

With its sharp point, this colossal weapon can skewer foes. ",
ItemName,,Family Heads,"Three bludgeoning copper heads attached to a handle by chains. Signature weapon of Necromancer Garris, the heretical sage.

The heads were made to resemble those of his wife and two children.",
ItemName,,Farron Greatsword,"Greatsword of the Abyss watchers which is atypically paired with a dagger.The dagger is utilized as a wedge in the left hand while the greatsword is held in the right, a unique technique that was synonymous with the Undead Legion. Confounds foes the manner of wolves hunting prey. Skill: ParryDeflect an attack when timed properly and follow up with a critical hit, executed with the dagger.",
ItemName,,Finger Seal,"A sacred seal bestowed by a Finger Maiden which serves as a catalyst for casting sacred incantations.

Incantations must be memorized first at a site of grace, and a sacred seal must be equipped to cast them.",
ItemName,,Firelink Greatsword,"The Lords of Cinder linked the First Flame, and this Greatsword was wielded by their deific manifestation. This coiled sword, found thrust in the bonfire, existed long before the throneless lords themselves.Skill: EmberThe fading flame momentarily illuminates and launches itself forward.",
ItemName,,Flail ,"Weapon consisting of a bludgeoning head attached to a handle by chain. The iron ball is spiked and induces blood loss. 

Blows from this weapon cannot be parried. The charge attack whirls the iron ball around for increased force before striking.",
ItemName,,Flamberge,This greatsword with an undulating blade is the choice weapon of the slithering serpent men of Sen's Fortress. This weapon is designed to flay the skin and causes heavy bleeding.,
ItemName,,Flamberge,"A greatsword with an undulating blade. The unique shape is designed to pare the flesh, and is highly effective at causing bleeding.Flamberge literally means flame blade, but it also seems to bear a certain creature's likeness.",
ItemName,,Redmane Flamberge,"Greatsword featuring a flame-like undulation.
Shreds enemy flesh, inducing blood loss.

Scarlet rot is kept at bay with flame at Redmane Castle, and as such, this beloved sword of Jerren's eventually became the symbol of the castle itself.",
ItemName,,Flowing Curved Sword,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water.
Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend.
Skill: Spinning Slash
Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack.",
ItemName,,Follower Javelin,"Light spear wielded by the Farron Followers. Balanced to allow for throwing.The Followers attack in groups, surrounding foes, shielding themselves, and thrusting their spears at their foes. On a final command, they hurl their spears at their fallen foe, to give the retired warrior an honorable send-off.",
ItemName,,Follower Sabre,"Great curved sword wielded by Farron Followers. Its great weight enables heavy-handed chain attacks.The Followers brandish their swords to hunt warriors taken by the Abyss. Their technique is honed to face men, implying those yet to lose their human aspect are their likeliest prey.Skill: Prying WedgeA chain attack that wedges below foes and swings upward, breaking their guard. Strong attack can be used to follow up the onslaught with a fatal blow.",
ItemName,,Foot Soldier Sword,".Inexpensive straight sword. Standard issue for Drangleic foot soldiers.No masterpiece, this weapon won't be used to fend off any truly threatening foe.",
ItemName,,Forked Greatsword,"Oddly shaped greatsword wielded by imps. 

The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",
ItemName,,Forked Hatchet,"Peculiar hatchet wielded by imps.

The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss.",
ItemName,,Four-Pronged Plow,Four-pronged Plow wielded by the wooden scarecrows serfs of the forest Sanctuary. The scarecrow serfs would not normally use these four-pronged plows as weapons but their sharpness makes them very deadly,
ItemName,,Four-Pronged Plow,"This four-pronged plow is shaped like a fist, and is a worker's tool in the Undead Settlement.Not originally intended for battle, but serves as a deadly weapon owing to its sharp points.",
ItemName,,Frayed Blade,"A dragon weapon symbolizing Darkeater Midir.The once-exquisite blade is now stained black, and frayed at the hilt. Without its sheath, it will soon crumble into nothing.Skill: HoldAssume a holding stance in which a normal attack sends a shockwave along the earth, and a strong attack commences a series of slashes.",
ItemName,,Frenzied Flame Seal,"Formless sacred seal bestowed by the maiden of the Three Fingers.
Enhances incantations of the frenzied flame.

This seal is the mark of the Lord of Frenzied Flame. Scales incantations using strength, dexterity, intelligence, and faith all together.",
ItemName,,Friede's Great Scythe,"A great scythe wielded by Sister Elfriede, with a curved blade thinly coated by Painted World frost that easily breaks the guard of shields.In the painting, the scythe is a symbol of a long-lost home, possibly explaining Elfriede's preference for it.",
ItemName,,Frozen Needle,"A razor-thin piercing blade of ice.
Forged by Ijii, the carian Royal Blackmith.

Can inflict frost upon enemies, and launch its blade with a strong attack.  The blade immediately regenerates. 
",
ItemName,,Full Moon Crossbow,"One-of-a-kind enchanted crossbow of exquisitely detailed
craftsmanship. Made to celebrate the matrimonial union, and
reconciliation, between the houses of the Erdtree and the Full
Moon, Leyndell and Raya Lucaria. The two rings dance when
reloading the weapon. Reveals true worth when used with holy-
infused bolts.",
ItemName,,Full Moon Sickle,"A large sickle with a round bladeThe thin blade, fortified with bradden steel, slices with a fine smoothness. Hooks into flesh, then rips it apart to cause bleeding.",
ItemName,,Fume Sword,"Straight sword forged from the soul of the fume knight, and imbued with the Dark of Nadalia.The exile swordsman Raime had the ability to expunge the black fog, but chose instead to live alongside it, in the company of the child of Dark that haunts this sword.",
ItemName,,Fume Ultra Greatsword,"This twisted sword, the heaviest of all ultra greatswords, resembles black slate.This weapon, said to belong to a traitor from long ago, was so heavy that it found no owner, and became a forgotten relic of history.Skill: StompUse one's weight to lunge forward with a low stance and increased poise, and follow with a crushing strong attack.",
ItemName,,Gael's Greatsword,"Greatsword of Slave Knight Gael, the only weapon that he kept with him from beginning to end.Originally an executioner's sword made for decapitation, this blade is heavily chipped and stained with the blood of countless battles.Skill: Blade of PerilA precarious technique unique to undead Gael. Leap in any direction, slamming the greatsword to the ground, then follow with normal attack for a large spinning slash, or strong attack to back-step and jump foward in an overhead slam.",
ItemName,,Gargoyle Bident,"A two-pronged spear that imitates a weapon mentioned in an ancient text.Gargoyles are said to guard castles and forts from ill fortune, and they have appeared in many forms in all the great lands throughout history.Some of them are so meticulously crafted that they look as if they might come to life.",
ItemName,,Gargoyle Flame Hammer,"Stone torch hammer wielded by gargoyles of the Profaned Capital.The Profaned Flame, which never goes out, imbues this weapon with a fire attack.",
ItemName,,Gargoyle Flame Spear,"Stone torch spear wielded by gargoyles of the Profaned Capital.The Profaned Flame, which never goes out, imbues this weapon with a fire attack. Skill: Kindled ChargeHold spear at waist and charge at foe, using the momentum to transition to a fiery strong attack.",
ItemName,,Gargoyle Tail Axe,Sliced tail of the gargoyle guarding the Bell of Awakening in the Undead Church or patrolling in Anor Londo. Can be used as a bronze battle axe. Bends dramatically during large attacks owing to its nature as a tail,
ItemName,,Gargoyle's Black Axe,"Bronze greataxe wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.

Such is the mark of those who serve Maliketh, the Black Blade.",
ItemName,,Gargoyle's Black Halberd,"Bronze halberd wielded by Valiant Gargoyles, mended with blackened corpse wax.
Deals holy damage.

Such is the mark of those who serve Maliketh, the Black Blade.",
ItemName,,Gargoyle's Blackblade ,"Bronze greatsword wielded by Valiant Gargoyles mended with blackened corpse wax. Deals holy damage.

Such is the mark of those who serve Maliketh, the Black Blade.",
ItemName,,Gargoyle's Great Axe,"Bronze greataxe wielded by Valiant Gargoyles.

Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.",
ItemName,,Gargoyle's Greatsword,"Bronze greatsword wielded by Valiant Gargoyles.

Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.",
ItemName,,Gargoyle's Halberd,Halberd of the gargoyle guarding the Bell of Awakening in the Undead Church. Perfectly standard bronze halberd without any special power.,
ItemName,,Gargoyle's Twinblade,"Bronze twinblade wielded by Valiant Gargoyles.

Just like the wielder, the missing parts have been mended with corpse wax; a patchwork of champions.",
ItemName,,Gelmir Glintstone Staff,"Staff with a forked tip, embedded with red glintstones. Enhances lava sorceries.

The Man-Serpents of Mt. Gelmir draw from faith in addition to intelligence to enhance the potency of their sorcery.",
ItemName,,Ghiza's Wheel,"Great iron wheel lined with flesh-flaying blades. Device of torture used by Inquisitor Ghiza. As the wheel spins it causes severe pain and blood loss.

The design was adopted for use as the iconic weapon wielded by Iron Virgins. ",
ItemName,,Ghost Blade,The ghosts of New Londo clutch this wickedly sharp dagger with their bony hands and make mincemeat of the living. One of the cursed weapons which can inflict damage upon ghosts.,
ItemName,,Ghostflame Torch,"Metal torch that burns with cold ghostflame. Tool of the Fallen Hawks who prowl the underground rivers. When the band's last embers were used up in their long search, they began to burn the bones of their fellows, acquiring the cold ghostflame, but sealing their fate as dwellers of the underground for all eternity.",
ItemName,,Giant Stone Axe,"Greataxe forged from the Last Giant's soul.This weapon resembles a primitive stone tool, but is quite powerful owing to its immense size.King Vendrick disappeared as the war with the Giants reached its ferocious peak, leaving his castle.Some swear that upon hearing the news, the Queen's face remained as still as her portrait.",
ItemName,,Giant Warrior Club,". Club of the Giants that besieged Drangleic. Nothing more than a boulder bound to a tree, but a very powerful, if primitive weapon. A human would require great strength to wield this Giant-sized Club
King Vendrick, in adherence to Queen Nashandra's counsel, led his armies north in an effort to subjugate the Giants, and claim their powerful souls for his own.",
ItemName,,Giant-Crusher,"A hammer made from a boulder, used in the War against the Giants.
One of the heftiest weapons in the entire Lands Between.

After the giants were quelled, and man turned against man in violence,
this weapon was all but forgotten. Man has grown feeble in comparison to his forebears. ",
ItemName,,Giant's Halberd,Large halberd made of old brass used by the giant sentinels of Anor Londo. Brass contains traces of lightning but as the halberd is designed for the giant sentinels its weight is unbearable,
ItemName,,Giant's Red Braid,"Hefty whip woven from the flame-red hair of a Fire Giant.

Every giant is red of hair, and Radagon was said to have despised his own red locks. Perhaps that was a curse of their kind.",
ItemName,,Giant's Seal,"Sacred seal depicting the one eyed god of the Fire Giants, adorned with braids of red hair.

Sacred seal wielded by Fire Monks and Prelates, this catalyst enhances Giants' Flame incantations. ",
ItemName,,Glaive,"This halberd with a large blade was a scythe refitted for battle.Designed for slicing, and inflicts slash damage.",
ItemName,,Glintstone Kris,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace.

Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual.",
ItemName,,Glintstone Staff,"Staff with a glintstone embedded at the tip. A catalyst for casting sorceries. 

Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them.",
ItemName,,Godskin Peeler ,"Unique twinblade wielded by Godskin Apostles characterized by its disturbing design. One end features a sickle for slicing attacks while the other boasts a winding spike for boring into flesh.

Much skill is required to wield this weapon due to its asymmetric nature.",
ItemName,,Godskin Stitcher,"Elegant piercing sword with a celadon colored blade wielded by Godskin Nobles.

The nobles possess skill with the sword unmatched by any lowborn. Despite its size, successive attacks from this weapon are swifter than the eye can follow.",
ItemName,,Godslayer's Greatsword,"Sacred sword of the Gloam-Eyed Queen who controlled the
Godskin Apostles before her defeat at the hands of Maliketh.

The black flames wielded by the apostles are channeled from this
sword.",
ItemName,,Godslayer's Seal,"Sacred seal of the Godskin Apostles, inlaid with obsidian.

Said to represent the manipulation of black flame, this catalyst enhances godslayer incantations.",
ItemName,,Gold Tracer,"Curved sword used by the Lord's Blade Ciaran, one of Gwyn's Four Knights. Ciaran brandishes her sword in a mesmerizing dance, etching the darkness with dire streaks of gold.",
ItemName,,Golden Epitaph,"A sword made to commemorate the death of Godwyn the Golden, first of the demigods to die.

Infused with the humble prayer of a young boy; ""O brother, lord brother, please die a true death.""",
ItemName,,Golden Halberd,"Weighty halberd forged of gold. Wielded by the Order of Tree Sentinels, heavily equipped knights. 
Deals holy damage.

A masterfully crafted weapon that lives up to its heft, but is difficult for one mere human strength to wield.",
ItemName,,Golden Order Greatsword,"Greatsword made of light, modeled after the Elden Ring itself.
Forged by King Consort Radagon to proudly symbolize the tenets of the Golden Order.
One of the legendary armaments.

Telltale signs betray that this was once the greatsword bequeathed to him by his first wife, Rennala.",
ItemName,,Golden Order Seal,"A formless sacred seal depicting the ceremonial observation of Order. Enhances Golden Fundamentalist incantations. 

Fundamentalism is scholarship in all but name. Scales incantation using both intelligence and faith.",
ItemName,,Golden Ritual Spear,"A ritual spear presented to Darkmoon Knights before Sulyvahn claimed the title of Pontiff.Can also be used as a staff. Sorceries cast using this weapon channel the wielder's faith.",
ItemName,,Golem Axe,An axe born from the soul of the Iron Golem guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. Its powerful one-handed attack imitates the Golem's blade of wind but the heavy iron blade makes it quite unwieldy,
ItemName,,Golem Greatbow ,"Greatbow of black stone crafted by a civilization now gone to
ruin. Weapon of the Guardian Golem.

Extremely heavy, this greatbow requires enormous strength just to
draw, suggesting it was not designed for human use.",
ItemName,,Golem's Halberd,A great halberd of black stone crafted by a civilization now gone to ruin. Wielded by the Guardian Golem.,
ItemName,,Gotthard Twinswords,"The hunters known as the King's Black Hands wielded paired weapons. These belonged to Gotthard, who fled the castle.Gotthard rose quickly through the knighthood, no surprise to those who have witnessed his swordsmanship.",
ItemName,,Gough's Greatbow,"Greatbow used by Hawkeye Gough, of Lord Gwyn's Four Knights, for dragon slaying. This bow is larger than even those used by the famed Dragonslayers. Only their leader, Gough, had the strength to handle it.",
ItemName,,Grafted Blade Greatsword,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret. 
One of the legendary armaments. 

A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors.",
ItemName,,Grafted Dragon,"The embodiment of the power that still remained in the dragon's head that was granted to Godrick's left arm.

The wielder's arm will take the form of a small dragon, sprouting sharp dragon fangs at the fist.
This weapon cannot be two-handed.",
ItemName,,Grand Lance,"A Lance fashioned from rare geisteel, Designed for high-.ranking Drangleic Knights, hence the design''Geisteel equipment is of the finest make, but geisteel is so rare that very few of these weapons were actually used in combat.'''",
ItemName,,Grant,A legendary weapon of the Way of White granted to an Undead paladin long ago. This mass of iron can only be lifted by those with inhuman strength but it is blessed and very effective against agents of Dark,
ItemName,,Grave Scythe,Greatscythe comprised of a large blade affixed to a crooked stick. Weapon wielded by the aged grave keepers who tend the forgotten graveyards throughout the Lands Between. This weapon is said to have served as a charm against evil spirits in times of old.,
ItemName,,Gravel Stone Seal,"Sacred seal made from Gravel Stone thought to be an ancient dragon scale. Enhances Dragon Cult incantations of the Royal Capital.

The worship of the ancient dragons does not conflict with belief in the Erdtree. After all, this seal, and lightning itself, are both imbued with gold.",
ItemName,,Gravelord Sword,"Sword wielded only by servants of Gravelord Nito, the first of the dead. Crafted from the bones of the fallen. The miasma of death exudes from the sword, a veritable toxin to any living being.",
ItemName,,Great Club,Giant tree branch serves as a wooden club. Smashes enemies from upside the head. The leaping attack is a trademark of clubs and this giant club is no exception.,
ItemName,,Great Club,"An enormous club of hardwood. Wildly hammering foes with this
striking weapon requires no dexterity; only brute force.

While it may seem sacrilegious, this weapon is said to be a withered branch of the Erdtree.
Imbued with holy power, this weapon will never snap. ",
ItemName,,Great Corvian Scythe,"Great scythe of the forlorn souls guided by heretical storytellers. The Mistress of the Painted World is said to wield a great scythe herself. Great scythes inflict profuse bleeding, such that the blood splatters on the wielder.Skill: Neck SwipeThis attack aims for the scruff of a foe's neck, and when successful, functions as a head shot, inflicting heavy damage.",
ItemName,,Great Épée,"Large rapier featuring a thin, sharp blade. 
Commonly used in life or death duels.

Like its smaller counterparts, its made for thrusting attacks, and can be used while guarding with a shield. ",
ItemName,,Great Knife,"Large knife with a broad, curved blade.

This weapon is designed to Spinning Slash and rend, inflicting blood loss upon the recipient. ",
ItemName,,Great Lord Greatsword,Greatsword born from the soul of Gwyn Lord of Cinder. As bearer of the ultimate soul Gwyn wielded the bolts of the sun but before linking the fire divided that power amongst his children and set off with only this greatsword as his companion,
