Name,Rarity,Type,Lore,Attunement,Weight,Properties,Effects,Value
Brass Dragon Scale Mail,very rare,medium armor,"The Brass Dragon Scale Mail is a suit of armor made from the scales of a brass dragon. The armor is incredibly strong and resilient, and it is said to be able to deflect even the most powerful attacks.",requires attunement,45 lb.,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to fire damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest brass dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks.",
Brazier of Commanding Fire Elementals,rare,wondrous item,The Brazier of Commanding Fire Elementals is a magical item used to summon and control fire elementals.,,5 lb.,,"While a fire burns in this brass brazier, you can use an action to speak the brazier's command word and summon a fire elemental, as if you had cast the conjure elemental spell. The brazier can't be used this way again until the next dawn.The brazier weighs 5 pounds.",
Breastplate,Mundane,medium armor,The Breastplate is a piece of armor that is worn on the chest. It is made from metal and is often decorated with a design. The Breastplate is often used to protect the chest from attacks.,,20 lb.,AC 14 + Dex (max 2),"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.",400 gp
Breathing Bubble,common,wondrous item,The Breathing Bubble is a magical item that allows a creature to breathe under water.,,,,"This translucent, bubble-like sphere has a slightly tacky outer surface, and you gain the item's benefits only while wearing it over your head like a helmet.The bubble contains 1 hour of breathable air. The bubble regains all its expended air daily at dawn.",
Brewer's Supplies,Mundane,Artisan's Tools,"Brewer's Supplies is a set of magical items for brewers and other people who work with beer. The set includes a cask, a funnel, a pot, a spoon, and a jug.",,9 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Brewing is the art of producing beer. Not only does beer serve as an alcoholic beverage, but the process of brewing purifies water. Crafting beer takes weeks of fermentation, but only a few hours of work. Components. Brewer's supplies include a large glass jug, a quantity of hops, a siphon, and several feet of tubing. History. Proficiency with brewer's supplies gives you additional insight on Intelligence (History) checks concerning events that involve alcohol as a significant element. Medicine. This tool proficiency grants additional insight when you treat anyone suffering from alcohol poisoning or when you can use alcohol to dull pain. Persuasion. A stiff drink can help soften the hardest heart. Your proficiency with brewer's supplies can help you ply someone with drink, giving them just enough alcohol to mellow their mood. Potable Water. Your knowledge of brewing enables you to purify water that would otherwise be undrinkable. As part of a long rest, you can purify up to 6 gallons of water, or 1 gallon as part of a short rest.Brewer's SuppliesActivityDCDetect poison or impurities in a drink10Identify alcohol15Ignore effects of alcohol20See the Tool Proficiencies entry for more information.",20 gp
Bronze Dragon Scale Mail,very rare,medium armor,"The Bronze Dragon Scale Mail is a suit of armor made from the scales of a bronze dragon. It is incredibly strong and resilient, and is often worn by high-ranking members of a dragon cult.",requires attunement,45 lb.,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to lightning damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest bronze dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks.",
Brooch of Living Essence,uncommon,wondrous item,"The Brooch of Living Essence is a powerful magical item that was created by a powerful wizard. The Brooch is a small, circular pendant made of gold and onyx. It is said that the Brooch can bring life to objects that it is placed upon.",requires attunement,,,"While wearing this nondescript brooch, spells and anything else that would detect or reveal your creature type treat you as humanoid, and those that would reveal your alignment treat it as neutral.",
Brooch of Shielding,uncommon,wondrous item,"The Brooch of Shielding is a magical item that was created by a powerful wizard. The brooch is made of solid gold and is shaped like a shield. When worn, the Brooch of Shielding creates a magical shield that protects the wearer from all harm.",requires attunement,,,"While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell.",
Broom of Flying,uncommon,wondrous item,The broom of flying is a magical item that allows its user to fly.,,3 lb.,,"This wooden broom, which weighs 3 pounds, functions like a mundane broom until you stand astride it and speak its command word. It then hovers beneath you and can be ridden in the air. It has a flying speed of 50 feet. It can carry up to 400 pounds, but its flying speed becomes 30 feet while carrying over 200 pounds. The broom stops hovering when you land.You can send the broom to travel alone to a destination within 1 mile of you if you speak the command word, name the location, and are familiar with that place. The broom comes back to you when you speak another command word, provided that the broom is still within 1 mile of you.",
Bucket,Mundane,adventuring gear,"A bucket is a common tool used for collecting rain or snow. It is also used for holding water, oil, or other liquids.",,2 lb.,,A bucket holds 3 gallons of liquid or ½ cubic foot of solids.,5 cp
Bullseye Lantern,Mundane,adventuring gear,Bullseye Lantern is a magical lantern that emits a bright light that can blind opponents. It is said to have been created by an unknown wizard who used his magic to create the lantern and then used his magical skills to make the light so bright that it could blind anyone who looked into it.,,2 lb.,,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",10 gp
Burglar's Pack,Mundane,adventuring gear,The Burglar's Pack is a small bag that is worn around the waist. It is filled with tools that are used to break into locked doors and windows. The bag also contains a set of lock picks and a set of burglar's tools.,,44½ lb.,,"Includes a backpacka bag of 1,000 ball bearings10 feet of stringa bell5 candlesa crowbara hammer10 pitonsa hooded lantern2 flasks of oil5 days rationsa tinderboxa waterskin50 feet of hempen rope",16 gp
Burnt Othur Fumes,Mundane,"adventuring gear, poison inhaled",The Burnt Othur Fumes are a foul smelling gas that is created when a fire burns too long in an enclosed space. The gas is poisonous and can cause severe respiratory problems if inhaled.,,,,"A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or take 10 (3d6) poison damage, and must repeat the saving throw at the start of each of its turns. On each successive failed save, the character takes 3 (1d6) poison damage. After three successful saves, the poison ends.",500 gp
Butcher's Bib,rare,wondrous item,The Butcher's Bib is a cloth bib that is worn by butchers to protect their clothing from blood and other contaminants.,requires attunement,,,"This black leather apron is perpetually covered by blood, even after being washed off. You gain the following benefits while wearing the apron Once per turn when you roll damage for a melee attack with a weapon, you can reroll the weapon's damage dice. If you do so, you must use the second total.Your weapon attacks that deal slashing damage score a critical hit on a roll of 19 or 20 on the d20.",
Calligrapher's Supplies,Mundane,Artisan's Tools,"The Calligrapher's Supplies are a set of tools and materials used by calligraphers. They include a set of pens, paper, and an inkwell.",,5 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligrapher's training involves long hours of studying writing and attempting to replicate its style and design. Components. Calligrapher's supplies include ink, a dozen sheets of parchment, and three quills. Arcana. Although calligraphy is of little help in deciphering the content of magical writings, proficiency with these supplies can aid in identifying who wrote a script of a magical nature. History. This tool proficiency can augment the benefit of successful checks made to analyze or investigate ancient writings, scrolls, or other texts, including runes etched in stone or messages in frescoes or other displays. Decipher Treasure Map. This tool proficiency grants you expertise in examining maps. You can make an Intelligence check to determine a map's age, whether a map includes any hidden messages, or similar facts.Calligrapher's SuppliesActivityDCIdentify writer of nonmagical script10Determine writer's state of mind15Spot forged text15Forge a signature20See the Tool Proficiencies entry for more information.",10 gp
Caltrop,Mundane,adventuring gear,"A caltrop is a small, metal, two-pronged device used as a defensive weapon. When stepped on, the prongs release spikes that stick into the ground, making it difficult for an enemy to move.",,1.6 oz.,,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw.",5 cp
Caltrops (bag of 20),Mundane,adventuring gear,"A caltrop is a small, metal, wheel-shaped device with four sharp points. When a caltrop is thrown onto the ground, it sticks into the ground, creating a small trap for any creatures that step on it.",,2 lb.,,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw.",1 gp
Camel,Mundane,mount,"The camel is a domesticated bovine that is used for transportation, milk, meat, and wool. Camels are able to travel over long distances without becoming tired.",,,"Speed  50, Carrying Capacity  480 lb.",,50 gp
Candle,Mundane,adventuring gear,Candles are used as a form of light in dark places. They are also used as a form of decoration.,,,,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",1 cp
Candle Mace,unknown (magic),"mace, simple melee weapon","Candle Mace is a one-handed weapon that deals fire damage. It has a +1 bonus to attack and damage rolls. When used in conjunction with a spell that deals fire damage, the candle Mace's bonus increases to +2.",,4 lb.,"1d6, bludgeoning","You have a +1 bonus to attack and damage rolls made with this magic weapon. The head of this mace sheds bright light in a 5-foot-radius and dim light for an additional 5 feet. When you wield this mace, you can extinguish or ignite its light as an action.",
Candle of Invocation,very rare,wondrous item,"The Candle of Invocation is a magical item used to summon creatures from other planes of existence. The candle is lit at the center of a circle drawn on the ground. The caster then speaks the name of a creature they wish to summon, and the candle will begin to glow brightly. The creature will then appear in the circle, and the caster can talk to it or cast spells on it. The creature will disappear once the caster has finished talking to it or casting spells on it.",requires attunement,,,"This slender taper is dedicated to a deity and shares that deity's alignment. The candle's alignment can be detected with the detect evil and good spell. The DM chooses the god and associated alignment or determines the alignment randomly.d20Alignment1-2Chaotic evil3-4Chaotic neutral5-7Chaotic good8-9Neutral evil10-11Neutral12-13Neutral good14-15Lawful evil16-17Lawful neutral18-20Lawful goodThe candle's magic is activated when the candle is lit, which requires an action. After burning for 4 hours, the candle is destroyed. You can snuff it out early for use at a later time. Deduct the time it burned in increments of 1 minute from the candle's total burn time.While lit, the candle sheds dim light in a 30-foot radius. Any creature within that light whose alignment matches that of the candle makes attack rolls, saving throws, and ability checks with advantage. In addition, a cleric or druid in the light whose alignment matches the candle's can cast 1st-level spells he or she has prepared without expending spell slots, though the spell's effect is as if cast with a 1st-level slot.Alternatively, when you light the candle for the first time, you can cast the gate spell with it. Doing so destroys the candle.",
Candle of the Deep,common,wondrous item,The Candle of the Deep is a magical item that was created by the wizard Gromph Baenre. The candle is made of a special type of wax that is immune to fire. The candle can be used to create a temporary underwater tunnel.,,,,The flame of this candle is not extinguished when immersed in water. It gives off light and heat like a normal candle.,
Canoe,Mundane,Vehicle,"The canoe is a versatile watercraft that is used for a variety of purposes. Primarily, canoes are used for transportation, fishing, and hunting.",,100 lb.,"Speed  2 mphCarrying Capacity  6 passengersCrew 1, AC 11, HP 50","A canoe can be purchased in Port Nyanzaru for 50 gp. It holds up to six Medium creatures and has a maximum speed of 2 mph. It is otherwise identical to a rowboat. Crew. A ship needs a crew of skilled hirelings to function. As per the Player's Handbook, one skilled hireling costs at least 2 gp per day. The minimum number of skilled hirelings needed to crew a ship depends on the type of vessel.You can track the loyalty of individual crew members or the crew as a whole using the optional loyalty rules in chapter 4 of the Dungeon Master's Guide. If at least half the crew becomes disloyal during a voyage, the crew turns hostile and stages a mutiny. If the ship is berthed, disloyal crew members leave the ship and never return. Passengers. This indicates the number of Small and Medium passengers the ship can accommodate.Accommodations consist of shared hammocks in tight quarters. A ship outfitted with private accommodations can carry one-fifth as many passengers.A passenger is usually expected to pay 5 sp per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 gp per day. Cargo. The maximum tonnage the ship can carry. Damage Threshold. If a ship has a Damage Threshold, it has immunity to all damage unless it takes an amount of damage equal to or greater than its damage threshold, in which case it takes damage as normal. Any damage that fails to meet or exceed the damage threshold is considered superficial and doesn't reduce the ship's hit points. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 hit point of damage requires 1 day and costs 20 gp for materials and labor.",50 gp
Canvas (1 sq. yd.),Mundane,Trade Good,Canvas is a sturdy fabric used to create paintings or sketches. It is often used for creating maps or sketches of locations.,,,,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency.",1 sp
Cap of Water Breathing,uncommon,wondrous item,The Cap of Water Breathing is a magical item that allows its wearer to breathe under water.,,,,"While wearing this cap underwater, you can speak its command word as an action to create a bubble of air around your head. It allows you to breathe normally underwater. This bubble stays with you until you speak the command word again, the cap is removed, or you are no longer underwater.",
Cape of the Mountebank,rare,wondrous item,"The cape of the mountebank is a colorful and ornate garment that is typically worn by magicians and entertainers. It is made from a variety of fabrics and has a wide, flowing design. The cape is often decorated with intricate embroidery and sequins.",,,,"This cape smells faintly of brimstone. While wearing it, you can use it to cast the dimension door spell as an action. This property of the cape can't be used again until the next dawn.When you disappear, you leave behind a cloud of smoke, and you appear in a similar cloud of smoke at your destination. The smoke lightly obscures the space you left and the space you appear in, and it dissipates at the end of your next turn. A light or stronger wind disperses the smoke.",
Carpenter's Tools,Mundane,Artisan's Tools,"The Carpenter's Tools are a set of tools that are used by carpenters. They include a hammer, saw, chisel, and screwdriver.",,6 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Skill at carpentry enables a character to construct wooden structures. A carpenter can build a house, a shack, a wooden cabinet, or similar items. Components. Carpenter's tools include a saw, a hammer, nails, a hatchet, a square, a ruler, an adze, a plane, and a chisel. History. This tool proficiency aids you in identifying the use and the origin of wooden buildings and other large wooden objects. Investigation. You gain additional insight when inspecting areas within wooden structures, because you know tricks of construction that can conceal areas from discovery. Perception. You can spot irregularities in wooden walls or floors, making it easier to find trap doors and secret passages. Stealth. You can quickly assess the weak spots in a wooden floor, making it easier to avoid the places that creak and groan when they're stepped on. Fortify. With 1 minute of work and raw materials, you can make a door or window harder to force open. Increase the DC needed to open it by 5. Temporary Shelter. As part of a long rest, you can construct a lean-to or a similar shelter to keep your group dry and in the shade for the duration of the rest. Because it was fashioned quickly from whatever wood was available, the shelter collapses 1d3 days after being assembled.Carpenter's ToolsActivityDCBuild a simple wooden structure10Design a complex wooden structure15Find a weak point in a wooden wall15Pry apart a door20See the Tool Proficiencies entry for more information.",8 gp
Carpet of Flying,very rare,wondrous item,The Carpet of Flying is a magical item that allows the user to fly.,,,,"Multiple variations of this item exist, as listed below Carpet of Flying, 3 ft. × 5 ft.Carpet of Flying, 4 ft. × 6 ft.Carpet of Flying, 5 ft. × 7 ft.Carpet of Flying, 6 ft. × 9 ft.",
"Carpet of Flying, 3 ft. × 5 ft.",very rare,wondrous item,The Carpet of Flying is a magical carpet that allows the user to fly.,,,,"You can speak the carpet's command word as an action to make the carpet hover and fly. It moves according to your spoken directions, provided that you are within 30 feet of it.A 3 ft. × 5 ft. carpet can carry up to 200 lb. at a fly speed of 80 feet. A carpet can carry up to twice this weight, but it flies at half speed if it carries more than its normal capacity.",
"Carpet of Flying, 4 ft. × 6 ft.",very rare,wondrous item,"The Carpet of Flying is a magical carpet that can be ridden by a single person. When ridden, the carpet can fly through the air at great speeds.",,,,"You can speak the carpet's command word as an action to make the carpet hover and fly. It moves according to your spoken directions, provided that you are within 30 feet of it.A 4 ft. × 6 ft. carpet can carry up to 400 lb. at a fly speed of 60 feet. A carpet can carry up to twice this weight, but it flies at half speed if it carries more than its normal capacity.",
"Carpet of Flying, 5 ft. × 7 ft.",very rare,wondrous item,"The Carpet of Flying is a magical carpet that can be ridden by a single person. When ridden, the carpet can fly through the air at great speeds.",,,,"You can speak the carpet's command word as an action to make the carpet hover and fly. It moves according to your spoken directions, provided that you are within 30 feet of it.A 5 ft. × 7 ft. carpet can carry up to 600 lb. at a fly speed of 40 feet. A carpet can carry up to twice this weight, but it flies at half speed if it carries more than its normal capacity.",
"Carpet of Flying, 6 ft. × 9 ft.",very rare,wondrous item,"The Carpet of Flying is a magical carpet that can be ridden by a single person. When ridden, the carpet can fly through the air at great speeds.",,,,"You can speak the carpet's command word as an action to make the carpet hover and fly. It moves according to your spoken directions, provided that you are within 30 feet of it.A 6 ft. × 9 ft. carpet can carry up to 800 lb. at a fly speed of 30 feet. A carpet can carry up to twice this weight, but it flies at half speed if it carries more than its normal capacity.",
Carriage,Mundane,vehicle land,The carriage is a magical vehicle that can be ridden on by a single person. It is made of wood and has a silver roof. The carriage can travel at a speed of 60 miles per hour.,,600 lb.,,,100 gp
Carrion Crawler Mucus,Mundane,"adventuring gear, poison contact","The Carrion Crawler Mucus is a foul-smelling, black goo that oozes from the corpses of carrion crawlers. It is said to be a potent source of magical power, and those who drink it often find themselves with increased strength and agility.",,,,"This poison must be harvested from a dead or incapacitated carrion crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",200 gp
Cart,Mundane,vehicle land,The cart is a common item in the Dungeons and Dragons game. It is a vehicle that can be used to move items between locations.,,200 lb.,,,15 gp
Cartographer's Map Case,common,wondrous item,"The Cartographer's Map Case is a small, leather-bound case that contains a map of the world. It is a valuable tool for adventurers, as it allows them to easily find their way around unfamiliar territory.",,,," Map of Shortcuts. At rank 3, your map case becomes a common magic item. In addition to storing normal maps, your cartographer's map case can be used to generate a special map identifying a shortcut. You can use your action to make a DC 15 Wisdom (Perception) check, with a success revealing a map buried in your cartographer's map case noting a relevant shortcut. Your travel time is reduced by half while you follow that route. If you succeed at the check by 5 or more, the map includes notes on the terrain, granting you advantage on the next ability check you make to travel through the mapped area in the next hour. Once you use this feature, you cannot use it again until you finish a long rest. Map of the Moment. Starting at rank 3, you can use an action to make a DC 15 Wisdom (Perception) check and search your cartographer's map case to find a map either related to your current mission or inspiring a new one. On a success, you find a map with a prominent landmark. The map has information on the natural terrain within one mile of the landmark. Once you use this feature, you cannot use it again until dawn seven days later.Possible Map Mission Landmarksd8Landmark1The Ancient Sarcophagus of Gerald Smith2A tree labeled ""This tree""3""The Last Resting Place of My Rich Brother that is Also a Bear Cave""4A range of peaks known as the Slightly Wobbly Spires5An ever-flowing, nonmagical spigot of pure, clear water in the middle of nowhere6A cave filled with screaming bioluminescent worms7The most haunted forest for ten miles in any direction8A huge pile of rocks with no other rocks within sight",
Cartographer's Tools,Mundane,Artisan's Tools,"The Cartographer's Tools are a set of tools used by cartographers to create maps and charts. They are a set of three tools - a stylus, a compass, and a straightedge - that allow the user to draw straight lines, circles, and other shapes on a map.",,6 lb.,,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Using cartographer's tools, you can create accurate maps to make travel easier for yourself and those who come after you. These maps can range from large-scale depictions of mountain ranges to diagrams that show the layout of a dungeon level. Components. Cartographer's tools consist of a quill, ink, parchment, a pair of compasses, calipers, and a ruler. Arcana, History, Religion. You can use your knowledge of maps and locations to unearth more detailed information when you use these skills. For instance, you might spot hidden messages in a map, identify when the map was made to determine if geographical features have changed since then, and so forth. Nature. Your familiarity with physical geography makes it easier for you to answer questions or solve issues relating to the terrain around you. Survival. Your understanding of geography makes it easier to find paths to civilization, to predict areas where villages or towns might be found, and to avoid becoming lost. You have studied so many maps that common patterns, such as how trade routes evolve and where settlements arise in relation to geographic locations, are familiar to you. Craft a Map. While traveling, you can draw a map as you go in addition to engaging in other activity.Cartographer's ToolsActivityDCDetermine a map's age and origin10Estimate direction and distance to a landmark15Discern that a map is fake15Fill in a missing part of a map20See the Tool Proficiencies entry for more information.",15 gp
Cast-Off Armor,common,enchantment,"The Cast-Off Armor is a suit of armor that was once worn by a powerful warrior. Over time, the armor has become worn and tattered, and is now only fit for the poorest of peasants.",,,,You can doff this armor as an action.,
Catapult Munition,unknown,adventuring gear,"The Catapult Munition is a type of ammunition used in catapults. It is a large, heavy projectile that is shot from the catapult using a lever to launch it into the air.",,,,"A catapult munition roughly the size and weight of a cannonball.The munition can be thrown up to 30 feet and explodes on impact. Any creature within a 15-foot-radius sphere centered on the point of impact must make a DC 14 Dexterity saving throw, taking 35 (10d6) fire damage on a failed save, or half as much damage on a successful one. In addition, each object in that area that isn't being worn or carried takes 35 (10d6) fire damage.",
Cauldron of Plenty,rare,wondrous item,The cauldron of plenty is a magical artifact that can be used to create food or drink at will. It is said to be able to provide any type of food or drink that the user desires.,,50 lb.,,"This cauldron is made of thick copper that has turned green with age. It is 4 feet wide, has a mouth 3½ feet in diameter, weighs 50 pounds, and can hold up to 30 gallons of liquid. Embossed on its bulging sides are images of satyrs and nymphs in repose, holding ladles. The cauldron comes with a lid and has side handles. It sits on five little clawed feet that keep it from tipping.If water is poured into the cauldron and stirred for 1 minute, it transforms into a hearty, hot stew, which can provide one nourishing meal for up to four people per gallon. The stew remains hot while in the cauldron, then cools naturally after it is removed. The outside of the cauldron remains safe to touch despite the heat of the stew.The cauldron can create stew three times. It then ceases to function until the next dawn, when it regains all its uses.",
Cauldron of Rebirth,very rare,wondrous item,The cauldron of rebirth is a magical item that allows a dying creature to be reborn.,requires attunement by a druid or warlock,0.16 oz.,,"This Tiny pot bears relief scenes of heroes on its cast iron sides. You can use the cauldron as a spellcasting focus for your spells, and it functions as a suitable component for the scrying spell. When you finish a long rest, you can use the cauldron to create a potion of greater healing. The potion lasts for 24 hours, then loses its magic if not consumed.As an action, you can cause the cauldron to grow large enough for a Medium creature to crouch within. You can revert the cauldron to its normal size as an action, harmlessly shunting anything that can't fit inside to the nearest unoccupied space.If you place the corpse of a humanoid into the cauldron and cover the corpse with 200 pounds of salt (which costs 10 gp) for at least 8 hours, the salt is consumed and the creature returns to life as if by raise dead at the next dawn. Once used, this property can't be used again for 7 days.",
Censer of Controlling Air Elementals,rare,wondrous item,"The censer of controlling air elementals is a magical item used to control air elementals. It is made of brass and has a green gem in the center. When held up to the air, the censer can create a barrier that blocks air elementals from entering or exiting.",,1 lb.,,"While incense is burning in this censer, you can use an action to speak the censer's command word and summon an air elemental, as if you had cast the conjure elemental spell. The censer can't be used this way again until the next dawn.This 6-inch-wide, 1-foot-high vessel resembles a chalice with a decorated lid. It weighs 1 pound.",
Chain (10 feet),Mundane,adventuring gear,"A chain is a length of metal or plastic that is used to connect two objects or people. It can be used for a variety of purposes, such as connecting a door to its frame, or as a leash for a pet.",,10 lb.,,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,5 gp
Chain Mail,Mundane,heavy armor,"Chain mail is a type of armor made from metal links that are linked together by rings. The rings are usually made from a strong metal, such as iron, and are often decorated with a pattern or design. Chain mail is very durable and can protect the wearer from a variety of attacks.",,55 lb.,AC 16,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet.",75 gp
Chain Shirt,Mundane,medium armor,The Chain Shirt is a piece of clothing that is typically worn by members of the military. It is a long-sleeved shirt that is made from metal chains that are connected by links. The shirt is designed to protect the wearer from being attacked by swords and other weapons.,,20 lb.,AC 13 + Dex (max 2),"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.",50 gp
Chalk (1 piece),Mundane,adventuring gear,"Chalk is a type of writing material made from a soft, white, chalk-like substance. It is used to write on a blackboard, whiteboard, or other smooth surface.",,,,,1 cp
Chariot,Mundane,vehicle land,The chariot is a magical vehicle used by powerful wizards and other magical creatures. It is often used to travel quickly and easily across distances.,,100 lb.,,"Chariots MOT p196[–]Chariots and the creatures pulling them work like controlled mounts, as described in the mounted combat rules in the Player's Handbook, but with the following differences Mounting or dismounting a chariot costs you 5 feet of movement, rather than a number of feet equal to half your speed.Being mounted on a chariot grants you half cover.A chariot's speed is equal to the speed of the slowest creature pulling it.If multiple creatures are pulling the chariot, they all act on the same initiative, and they must take the same action on their turn.",250 gp
Charlatan's Die,common,wondrous item,The Charlatan's Die is a magical item that allows the user to create any number of duplicates of themselves.,requires attunement,,,"Whenever you roll this six—sided die, you can control which number it rolls.",
Charm of Plant Command,rare,wondrous item,The Charm of Plant Command is a magical item that allows a person to control plants.,requires attunement,,,"This fist-sized charm is made from a bundle of dried plant stems wrapped in silver thread. Hung on a leather thong, it is typically worn around the neck or attached to a belt.This charm has 3 charges. While you bear the charm, you can expend 1 charge as an action to cast the speak with plants spell. For the duration of the spell, you also have advantage on Charisma checks made to influence the behavior, demeanor, and attitude of plants. The charm regains all expended charges at dawn each day.",
Charred talisman of Magic Missiles,uncommon,talisman,"This is a charred talisman of magic missiles. It is made from a piece of wood with a few arcane symbols carved into it. The talisman is covered in soot and ash. It appears to have been burned at one point, and the symbols are charred and blackened.",,1 lb.,,"This talisman has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the magic missile spell from it. For 1 charge, you cast the 1st-level version of the spell. You can increase the spell slot level by one for each additional charge you expend.The talisman regains 1d6 + 1 expended charges daily at dawn. If you expend the talisman's last charge, roll a d20. On a 1, the talisman crumbles into ashes and is destroyed.Each time you expend a charge from this talisman, there is a 50 percent chance that nothing happens and the charge is wasted.",
Chest,Mundane,adventuring gear,A chest is a container that is used to store items. Chest can be found in many different shapes and sizes.,,25 lb.,,A chest holds 12 cubic feet or 300 pounds of gear.,5 gp
Chest of Preserving,common,wondrous item,The Chest of Preserving is a magical chest that can preserve food and drink for up to a year.,,25 lb.,,"Food and other perishable items do not age or decay while inside a Chest of Preserving. The chest is 2½ feet long, 1½ feet wide, and 1 foot tall with a half-barrel lid. The chest has a lock, which can be picked with thieves' tools and a successful DC 15 Dexterity check. Smashing the lock or any other part of the chest renders it nonmagical.",
Chicken,Mundane,Trade Good,"The chicken is a domesticated bird kept by humans for their eggs, meat or feathers. Chickens are omnivorous and eat a variety of things, but prefer seeds, insects and other small animals.",,,,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency.",2 cp
Chime of Opening,rare,wondrous item,The Chime of Opening is a magical item that allows its user to open any door or container.,,1 lb.,,"This hollow metal tube measures about 1 foot long and weighs 1 pound. You can strike it as an action, pointing it at an object within 120 feet of you that can be opened, such as a door, lid, or lock. The chime issues a clear tone, and one lock or latch on the object opens unless the sound can't reach the object. If no locks or latches remain, the object itself opens.The chime can be used ten times. After the tenth time it cracks and becomes useless.",
