Prompt,Completion
Generate ESB ItemName:,Stone Greataxe
Generate ESB ItemName:,Stone Greatsword
Generate ESB ItemName:,Stone Twinblade
Generate ESB ItemName:,Storm Curved Sword
Generate ESB ItemName:,Storm Ruler
Generate ESB ItemName:,Stormhawk Axe
Generate ESB ItemName:,Storyteller's Staff
Generate ESB ItemName:,Straight Sword Hilt
Generate ESB ItemName:,Sun Sword
Generate ESB ItemName:,Sunless Talisman
Generate ESB ItemName:,Sunlight Straight Sword
Generate ESB ItemName:,Sunlight Talisman
Generate ESB ItemName:,Sunset Staff
Generate ESB ItemName:,Sword of Milos
Generate ESB ItemName:,Sword of Night and Flame
Generate ESB ItemName:,Sword of St Trina
Generate ESB ItemName:,Syan's Halberd
Generate ESB ItemName:,Tailbone Short Sword
Generate ESB ItemName:,Tailbone Spear
Generate ESB ItemName:,Talisman
Generate ESB ItemName:,The Izalith Staff
Generate ESB ItemName:,The Moonlight Greatsword
Generate ESB ItemName:,The Scavenger's Curved Sword
Generate ESB ItemName:,Thief Dagger
Generate ESB ItemName:,Thorned Greatsword
Generate ESB ItemName:,Thorolund Talisman
Generate ESB ItemName:,Threaded Cane
Generate ESB ItemName:,Tin Banishment Catalyst
Generate ESB ItemName:,Tin Crystallization Catalyst
Generate ESB ItemName:,Tin Darkmoon Catalyst
Generate ESB ItemName:,Titanite Catch Pole
Generate ESB ItemName:,Tonitrus
Generate ESB ItemName:,Torchpole
Generate ESB ItemName:,Transgressor's Staff
Generate ESB ItemName:,Treespear
Generate ESB ItemName:,Troll Knight's Sword
Generate ESB ItemName:,Troll's Golden Sword
Generate ESB ItemName:,Troll's Hammer
Generate ESB ItemName:,Twin Princes' Greatsword
Generate ESB ItemName:,Twin-Headed Greatbow
Generate ESB ItemName:,Twinblade
Generate ESB ItemName:,Twinned Knight Swords
Generate ESB ItemName:,Uchigatana
Generate ESB ItemName:,Umbral Dagger
Generate ESB ItemName:,Urumi
Generate ESB ItemName:,Valorheart
Generate ESB ItemName:,Varangian Sword
Generate ESB ItemName:,Varré's Bouquet
Generate ESB ItemName:,Velka's Rapier
Generate ESB ItemName:,Velka's Talisman
Generate ESB ItemName:,Venomous Fang
Generate ESB ItemName:,Veteran's Prosthesis
Generate ESB ItemName:,Vordt's Great Hammer
Generate ESB ItemName:,Vulgar Militia Shotel
Generate ESB ItemName:,Vyke's War Spear
Generate ESB ItemName:,Wakizashi
Generate ESB ItemName:,Warden Twinblades
Generate ESB ItemName:,Warhawk's Talon
Generate ESB ItemName:,Warped Axe
Generate ESB ItemName:,Warped Sword
Generate ESB ItemName:,Warpick
Generate ESB ItemName:,Washing pole
Generate ESB ItemName:,Watchdog's Greatsword
Generate ESB ItemName:,Watchdog's Staff
Generate ESB ItemName:,Watcher Greatsword
Generate ESB ItemName:,Weathered Straight Sword
Generate ESB ItemName:,Whip
Generate ESB ItemName:,Whirligig Saw
Generate ESB ItemName:,White Birch Bow
Generate ESB ItemName:,White Hair Talisman
Generate ESB ItemName:,Wing of Astel
Generate ESB ItemName:,Winged Greathorn
Generate ESB ItemName:,Winged Knight Halberd
Generate ESB ItemName:,Winged Knight Twinaxes
Generate ESB ItemName:,Winged Scythe
Generate ESB ItemName:,Winged Spear
Generate ESB ItemName:,Witch's Locks
Generate ESB ItemName:,Witchtree Bellvine
Generate ESB ItemName:,Witchtree Branch
Generate ESB ItemName:,Wolf Knight's Greatsword
Generate ESB ItemName:,Wolnir's holy Sword
Generate ESB ItemName:,Work Hook
Generate ESB ItemName:,Wrathful Axe
Generate ESB ItemName:,Yellow Quartz Longsword
Generate ESB ItemName:,Yhorm's Great Machete
Generate ESB ItemName:,Yorgh's Spear
Generate ESB ItemName:,Yorshka's Chime
Generate ESB ItemName:,Yorshka's Spear
Generate ESB ItemName:,Zweihander
Generate ESB ItemName:,Alberich's robe
Generate ESB ItemName:,ALBINAURIC MASK
Generate ESB ItemName:,All-Knowing Helm
Generate ESB ItemName:,Alonne Captain Armor
Generate ESB ItemName:,Alva Armor
Generate ESB ItemName:,Ancient King's Breastplate
Generate ESB ItemName:,Antiquated Dress
Generate ESB ItemName:,Archdeacon White Crown
Generate ESB ItemName:,Archdrake Robes
Generate ESB ItemName:,Arianna's Shoes
Generate ESB ItemName:,Aristocrat Garb
Generate ESB ItemName:,Aristocrat's Mask
Generate ESB ItemName:,Armor of Artorias
Generate ESB ItemName:,Armor of Aurous
Generate ESB ItemName:,Armor of the Forlorn
Generate ESB ItemName:,Armor of the Glorious
Generate ESB ItemName:,Armor of the Sun
Generate ESB ItemName:,Armor of Thorns
Generate ESB ItemName:,Ashen Hunter Garb
Generate ESB ItemName:,Ashen Hunter Gloves
Generate ESB ItemName:,Assassin Armor
Generate ESB ItemName:,Astrologer Robe
Generate ESB ItemName:,Astrologist's Robe
Generate ESB ItemName:,Azur's Manchettes
Generate ESB ItemName:,Bandit Armor
Generate ESB ItemName:,Bandit Mask
Generate ESB ItemName:,Banished Knight Armor
Generate ESB ItemName:,Battlemage Robe
Generate ESB ItemName:,Beak Mask
Generate ESB ItemName:,Beast Champion Gauntlets
Generate ESB ItemName:,Beast Hide Garb
Generate ESB ItemName:,Bell Keeper Bellyband
Generate ESB ItemName:,Benhart's Armor
Generate ESB ItemName:,Big Hat
Generate ESB ItemName:,Billed Mask
Generate ESB ItemName:,Black Church Garb
Generate ESB ItemName:,Black Cleric Robe
Generate ESB ItemName:,Black Dragon Armor
Generate ESB ItemName:,Black Dress
Generate ESB ItemName:,Black Hand Armor
Generate ESB ItemName:,Black Hollow Mage Robe
Generate ESB ItemName:,Black Hood
Generate ESB ItemName:,Black Hooded Iron Helm
Generate ESB ItemName:,Black Iron Armor
Generate ESB ItemName:,Black Knife Armor
Generate ESB ItemName:,Black Knight Armor
Generate ESB ItemName:,Black Leather Armor
Generate ESB ItemName:,Black Robes
Generate ESB ItemName:,Black Sorcerer Cloak
Generate ESB ItemName:,Black Witch Robe
Generate ESB ItemName:,Black Wolf Mask
Generate ESB ItemName:,Blackflame Monk Greaves
Generate ESB ItemName:,Blaidd's Armor
Generate ESB ItemName:,Blindfold Cap
Generate ESB ItemName:,Bloodhound Knight Armor
Generate ESB ItemName:,Bloodied Arm Bands
Generate ESB ItemName:,Bloodsoaked Mask
Generate ESB ItemName:,Bloodsoaked Tabard
Generate ESB ItemName:,Blue Cloth Vest
Generate ESB ItemName:,Blue Festive Hood
Generate ESB ItemName:,Blue Silver Mail Armor
Generate ESB ItemName:,Bone Ash Armor
Generate ESB ItemName:,Bone Ash Hat
Generate ESB ItemName:,Bone Ash Mask
Generate ESB ItemName:,Bone Crown
Generate ESB ItemName:,Bone King Robe
Generate ESB ItemName:,Brador's Testimony
Generate ESB ItemName:,Brass Armor
Generate ESB ItemName:,Briar Armor
Generate ESB ItemName:,Brigand Armor
Generate ESB ItemName:,Brigand Gauntlets
Generate ESB ItemName:,Bull-Goat Helm
Generate ESB ItemName:,Butcher Garb
Generate ESB ItemName:,Butcher Mask
Generate ESB ItemName:,Cainhurst Armor
Generate ESB ItemName:,Cainhurst Helmet
Generate ESB ItemName:,Carian Knight Armor
Generate ESB ItemName:,Carim Helm
Generate ESB ItemName:,Catarina Armor
Generate ESB ItemName:,Cathedral Knight Armor
Generate ESB ItemName:,Chain Armor
Generate ESB ItemName:,Chain-Draped Tabard
Generate ESB ItemName:,Champion Pauldron
Generate ESB ItemName:,Chaos Robe
Generate ESB ItemName:,Charred Hunter Garb
Generate ESB ItemName:,Chester's Long Coat
Generate ESB ItemName:,Choir Garb
Generate ESB ItemName:,Cleanrot Armor
Generate ESB ItemName:,Cleric Armor
Generate ESB ItemName:,Cleric Blue Robe
Generate ESB ItemName:,Commoner's Garb
Generate ESB ItemName:,Confessor Set
Generate ESB ItemName:,Conjurator Robe
Generate ESB ItemName:,Consort's Mask
Generate ESB ItemName:,Constable's Garb
Generate ESB ItemName:,Cornyx's Garb
Generate ESB ItemName:,Court Sorcerer Robe
Generate ESB ItemName:,Creighton's Chainmail
Generate ESB ItemName:,Crimson Robe
Generate ESB ItemName:,Crowfeather Garb
Generate ESB ItemName:,Crown of Dusk
Generate ESB ItemName:,Crown of Illusions
Generate ESB ItemName:,Crown of the Dark Sun
Generate ESB ItemName:,Crucible Axe Armor
Generate ESB ItemName:,Crystalline Armor
Generate ESB ItemName:,Cuckoo Knight Armor
Generate ESB ItemName:,Cuckoo Surcoat
Generate ESB ItemName:,Dancer's Armor
Generate ESB ItemName:,Dark Armor
Generate ESB ItemName:,Dark Mask
Generate ESB ItemName:,Dark Silver Armor
Generate ESB ItemName:,Deacon Robe
Generate ESB ItemName:,Decorative Old Hunter Garb
Generate ESB ItemName:,Depraved Perfumer Robe
Generate ESB ItemName:,Desert Sorceress Top
Generate ESB ItemName:,Deserter Armor
Generate ESB ItemName:,Dingy Robe
Generate ESB ItemName:,Doll Clothes
Generate ESB ItemName:,Doll Hat
Generate ESB ItemName:,Doll Skirt
Generate ESB ItemName:,Dragon Acolyte Mask
Generate ESB ItemName:,Dragonrider Armor
Generate ESB ItemName:,Dragonscale Armor
Generate ESB ItemName:,Dragonslayer Armor
Generate ESB ItemName:,Drake Knight Armor
Generate ESB ItemName:,Drakeblood Armor
Generate ESB ItemName:,Drakekeeper Helm
Generate ESB ItemName:,Drang Armor
Generate ESB ItemName:,Drummonds Helm
Generate ESB ItemName:,Eastern Armor
Generate ESB ItemName:,Eccentric's Hood
Generate ESB ItemName:,Elden Lord Crown
Generate ESB ItemName:,Elite Knight Armor
Generate ESB ItemName:,Embraced Armor of Favor
Generate ESB ItemName:,Enlarged Head
Generate ESB ItemName:,Erdtree Surcoat
Generate ESB ItemName:,Errant Sorcerer Robe
Generate ESB ItemName:,Evangelist Robe
Generate ESB ItemName:,Executioner Armor
Generate ESB ItemName:,Executioner Garb
Generate ESB ItemName:,Executioner Gauntlets
Generate ESB ItemName:,Exile Gauntlets
Generate ESB ItemName:,Exile Mask
Generate ESB ItemName:,Falconer Gloves
Generate ESB ItemName:,Fallen Knight Armor
Generate ESB ItemName:,Faraam Armor
Generate ESB ItemName:,Faraam Gauntlets
Generate ESB ItemName:,Fia's Robe
Generate ESB ItemName:,Finger Maiden Shoes
Generate ESB ItemName:,Fingerprint Armor
Generate ESB ItemName:,Fire Keeper Robe
Generate ESB ItemName:,Fire Monk Armor
Generate ESB ItemName:,Fire Prelate Helm
Generate ESB ItemName:,Fire Witch Gauntlets
Generate ESB ItemName:,Firelink Armor
Generate ESB ItemName:,Foot Soldier Greaves
Generate ESB ItemName:,Foot Soldier Tabard
Generate ESB ItemName:,Foreign Garb
Generate ESB ItemName:,Fur Raiment
Generate ESB ItemName:,Gascoigne's Cap
Generate ESB ItemName:,Gascoigne's Garb
Generate ESB ItemName:,Gauntlets of Favor
Generate ESB ItemName:,Gauntlets of the Vanquisher
Generate ESB ItemName:,Gauntlets of Thorns
Generate ESB ItemName:,Gehrman's Hunter Cap
Generate ESB ItemName:,Gehrman's Hunter Garb
Generate ESB ItemName:,Gelmir Knight Armor
Generate ESB ItemName:,Giant Armor
Generate ESB ItemName:,Gilded Foot Soldier Cap
Generate ESB ItemName:,Gloom Armor
Generate ESB ItemName:,Godrick Knight Armor
Generate ESB ItemName:,Godskin Apostle Robe
Generate ESB ItemName:,Godskin Noble Hood
Generate ESB ItemName:,Gold Ardeo
Generate ESB ItemName:,Gold-Hemmed Black Cloak
Generate ESB ItemName:,Goldmask's Rags
Generate ESB ItemName:,Golem Armor
Generate ESB ItemName:,Gough's Armor
Generate ESB ItemName:,Grave Warden Robe
Generate ESB ItemName:,Grave Warden Top
Generate ESB ItemName:,Graveguard Mask
Generate ESB ItemName:,Graveguard Robe
Generate ESB ItemName:,Gravekeeper Cloak
Generate ESB ItemName:,Great Horned Headband
Generate ESB ItemName:,Grey Wolf Cap
Generate ESB ItemName:,Guardian Armor
Generate ESB ItemName:,Guardian Bracers
Generate ESB ItemName:,Guilty Hood
Generate ESB ItemName:,Gundyr's Armor
Generate ESB ItemName:,Gyrm Armor
Generate ESB ItemName:,Haima Glintstone Crown
Generate ESB ItemName:,Haligtree Gauntlets
Generate ESB ItemName:,Haligtree Knight Armor
Generate ESB ItemName:,Haligtree Knight Helm
Generate ESB ItemName:,Hard Leather Armor
Generate ESB ItemName:,Harrowed Garb
Generate ESB ItemName:,Havel's Armor
Generate ESB ItemName:,Havel's Gauntlets
Generate ESB ItemName:,Heavy Boots
Generate ESB ItemName:,Heide Knight Chainmail
Generate ESB ItemName:,Henryk's Hunter Cap
Generate ESB ItemName:,Henryk's Hunter Garb
Generate ESB ItemName:,Herald Armor
Generate ESB ItemName:,Hexer's Robes
Generate ESB ItemName:,Hierodas Glintstone Crown
Generate ESB ItemName:,High Page Hood
Generate ESB ItemName:,Highwayman Cloth Armor
Generate ESB ItemName:,Hollow Infantry Armor
Generate ESB ItemName:,Hollow Soldier Armor
Generate ESB ItemName:,Hollow Thief's Leather Armor
Generate ESB ItemName:,Hollow Warrior Armor
Generate ESB ItemName:,Holy Robe
Generate ESB ItemName:,Hoslow's Armor
Generate ESB ItemName:,Hoslow's Helm
Generate ESB ItemName:,Hunter Garb
Generate ESB ItemName:,Hunter Hat
Generate ESB ItemName:,Imperious Armor
Generate ESB ItemName:,Insolent Armor
Generate ESB ItemName:,Iron Kasa
Generate ESB ItemName:,Ironclad Armor
Generate ESB ItemName:,Jailer Robe
Generate ESB ItemName:,Jester's Robes
Generate ESB ItemName:,Juvenile Scholar Robe
Generate ESB ItemName:,Kaiden Armor
Generate ESB ItemName:,Karla's Coat
Generate ESB ItemName:,Karolos Glintstone Crown
Generate ESB ItemName:,Khaki Haori
Generate ESB ItemName:,King's Armor
Generate ESB ItemName:,Knight Armor
Generate ESB ItemName:,Knight's Garb
Generate ESB ItemName:,Knight's Wig
Generate ESB ItemName:,Land of Reeds Armor
Generate ESB ItemName:,Lazuli Glintstone Crown
Generate ESB ItemName:,Lazuli Robe
Generate ESB ItemName:,Leather Armor
Generate ESB ItemName:,Leonhard's Garb
Generate ESB ItemName:,Leydia Black Robe
Generate ESB ItemName:,Leydia White Robe
Generate ESB ItemName:,Leyndell Knight Armor
Generate ESB ItemName:,Lion Mage Skirt
Generate ESB ItemName:,Lion Warrior Cape
Generate ESB ItemName:,Lion Warrior Cuffs
Generate ESB ItemName:,Lionel's Armor
Generate ESB ItemName:,Llewellyn Armor
Generate ESB ItemName:,Looking Glass Armor
Generate ESB ItemName:,Lord's Blade Robe
Generate ESB ItemName:,Lorian's Armor
Generate ESB ItemName:,Lorian's Helm
Generate ESB ItemName:,Lothric Knight Armor
Generate ESB ItemName:,Lucatiel's Gloves
Generate ESB ItemName:,Lucatiel's Mask
Generate ESB ItemName:,Lusat's Glintstone Crown
Generate ESB ItemName:,Lusat's Robe
Generate ESB ItemName:,Mad Warrior Armor
Generate ESB ItemName:,Madman Garb
Generate ESB ItemName:,Madman Hood
Generate ESB ItemName:,Maiden Robe
Generate ESB ItemName:,Malenia's Armor
Generate ESB ItemName:,Malenia's Winged Helm
Generate ESB ItemName:,Malformed Dragon Armor
Generate ESB ItemName:,Maliketh's Gauntlets
Generate ESB ItemName:,Manikin Mask
Generate ESB ItemName:,Marais Mask
Generate ESB ItemName:,Marais Robe
Generate ESB ItemName:,Maria Hunter Garb
Generate ESB ItemName:,Marionette Soldier Helm
Generate ESB ItemName:,Mask of the Sealer
Generate ESB ItemName:,Master's Attire
Generate ESB ItemName:,Master's Iron Helm
Generate ESB ItemName:,Mausoleum Knight Armor
Generate ESB ItemName:,Mausoleum Surcoat
Generate ESB ItemName:,Mensis Cage
Generate ESB ItemName:,Mirrah Chain Mail
Generate ESB ItemName:,Mirrah Vest
Generate ESB ItemName:,Monastery Long Gloves
Generate ESB ItemName:,Moon Butterfly Wings
Generate ESB ItemName:,Moonlight Robe
Generate ESB ItemName:,Morne's Armor
Generate ESB ItemName:,Mushroom Body
Generate ESB ItemName:,Nahr Alma Robes
Generate ESB ItemName:,Nameless Knight Armor
Generate ESB ItemName:,Navy Hood
Generate ESB ItemName:,Night Maiden Twin Crown
Generate ESB ItemName:,Night's Cavalry Armor
Generate ESB ItemName:,Noble Dress
Generate ESB ItemName:,Noble's Traveling Garb
Generate ESB ItemName:,Nomadic Merchant's Finery
Generate ESB ItemName:,Northern Armor
Generate ESB ItemName:,Nox Monk Armor
Generate ESB ItemName:,Nox Swordstress Crown
Generate ESB ItemName:,Official's Attire
Generate ESB ItemName:,Okina Mask
Generate ESB ItemName:,Old Aristocrat Cowl
Generate ESB ItemName:,Old Hunter Garb
Generate ESB ItemName:,Old Hunter Gloves
Generate ESB ItemName:,Old Hunter Top Hat
Generate ESB ItemName:,Old Ironclad Armor
Generate ESB ItemName:,Old Knight Armor
Generate ESB ItemName:,Old Sage's Blindfold
Generate ESB ItemName:,Old Sorcerer Coat
Generate ESB ItemName:,Omen Armor
Generate ESB ItemName:,Omenkiller Robe
Generate ESB ItemName:,Omensmirk Mask
Generate ESB ItemName:,Ornstein's Armor
Generate ESB ItemName:,Ornstein's Helm
Generate ESB ItemName:,Outrider Knight Armor
Generate ESB ItemName:,Page Garb
Generate ESB ItemName:,Painting Guardian Gown
Generate ESB ItemName:,Painting Guardian Robe
Generate ESB ItemName:,Paladin Armor
Generate ESB ItemName:,Pale Shade Robe
Generate ESB ItemName:,Pate's Armor
Generate ESB ItemName:,Peasant Attire
Generate ESB ItemName:,Penal Mask
Generate ESB ItemName:,Penal Straightjacket
Generate ESB ItemName:,Perfumer Robe
Generate ESB ItemName:,Pharis's Hat
Generate ESB ItemName:,Pontiff Knight Crown
Generate ESB ItemName:,Porcelain Mask
Generate ESB ItemName:,Preceptor's Big Hat
Generate ESB ItemName:,Preceptor's Long Gown
Generate ESB ItemName:,Priestess Robe
Generate ESB ItemName:,Prisoner Clothing
Generate ESB ItemName:,Prisoner Iron Mask
Generate ESB ItemName:,Prisoner's Tatters
Generate ESB ItemName:,Prophet Blindfold
Generate ESB ItemName:,Prophet Robe
Generate ESB ItemName:,Pyromancer Garb
Generate ESB ItemName:,Queen's Crescent Crown
Generate ESB ItemName:,Queen's Robe
Generate ESB ItemName:,Radahn's Lion Armor
Generate ESB ItemName:,Radiant Gold Mask
Generate ESB ItemName:,Raging Wolf Armor
Generate ESB ItemName:,Raptor's Black Feathers
Generate ESB ItemName:,Redmane Knight Armor
Generate ESB ItemName:,Redmane Surcoat
Generate ESB ItemName:,Robe of Judgment
Generate ESB ItemName:,Robe of Prayer
Generate ESB ItemName:,Robe of the Channelers
Generate ESB ItemName:,Robe of the Great Lord
Generate ESB ItemName:,Rogue Armor
Generate ESB ItemName:,Ronin's Armor
Generate ESB ItemName:,Rotten Duelist Helm
Generate ESB ItemName:,Rotten Gravekeeper Cloak
Generate ESB ItemName:,Royal Knight Armor
Generate ESB ItemName:,Royal Knight Helm
Generate ESB ItemName:,Royal Remains Armor
Generate ESB ItemName:,Royal Remains Helm
Generate ESB ItemName:,Royal Soldier Armor
Generate ESB ItemName:,Royal Swordsman Armor
Generate ESB ItemName:,Ruin Armor
Generate ESB ItemName:,Ruler's Mask
Generate ESB ItemName:,Rumpled Yharnam Hat
Generate ESB ItemName:,Rusted Mastodon Armor
Generate ESB ItemName:,Sage Robe
Generate ESB ItemName:,Saint's Dress
Generate ESB ItemName:,Sanguine Noble Hood
Generate ESB ItemName:,Sanguine Noble Robe
Generate ESB ItemName:,Sanguine Noble Waistcloth
Generate ESB ItemName:,Scale Armor
Generate ESB ItemName:,Scaled Armor
Generate ESB ItemName:,Scarlet Tabard
Generate ESB ItemName:,Sellsword Armor
Generate ESB ItemName:,Shabby Set
Generate ESB ItemName:,Shadow Garb
Generate ESB ItemName:,Shadow Top
Generate ESB ItemName:,Shaman Furs
Generate ESB ItemName:,Shining Horned Headband
Generate ESB ItemName:,Silver Knight Armor
Generate ESB ItemName:,Silver Mask
Generate ESB ItemName:,Six-Eyed Helm of the Channelers
Generate ESB ItemName:,Skeletal Mask
Generate ESB ItemName:,Smelter Demon Armor
Generate ESB ItemName:,Smough's Armor
Generate ESB ItemName:,Sneering Mask
Generate ESB ItemName:,Snickering Top Hat
Generate ESB ItemName:,Snow Witch Hat
Generate ESB ItemName:,Snow Witch Robe
Generate ESB ItemName:,Sorcerer Cloak
Generate ESB ItemName:,Sorcerer Robe
Generate ESB ItemName:,Spellblade's Pointed Hat
Generate ESB ItemName:,Spellblade's Traveling Attire
Generate ESB ItemName:,Steel Armor
Generate ESB ItemName:,Stone Armor
Generate ESB ItemName:,Student Uniform
Generate ESB ItemName:,Sullied Bandage
Generate ESB ItemName:,Sunless Veil
Generate ESB ItemName:,Sunset Helm
Generate ESB ItemName:,Surgical Long Gloves
Generate ESB ItemName:,Syan's Gauntlets
Generate ESB ItemName:,Targray's Armor
Generate ESB ItemName:,Tattered Cloth Robe
Generate ESB ItemName:,Thief Mask
Generate ESB ItemName:,Throne Defender Armor
Generate ESB ItemName:,Tomb Prospector Garb
Generate ESB ItemName:,Traveler's Clothes
Generate ESB ItemName:,Traveler's Gloves
Generate ESB ItemName:,Traveling Maiden Robe
Generate ESB ItemName:,Traveling Merchant Hat
Generate ESB ItemName:,Tree Sentinel Armor
Generate ESB ItemName:,Tree-and-Beast Surcoat
Generate ESB ItemName:,Tseldora Robe
Generate ESB ItemName:,Twinned Armor
Generate ESB ItemName:,Undead Legion Armor
Generate ESB ItemName:,Upper Classman Uniform
Generate ESB ItemName:,Vagabond Knight Armor
Generate ESB ItemName:,Varangian Armor
Generate ESB ItemName:,Velstadt's Armor
Generate ESB ItemName:,Vengarl's Armor
Generate ESB ItemName:,Veteran's Armor
Generate ESB ItemName:,Wanderer Coat
Generate ESB ItemName:,War Surgeon Gown
Generate ESB ItemName:,Warrior Gauntlets
Generate ESB ItemName:,White Church Garb
Generate ESB ItemName:,White Church Hat
Generate ESB ItemName:,White Hollow Mage Robe
Generate ESB ItemName:,White Mask
Generate ESB ItemName:,White Priest Robe
Generate ESB ItemName:,White Reed Armor
Generate ESB ItemName:,Winged Knight Leggings
Generate ESB ItemName:,Witch Cloak
Generate ESB ItemName:,Witch Hat
Generate ESB ItemName:,Wizard's Clothes
Generate ESB ItemName:,Wolf Knight Armor
Generate ESB ItemName:,Worker Gloves
Generate ESB ItemName:,Xanthous Crown
Generate ESB ItemName:,Xanthous Overcoat
Generate ESB ItemName:,Yahar'gul Black Garb
Generate ESB ItemName:,Yamamura Hunter Hat
Generate ESB ItemName:,Yharnam Hunter Cap
Generate ESB ItemName:,Yharnam Hunter Garb
Generate ESB ItemName:,Zamor Armor
Generate ESB ItemName:,Zamor Mask
Generate ESB ItemName:,Alluring Skull
Generate ESB ItemName:,Amber Herb
Generate ESB ItemName:,Black Firebomb
Generate ESB ItemName:,Bleed Stone
Generate ESB ItemName:,Bleeding Serum
Generate ESB ItemName:,Blessed Gem
Generate ESB ItemName:,Blood Gem
Generate ESB ItemName:,Bloodred Moss Clump
Generate ESB ItemName:,Blooming Purple Moss Clump
Generate ESB ItemName:,Boltstone
Generate ESB ItemName:,Bonfire Ascetic
Generate ESB ItemName:,Brightbug
Generate ESB ItemName:,Budding Green Blossom
Generate ESB ItemName:,Carthus Rouge
Generate ESB ItemName:,Chaos Gem
Generate ESB ItemName:,Charcoal Pine Resin
Generate ESB ItemName:,Church Guardian Shiv
Generate ESB ItemName:,Common Fruit
Generate ESB ItemName:,Corrosive Urn
Generate ESB ItemName:,Crimson Water
Generate ESB ItemName:,Crushed Eye Orb
Generate ESB ItemName:,Crystal Ember
Generate ESB ItemName:,Crystal Gem
Generate ESB ItemName:,Dark Arrow
Generate ESB ItemName:,Dark Ember
Generate ESB ItemName:,Dark Gem
Generate ESB ItemName:,Dark Troches
Generate ESB ItemName:,Darknight Stone
Generate ESB ItemName:,Deep Gem
Generate ESB ItemName:,Destructive Greatarrow
Generate ESB ItemName:,Divine Blessing
Generate ESB ItemName:,Divine Ember
Generate ESB ItemName:,Divine Spear Fragment
Generate ESB ItemName:,Dragon Charm
Generate ESB ItemName:,Dragon Scale
Generate ESB ItemName:,Dragonslayer Arrow
Generate ESB ItemName:,Dragonslayer Greatarrow
Generate ESB ItemName:,Dragonslayer Lightning Arrow
Generate ESB ItemName:,Dried Root
Generate ESB ItemName:,Duel Charm
Generate ESB ItemName:,Dung Pie
Generate ESB ItemName:,Egg Vermifuge
Generate ESB ItemName:,Elizabeth Mushroom
Generate ESB ItemName:,Elizabeth's Mushroom
Generate ESB ItemName:,Enchanted Ember
Generate ESB ItemName:,Estus Flask
Generate ESB ItemName:,Estus Flask Shard
Generate ESB ItemName:,Exploding Bolt
Generate ESB ItemName:,Faint Stone
Generate ESB ItemName:,Feather Arrow
Generate ESB ItemName:,Fire Arrow
Generate ESB ItemName:,Fire Gem
Generate ESB ItemName:,Fire Greatarrow
Generate ESB ItemName:,Fire Keeper Soul
Generate ESB ItemName:,Fire Seed
Generate ESB ItemName:,Firebomb
Generate ESB ItemName:,Firedrake Stone
Generate ESB ItemName:,Flame Butterfly
Generate ESB ItemName:,Fragrant Branch of Yore
Generate ESB ItemName:,Gold Pine Resin
Generate ESB ItemName:,Gough's Great Arrow
Generate ESB ItemName:,Green Blossom
Generate ESB ItemName:,Heavy Bolt
Generate ESB ItemName:,Heavy Gem
Generate ESB ItemName:,Hexing Urn
Generate ESB ItemName:,Hidden Blessing
Generate ESB ItemName:,Hollow Gem
Generate ESB ItemName:,Holy Water Urn
Generate ESB ItemName:,Homeward Bone
Generate ESB ItemName:,Human Effigy
Generate ESB ItemName:,Human Pine Resin
Generate ESB ItemName:,Humanity
Generate ESB ItemName:,Iron Greatarrow
Generate ESB ItemName:,Kukri
Generate ESB ItemName:,Lacerating Knife
Generate ESB ItemName:,Large Arrow
Generate ESB ItemName:,Large Divine Ember
Generate ESB ItemName:,Large Ember
Generate ESB ItemName:,Large Flame Ember
Generate ESB ItemName:,Large Magic Ember
Generate ESB ItemName:,Large Titanite Shard
Generate ESB ItemName:,Lifegem
Generate ESB ItemName:,Lightning Bolt
Generate ESB ItemName:,Lightning Gem
Generate ESB ItemName:,Lightning Greatarrow
Generate ESB ItemName:,Lightning Urn
Generate ESB ItemName:,Lloyd's Talisman
Generate ESB ItemName:,Magic Arrow
Generate ESB ItemName:,Magic Bolt
Generate ESB ItemName:,Magic Stone
Generate ESB ItemName:,Millwood Greatarrow
Generate ESB ItemName:,Monastery Charm
Generate ESB ItemName:,Moonlight Arrow
Generate ESB ItemName:,Mossfruit
Generate ESB ItemName:,Old Growth Balm
Generate ESB ItemName:,Old Mundane Stone
Generate ESB ItemName:,Old Radiant Lifegem
Generate ESB ItemName:,Onislayer Greatarrow
Generate ESB ItemName:,Pale Pine Resin
Generate ESB ItemName:,Palestone
Generate ESB ItemName:,Petrified Dragon Bone
Generate ESB ItemName:,Petrified Something
Generate ESB ItemName:,Pharros' Lockstone
Generate ESB ItemName:,Poison Arrow
Generate ESB ItemName:,Poison Gem
Generate ESB ItemName:,Poison Moss
Generate ESB ItemName:,Poison Stone
Generate ESB ItemName:,Poison Throwing Knife
Generate ESB ItemName:,Prism Stone
Generate ESB ItemName:,Purging Stone
Generate ESB ItemName:,Purple Moss Clump
Generate ESB ItemName:,Radiant Lifegem
Generate ESB ItemName:,Raw Gem
Generate ESB ItemName:,Refined Gem
Generate ESB ItemName:,Repair Powder
Generate ESB ItemName:,Ritual Spear Fragment
Generate ESB ItemName:,Rotten Pine Resin
Generate ESB ItemName:,Rouge Water
Generate ESB ItemName:,Rusted Coin
Generate ESB ItemName:,
Generate ESB ItemName:,Rusted Silver Coin
Generate ESB ItemName:,Rusted Gold Coin
Generate ESB ItemName:,Seed of a Tree of Giants
Generate ESB ItemName:,Sharp Gem
