Prompt,Completion,,
Generate ESB ItemName:Firing Hammer Badgeand it's \nDescription:,"Badge crafted by the Oto Workshop, precursor to the workshop of the heretical Powder Kegs. The Powder Kegs were driven by singular ideas, and crafted strange weapons of great intricancy. It is clear that the philosophy of the Powder Kegs was already established at this time.",,
Generate ESB ItemName:Flame Quartz Ringand it's \nDescription:,A ring bestowed upon students of a certain standard of the Melfian Magic Academy. It's fire-based quartz increases fire defense. There are rumors that Pyromancer Glocken has made a hefty profit selling these replicas.,,
Generate ESB ItemName:Flame Stoneplate Ringand it's \nDescription:,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships. The red stoneplate symbolizes fire, and boosts defence against flame.",,
Generate ESB ItemName:Flynn's Ringand it's \nDescription:,"Ring of Flynn, the infamous thief. Utilizes the strength of the wind, such that lower equip load proportionally increases physical attack. Flynn was known as a tiny fighter who packed a mighty punch. Even the most skilled warriors in the land failed to capture him.",,
Generate ESB ItemName:Fool's Blood Gemstoneand it's \nDescription:,"A blood gem that fortifies weapons and add various properties. This particular specimen has a pronounced effect, due to its extended state of dampness. Most radial blood gems have effects that bear upon physical attacks.",,
Generate ESB ItemName:Formless Oedon Runeand it's \nDescription:,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The Great One Oedon, lacking form, exists only in voice, and is symbolized by this rune. Those who memorize it enjoy a larger supply of Quicksilver Bullets. Human or no, the oozing blood is a medium of the highest grade, and the essence of the formless Great One. Both Oedon, and his inadvertent worshippers, surreptitiously seek the precious blood.",,
Generate ESB ItemName:Frenzied Coldbloodand it's \nDescription:,"A rich droplet of coldblood containing Blood Echoes. Use to gain frenzied Blood Echoes. This manifestation of madness comes from a mind teetering on the very brink, but has a sane mind ever produced anything of true significance?",,
Generate ESB ItemName:Gargoyle's Shieldand it's \nDescription:,Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church. The gargoyle's skin is tough by itself and perhaps its shield may have been a prop for it is a rare example of a metal shield that does not reduce physical damage 100%.,,
Generate ESB ItemName:Giant Shieldand it's \nDescription:,Greatshield made of bronze and marcasite. Used by the giant sentinels of Anor Londo. Marcasite or white iron is effective against non-physical damage but as the shield is designed for the giant sentineles its weight is unbearable.,,
Generate ESB ItemName:Gold Blood Gemand it's \nDescription:,"A blood gem that fortifies weapons and adds various properties. Most radial blood gems have effects that bear upon physical attacks, and this golden radial blood gem, kept for generations within the Church, strengthens attacks against those afflicted intensely by beasthood. When clerics began transforming into unspeakable beasts, the Church needed something to retaliate with.",,
Generate ESB ItemName:Gold Coinand it's \nDescription:,"Coin made of gold, with Allfather Lloyd and his white halo shown on its face. Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls. Those who dream of returning to the outside world are fond of carrying these around.",,
Generate ESB ItemName:Gold Coinand it's \nDescription:,"Coin made of gold, with Allfather Lloyd and his white halo shown on its face. Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls. Those who dream of returning to the outside world are fond of carrying these around.",,
Generate ESB ItemName:Gold Pendantand it's \nDescription:,"Pendant of Vicar Amelia. Use to change into a Blood Gem, which fortifies weapons. This pendant, passed down among the vicars who head the Healing Church, is a reminder of the cautionary adage. To reveal the adage, touch the altar skull.",,
Generate ESB ItemName:Golden Scrolland it's \nDescription:,"A golden scroll chronicling the vast research of the xanthous scholars. Give to a sorcerer to learn the arts of Oolacile. In the lost land of Oolacile, the sorceries orchestrated light, and were said to shine in golden hues.",,
Generate ESB ItemName:Gower's Ring of Protectionand it's \nDescription:,"The Ring of the assassin Gower, who has killed a half-dozen kings, and several distinguished clergymen. Reduces damage taken from behind. For an assassin. whose own life is always at stake, the greatest liability is one's exposed back.",,
Generate ESB ItemName:Grass Crest Shieldand it's \nDescription:,Old medium metal shield of unknown origin. The grass crest is lightly imbued with magic which slightly speeds stamina recovery,,
Generate ESB ItemName:Grave Warden Pyromancy Tomeand it's \nDescription:,"A pyromancy tome of the grave warden, from the Carthus catacombs. Give to the pyromancer master to learn black flame sorceries. High Lord Wolnir of Carthus succumbed to the Abyss, but the pyromancer later became a grave warden, and discovered the black flame.",,
Generate ESB ItemName:Great Deep Sea Runeand it's \nDescription:,"A secret symbol left by Caryll, runesmith of ByrgenwertThis transcription of the Great Ones' inhuman voices depicts downreaching currents. This rune means Deep Sea and grants augmented resistance. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours.",,
Generate ESB ItemName:Great One Coldbloodand it's \nDescription:,"Relic containing the Blood Echoes of a Great One. Use to gain cosmically nightmarish Blood Echoes. Like a true revelation, this uncanny relic defies understanding",,
Generate ESB ItemName:Great One's Wisdomand it's \nDescription:,"Fragments of the lost wisdom of the Great Ones, beings that might be described as gods. Use to gain Insight. At Byrgenwerth Master Willem had an epiphany: We are thinking on the basest of planes. What we need, are more eyes.",,
Generate ESB ItemName:Great Swamp Pyromancy Tomeand it's \nDescription:,"Pyromancy tome from the Great Swamp containing advanced pyromancies. Give to the old master pyromancer to learn advanced pyromancies of the Great Swamp. Spells of the Great Swamp are passed down from master to pupil. Without a master, there is no pupil, but without a pupil, there is also no master.",,
Generate ESB ItemName:Great Swamp Ringand it's \nDescription:,"Ring said to be chiseled from the bone of a flame salamander by blighted Pyromancers living in the Great Swamp. Boosts pyromancies. It is believed that salamanders are the descendants of demons, born of the Chaos Flame, from which Pyromancy is also said to have originated.",,
Generate ESB ItemName:Greatshield of Artoriasand it's \nDescription:,Shield born from the soul of the great grey wolf Sif guardian of the grave of the Abysswalker Knight Artorias. Boasts consistent defense and divine protection against various status effects.,,
Generate ESB ItemName:Guardian's Sealand it's \nDescription:,"Ring of the Blue Sentinel covenant. Join this covenant and wear this ring to be automatically summoned to the worlds of blue apostles who have been invaded by dark spirits. The ring is engraved with the crest of the Way of Blue, symbolizing the dignified oath to protect each world's master from dark spirits.",,
Generate ESB ItemName:Guidance Runeand it's \nDescription:,"A Caryll rune discovered by the old hunter Ludwig along with the Holy Moonlight Sword. Boosts amount of life recovered by rallying. When Ludwig closed his eyes, he saw darkness, or perhaps nothingness, and that is where he discovered the tiny beings of light. Ludwig was certain that these playful dancing sprites offered guidance They could empty Ludwig of his fears at least in the midst of a hunt.",,
Generate ESB ItemName:Hand Lanternand it's \nDescription:,"Small portable lantern. This hunting accessory provides light while leaving both hands free to hold weapons. The torch, however, provides a stronger source of light.",,
Generate ESB ItemName:Havel's Greatshieldand it's \nDescription:,Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone. This greatshield is imbued with the magic of Havel proves a strong defense and is incredibly heavy. A true divine heirloom on par with the Dragon tooth,,
Generate ESB ItemName:Havel's Ringand it's \nDescription:,"This ring was named after Havel the Rock, Lord Gwyn's old battlefield compatriot. Havel's men wore the ring to express faith in their leader and to carry a heavier load",,
Generate ESB ItemName:Havel's Ringand it's \nDescription:,"A ring for warriors keen on heavy acoutrements. Increases maximum equip load. This ring was named after Havel the Rock, the battlefield compatriot of Gwyn, the First Lord. The art of war has been a constant since ages past, and those who would follow in Havel's footsteps are no fewer now than in his own day.",,
Generate ESB ItemName:Hawk Ringand it's \nDescription:,"One of the special rings granted to the four knights of Gwyn. The Hawk Ring belonged to Hawkeye Gough, who led the Greatarchers. Boosts bow range, so that arrows fly like they were shot by Gough's great bow, which took down high-flying dragons.",,
Generate ESB ItemName:Hawk Ringand it's \nDescription:,"A ring graced with the engraving of the hawk. Extends the range of arrows. Blue eyed Durgo, the nomadic bowman, had many valiant victories in battle, half owing to the boon of this ring.",,
Generate ESB ItemName:Hawkwood's Swordgrassand it's \nDescription:,"Blood-stained swordgrass of Hawkwood, deserter of the Undead Legion. Traditionally, the Undead Legion of Farron sends the gravest of messages using swordgrass. Come to the mausoleum in Farron. Only one can take the path of ancient dragons.",,
Generate ESB ItemName:Heater Shieldand it's \nDescription:,Small metal shield. A standard widely-used shield. This shield is easy to use and is one of the smallest shields that offers 100% physical damage reduction.,,
Generate ESB ItemName:Heir Runeand it's \nDescription:,"A secret symbol left by Caryll, runesmith of Byrgenwerth. The Heir sees sentimentality in the warmth of blood, acknowledging this as one of the darker hunter techniques. More Blood Echoes gained from visceral attacks. Perhaps the Heir is a hunter who bears the echoing will of those before him.",,
Generate ESB ItemName:Hollow Soldier Shieldand it's \nDescription:,Metal shield wielded by Hollow soldiers. Heavily rusted but sturdy providing a strong defense,,
Generate ESB ItemName:Hornet Ringand it's \nDescription:,"One of the special rings granted to the four knights of Gwyn. The Hornet Ring Belonged to the Lord's Blade Ciaran. By boosting critical attacks, its wearer can annihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies.",,
Generate ESB ItemName:Horsehoof Ringand it's \nDescription:,"An old ring with a seal depicting a horse's hoof. Boosts kick effect. Unbreakable Patches adored this ring and the feeling that it gave him when he kicked his marks into the depths of treacherous traps, but suffered no shortage of ridicule from his associates for relying so heavily on the tired old trick. But who is the sorrier? The horse who knows only to kick, or the fool who approaches the old beast without thought?",,
Generate ESB ItemName:Hunter Chief Emblemand it's \nDescription:,"A cloth emblem that belonged to the captain of the Church hunters long ago. Opens the main gate that leads to the round plaza of the Great Cathedral. The main gate is shut tight on nights of the hunt, and could only be opened from the other side with this emblem. In other words, the captain's return, and this emblem, determined the end of the hunt.",,
Generate ESB ItemName:Hunter Chief Emblemand it's \nDescription:,"A cloth emblem that belonged to the captain of the Church hunters long ago. Opens the main gate that leads to the round plaza of the Great Cathedral. The main gate is shut tight on nights of the hunt, and could only be opened from the other side with this emblem. In other words, the captain's return, and this emblem, determined the end of the hunt.",,
Generate ESB ItemName:Hunter Runeand it's \nDescription:,"A Caryll Rune that transcribes inhuman sounds. This red-smudged rune means Hunter, and has been adopted by those who have taken the Hunter of Hunters oath. These watchmen admonish those who have become addled with blood. Be they men or beasts, anyone who has threatened the pledgers of the Hunter oath surely has an issue with blood.",,
Generate ESB ItemName:Hunter's Ringand it's \nDescription:,"Ring engraved with a portrait of a hunter. Increases dexterity. Increases dexterity 5 points. The hunters serve Lothric on the fringes and in the shadows. For generations, rulers of Lothric have relied especially upon the Black Hand hunters to punish enemies in ways that the king's Three Pillars cannot",,
Generate ESB ItemName:Illusory Ring of a Conquerorand it's \nDescription:,"A ring of blue stone. The stone is misshaped, however imperceptibly. renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.",,
Generate ESB ItemName:Illusory Ring of the Exaltedand it's \nDescription:,"A ring of yellow stone. The stone is misshaped, however imperceptibly. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.",,
Generate ESB ItemName:Illusory Ring of the Vengefuland it's \nDescription:,"A ring made of red stone. The stone is misshaped, perhaps imperceptibily. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches with no sword carries two on his back.",,
Generate ESB ItemName:Impurity Runeand it's \nDescription:,"A Caryll rune that transcribes inhuman sounds. This rune, discovered inside the forbidden beast eater, came to symbolize Impurity, and the oath of The League. Confederates of The League cooperate with hunters from other worlds, and hunt to discover vermin. Vermin writhe within filth, and are the root of man's impurity. Crush all vermin without hesitation.",,
Generate ESB ItemName:Indictmentand it's \nDescription:,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon",,
Generate ESB ItemName:Indictmentand it's \nDescription:,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser. The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon",,
Generate ESB ItemName:Inflicted Organand it's \nDescription:,"Special material used in a Holy Chalice ritual. Special body parts collected by the Healing Church. What was this gruesome bait used to lure? The additional rite Rotted Offering beckons ungodly forces, normally terrifying things, but also worthy prey for a special hunt.",,
Generate ESB ItemName:Iosefka's Blood Vialand it's \nDescription:,"Blood vial acquired from Iosefka's clinic. This refined blood, highly invigorating, restores a larger amount of HP. The product of a slow and careful refinement process, this rare blood vial appears to be a clinic original.",,
Generate ESB ItemName:Iron Door Keyand it's \nDescription:,"Of the three great bridges that link the two cathedral cradles, this key opens the iron door that leads to the midlevel bridge. There are no thieves in the nightmare. Then, why lock a door? Be warned, there must be a very, very good reason.",,
Generate ESB ItemName:Iron Door Keyand it's \nDescription:,"Of the three great bridges that link the two cathedral cradles, this key opens the iron door that leads to the midlevel bridge. There are no thieves in the nightmare. Then, why lock a door? Be warned, there must be a very, very good reason.",,
Generate ESB ItemName:Iron Round Shieldand it's \nDescription:,Thick iron shield of Shiva of the East. Heaviest of the standard shields. Deflects enemy attacks. A famous specimen from Shiva's collection but none who have faced it have lived to tell the tale,,
Generate ESB ItemName:Ivory Warrior Ringand it's \nDescription:,"Ring of the guardians of Eleum Loyce. Attacks greatly reduce enemy stamina. Eleum Loyce existed to subdue the raging flame, but when the ivory gates were flung open, the land grew cold and lifeless.",,
Generate ESB ItemName:Izalith Pyromancy Tomeand it's \nDescription:,"A pyromancy tome from Izalith containing pyromancies of the witches. Give to the old master pyromancer to learn chaos pyromancies of Izalith. Chaos pyromancies manipulate lava, and birthed all later forms of pyromancy.",,
Generate ESB ItemName:Key to the cell below the Grand Cathedral.and it's \nDescription:,"Hunters are held within the underground cell, so that things better left unseen, better left unknown, will decay quietly in the fallow darkness Underground Cell Inner Chamber Key",,
Generate ESB ItemName:Key to the inner chamber of the cell below the Grand Cathedral.and it's \nDescription:,"The innermost chamber of the underground cell holds a lone madman. He wears a beast hide, and rings a bell that emits no sound. Unending death awaits those who can hear the soundless bell.",,
Generate ESB ItemName:Kin Coldbloodand it's \nDescription:,"Coldblood of inhuman kin of the cosmos, brethren of the Great Ones. Use to gain unspeakable Blood Echoes. Dare not to delve into the world beyond humanity, the eldritch Truth touched upon long ago at Byrgenwerth.",,
Generate ESB ItemName:King's Ringand it's \nDescription:,"A soul is much like a curse. And those with strong souls must bear within themselves an even stronger curse. Vendrick, King of Drangleic, used a powerful soul to keep the curse at bay. In the end, he sought the flame that began it all. Wear the ring to open the King's Gate.",,
Generate ESB ItemName:Knight Shieldand it's \nDescription:,This medium metal shield is elegantly carved and painted. Although it is thought to have been used by ancient knights of nobility its defense and capabilities are similar to other shields.,,
Generate ESB ItemName:Knight Slayer's Ringand it's \nDescription:,"Ring of the savage Tsorig, more commonly known as the Knight Slayer. Long ago, Tsorig engaged the guardians of an ancient city in a bloody confrontation, and returned with their rings as his prize, still frozen on their dismembered fingers.",,
Generate ESB ItemName:Knight's Ringand it's \nDescription:,"Ring engraved with a portrait of a knight. Increases strength. In Lothric, the Knight has long been considered one of the Three Pillars of the king's rule, and were thus allowed to rear dragons.",,
Generate ESB ItemName:Lake Runeand it's \nDescription:,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices ripples like a watery reflection. This rune means Lake, and those branded by it enjoy augmented defense. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours.",,
Generate ESB ItemName:Large Blood Stone Shardand it's \nDescription:,"A large solid chunk that forms in coldblood. After death, a substance in the blood hardens, and that which does not crystalize is called a blood stone. This is no mere chunk, it is nearly a boulder. Few blood stones of such size have ever been discovered, even considering the combined experience of all the hunters.",,
Generate ESB ItemName:Large Leather Shieldand it's \nDescription:,Large leather-covered round shield. Choice shield for hunters. Wood shields are lighter than metal shields but with lower physical damage reductions and reduced shield stability.,,
Generate ESB ItemName:Laurence's Skulland it's \nDescription:,"Skull of Laurence, first vicar of the Healing Church. In reality he became the first cleric beast, and his human skull only exists within the Nightmare. The skull is a symbol of Laurence's past, and what he failed to protect. He is destined to seek his skull, but even if he found it, it could never restore his memories.",,
Generate ESB ItemName:Laurence's Skulland it's \nDescription:,"Skull of Laurence, first vicar of the Healing Church. In reality he became the first cleric beast, and his human skull only exists within the Nightmare. The skull is a symbol of Laurence's past, and what he failed to protect. He is destined to seek his skull, but even if he found it, it could never restore his memories.",,
Generate ESB ItemName:Lead Elixirand it's \nDescription:,"A heavy, syrupy liquid medicine. Temporarily shifts weight to make deflection of attacks easier, but must be used with care, as it also slows movement with no change to defense. Its recipe for this mysterious concoction is unknown, but some postulate that it materializes only within the most desperate nightmares.",,
Generate ESB ItemName:Leather Shieldand it's \nDescription:,Round leather-covered shield. A standard widely-used shield. Small shields are always less stable but landing critical hits after parry is easier.,,
Generate ESB ItemName:Lecture Theatre Keyand it's \nDescription:,"Key to the Lecture Theatre in the Lecture Building. Today, the two-story Lecture Building is adrift in the nightmare, but once it was a place of reflection, where scholars learned of history and archaeology. Perhaps it still is, as the students in the lecture theatre appear to await the return of their professor",,
Generate ESB ItemName:Left Eyeand it's \nDescription:,"Bewitched ring that Pontiff Sulyvahn bestowed upon his knights. Recovers HP with successive attacks. Knights who peer into the black orb are lured into battles of death, transformed into frenzied beasts. No wonder the Pontiff only provides these rings to those dispatched to foreign lands.",,
Generate ESB ItemName:Leo Ringand it's \nDescription:,One of the special rings granted to the four knights of Gwyn. The Leo Ring belonged to Ornstein the Dragonslayer. This ring strengthens counters with pierce weapons. His lugged spear is said to have sliced a boulder in two.,,
Generate ESB ItemName:Life Ringand it's \nDescription:,"An old ring set with a red jewel. Raises maximum HP. Each ring has a different power, and even very modest rings can be a great boon on a perilous journey.",,
Generate ESB ItemName:Life Ringand it's \nDescription:,Ring set with a small red jewel. Raises Maximum HP.,,
Generate ESB ItemName:Lightning Clutch Ringand it's \nDescription:,"Ring depicting a hand grasping a stone. Increses lightning attack, but reduces physical defense. The origin of this ring is unknown, but its design suggests one of the darker deities. Effective use of this ring requires skill on the part of the wearer.",,
Generate ESB ItemName:Lingering Dragoncrest Ringand it's \nDescription:,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School. The ring is engraved with a lingering dragon, and boosts the length of the effects of sorceries.",,
Generate ESB ItemName:Lingering Dragoncrest Ringand it's \nDescription:,"A ring used long, long ago in a land that existed where Drangleic is now. Extends the length of spell effects. Presumably, this ring was used by a high sorcerer, but no proof of such remains. Scholar of the First Sin changed to: A ring used long, long ago in a land that existed where Drangleic is now. Extends the length of spell effects. The ancient dragons were once worshipped in several nations, and rumors concerning objects of similar enchantments to this uncommon ring abound in many lands, though their origins are no longer verifiable.",,
Generate ESB ItemName:Living Stringand it's \nDescription:,"Special material used in a Holy Chalice ritual. The immense brain that Mensis retrieved from the nightmare was indeed lined with eyes on the inside, but they were of an evil sort, and the brain itself was terrible rotten. But even still, it was a legitimate Great One, and left a relic. A living relic, at that, which is a precious thing indeed.",,
Generate ESB ItemName:Lloyd's Shield Ringand it's \nDescription:,"Ring given to knights of the Way of White. Depicts Allfather Lloyd's Shield of Caste. Boosts damage absorption when HP is full. Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed.",,
Generate ESB ItemName:Lloyd's Sword Ringand it's \nDescription:,"Ring given to knights of the Way of White. Depicts Allfather Lloyd's Sword of Law. Boosts attack power when HP is full. Much time has passed since the worship of Lloyd was common in the Way of White. The clerics of Carim had always strongly asserted that Lloyd was a derivative fraud, and that the Allfather title was self-proclaimed.",,
Generate ESB ItemName:Logan's Scrolland it's \nDescription:,"Secret tome of the Profaned Capital court sorcerers, containing sorceries of Logan. Give to a sorcerer to learn Logan's sorceries. The court sorcerers used this scroll to claim heirship to Logan's legacy, though how that claim stands up to closer scrutiny is another story.",,
Generate ESB ItemName:Londor Braille Divine Tomeand it's \nDescription:,"A braille tome of Londor, first spoken by Liliane of the Sable Church. Give this to a storyteller to learn miracles of Londor. This is a forbidden tome, as it offers salvation to all Hollows, and conversely curses all things living.",,
Generate ESB ItemName:Lordvesseland it's \nDescription:,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn. The chosen Undead is granted the art of warping between bonfires. To open the final door, place this vessel on the Firelink Altar, and fill it with powerful souls.",,
Generate ESB ItemName:Lordvesseland it's \nDescription:,"Lordvessel bestowed upon the chosen Undead who is destined to succeed Lord Gwyn. The chosen Undead is granted the art of warping between bonfires. To open the final door, place this vessel on the Firelink Altar, and fill it with powerful souls.",,
Generate ESB ItemName:Loretta's Boneand it's \nDescription:,"Old, discolored human bone with several holes bored into it. A woman's corpse in the Undead Settlement was found clutching this bone. Her name was Loretta.",,
Generate ESB ItemName:Lunarium Keyand it's \nDescription:,"Key to the lunarium facing the lake on the second floor of Byrgenwerth College. In his final years, Master Willem was fond of the lookout, and the rocking chair that he kept there for meditation. In the end, it is said, he left his secret with the lake.",,
Generate ESB ItemName:Madaras Whistleand it's \nDescription:,"Whistle of the Madaras twins, denizens of the Forbidden Woods. The twins grew up alongside a poisonous snake, and developed a silent, inhuman kinship. The poisonous snake grew uncontrollably, raised on a healthy diet of beast entrails. Even after their deaths, it is said to respond to the call of the twins' whistle from within the Nightmare.",,
Generate ESB ItemName:Madman's Knowledgeand it's \nDescription:,"Skull of a madman touched by the wisdom of the Great Ones. Use to gain Insight. Making contact with eldritch wisdom is a blessing, for even if it drives one mad, it allows one to serve a grander purpose, for posterity.",,
Generate ESB ItemName:Master Keyand it's \nDescription:,"This universal key opens any basic lock. Tool of the trade for thieves. But in the cursed land of the Undead, most doors are better left unopened.",,
Generate ESB ItemName:Master Keyand it's \nDescription:,"This universal key opens any basic lock. Tool of the trade for thieves. But in the cursed land of the Undead, most doors are better left unopened.",,
Generate ESB ItemName:Messenger's Giftand it's \nDescription:,"A strange gift from the messengers, inhabitants of the dream who revere the brave hunters. Use to envelop oneself in a black nightmarish mist, then transform into a messenger. The illusion is a parlor trick. and any large movement will break the spell. To preserve the guise. proceed very slowly.",,
Generate ESB ItemName:Messenger's Giftand it's \nDescription:,"A strange gift from the messengers, inhabitants of the dream who revere the brave hunters. Use to envelop oneself in a black nightmarish mist, then transform into a messenger. The illusion is a parlor trick. and any large movement will break the spell. To preserve the guise. proceed very slowly.",,
Generate ESB ItemName:Milkweed Runeand it's \nDescription:,"A Caryll rune envisioned by Adeline, patient of the Research Hall. A translation of the inhuman, sticky whispers that reveal the nature of a celestial attendant. Those who swear this oath become a Lumenwood that peers towards the sky, feeding phantasms in its luscious bed. Phantasms guide us and lead us to further discoveries.",,
Generate ESB ItemName:Monocularand it's \nDescription:,"Monocular used to View things up close. Not a hunter's tool, but a simple antique, to be used as one sees fit.",,
Generate ESB ItemName:Moon Runeand it's \nDescription:,"A secret symbol left by Caryll, runesmith of Byrgenwerth. A transcription of moon, as spoken by the Great Ones inhabiting the nightmare. Gain more Blood Echoes. The Great Ones that inhabit the nightmare are sympathetic in spirit, and often answer when called upon.",,
Generate ESB ItemName:Morne's Ringand it's \nDescription:,A malformed ring given to knights of Carim. Boosts miracles. Morne served the goddess Caitha and later became an apostle of the Archbishop. They labored together to provide comfort to the suffering.,,
Generate ESB ItemName:Murky Blood Gemstoneand it's \nDescription:,"A blood gem that fortifies weapons and adds various properties. Blood gems are especially rare blood stones that grow on clodblood. Blood gems are kneaded into weapons using workshop tolls, but only of matching shape. Most radial blood gems have effects that bear upon physical attacks.",,
Generate ESB ItemName:Name-engraved Ringand it's \nDescription:,"A special ring that can be engraved with the name of a god. Becomes easier to connect to worlds of players who chose the same god. There are countless vestiges of long-lost gods in the ruins of Drangleic. Or perhaps they are the very same gods as ours, only known by different names.",,
Generate ESB ItemName:Northern Ritual Bandand it's \nDescription:,"One of the secret treasures restored in Aldia. Increases spell uses, but at the cost of HP. This modest-looking ring contains very powerful magic. To imagine what unspeakable deeds were performed to create such rings, one need only recall the cruel fate of the residents of Aldia.",,
Generate ESB ItemName:Notebookand it's \nDescription:,"Messengers are inhabitants of the dream who revere the brave hunters. Use them to send messages to other worlds. Leave notes With messengers, read the notes left by messengers in other worlds, and rate notes to participate in the formation of a shared inter-plane intelligence.",,
Generate ESB ItemName:Obscuring Ringand it's \nDescription:,"Ring bestowed upon the Fingers of Rosaria, invaders who seek tongues for their goddess. Hides the presence of the wearer when far away. It is said that Rosaria, the mother of rebirth, was robbed of her tongue by her firstborn, and has been waiting for their return ever since.",,
Generate ESB ItemName:Oedon Tomb Keyand it's \nDescription:,"Key to the gate that blocks the Tomb of Oedon. Beyond the tomb, Oedon Chapel can be found in the center of the Cathedral Ward. Only today the church is abandoned, and some say that the residents of Oedon have all gone mad.",,
Generate ESB ItemName:Oedon Writhe Runeand it's \nDescription:,"A Caryll rune that transcribes inhuman sounds. Writhe sees a subtle mucous in the warmth of blood, and acknowledges visceral attacks as one of the darker hunter techniques. Visceral attacks restore Quicksilver Bullets. Human or not, the oozing blood is a medium of the highest grade, and the essence of the formless Great One. Both Oedon, and Oedon's inadvertent worshippers, surreptitiously seek the precious blood.",,
Generate ESB ItemName:Old Hunter Badgeand it's \nDescription:,"This hunter's badge, crafted in Gehrman's time, has no practical purpose, except perhaps to assist in romanticizing the past. The badge was a special privilege for the hunters of the past, and should not be dishonored. It should be left in peace, unless one is truly prepared to assume the will of those gone before.",,
Generate ESB ItemName:Old Hunter Belland it's \nDescription:,"One of the resonating bells that cross the gaps of worlds. This bell is cracked and stained with the blood of beasts. A human must expend Insight to ring this uncanny bell. The old hunters, who have long passed from the dream but cannot forget the feeling of the hunt, rely upon messengers to relay their thoughts. Ring the bell at their side, and they are certain to give a listen. For the night of the hunt is long, and unchanging",,
Generate ESB ItemName:Old Hunter Belland it's \nDescription:,"One of the resonating bells that cross the gaps of worlds. This bell is cracked and stained with the blood of beasts. A human must expend Insight to ring this uncanny bell. The old hunters, who have long passed from the dream but cannot forget the feeling of the hunt, rely upon messengers to relay their thoughts. Ring the bell at their side, and they are certain to give a listen. For the night of the hunt is long, and unchanging.",,
Generate ESB ItemName:Old Hunter Boneand it's \nDescription:,"The bone of an old hunter whose name is lost. It is said that he was an apprentice to old Gehrman, and a practitioner of the art of Quickening, a technique particular to the first hunters. It is most appropriate that hunters, carriers of the torch who are sustained by the dream, would tease an old art from his remains.",,
Generate ESB ItemName:Old Hunter Boneand it's \nDescription:,"The bone of an old hunter whose name is lost. It is said that he was an apprentice to old Gehrman, and a practitioner of the art of Quickening, a technique particular to the first hunters. It is most appropriate that hunters, carriers of the torch who are sustained by the dream, would tease an old art from his remains.",,
Generate ESB ItemName:Old Leo Ringand it's \nDescription:,"The beloved ring of a dragon-slaying knight. Strengthens thrust weapon counter attacks. After many years of use, the ring's face has worn down, but close inspection reveals an engraved lion.",,
Generate ESB ItemName:Old Sun Ringand it's \nDescription:,"An odd stone ring containing a fiery heat. Accumulates power as the user is harmed, then explodes damaging surrounding enemies while leaving it's wearer unscathed. Our deeds will come back to us in some form or another, both good and bad",,
Generate ESB ItemName:Old Witch Ringand it's \nDescription:,"Old ring from an old witch. Engraved minutely with indecipherable script, but seemingly useless.",,
Generate ESB ItemName:One Third of Umbilical Cordand it's \nDescription:,"A great relic, also known as the Cord of the Eye. Every infant Great One has this precursor to the umbilical cord.Use to gain Insight and, so they say, eyes on the inside, although no one remembers what that truly entails.",,
Generate ESB ItemName:Orange Charred Ringand it's \nDescription:,"An orange ring enchanted by a witch. Reduces lava damage. Since his sores were inflamed by lava from birth, his witch sisters gave him this special ring. But fool that he is, he readily dropped it, and from that spot, a terrible centipede demon was born",,
Generate ESB ItemName:Pearl Slugand it's \nDescription:,"Material used in a Holy Chalice rite. Of the all the strange lifeforms that reside in the nooks and crannies of the old labyrinth, the slugs are clear signs of the left-behind Great Ones",,
Generate ESB ItemName:Pendantand it's \nDescription:,"A simple pendant with no effect. Even so, pleasant memories are crucial to survival on arduous journeys.",,
Generate ESB ItemName:Pendantand it's \nDescription:,"A simple pendant with no effect. Even so, pleasant memories are crucial to survival on arduous journeys.",,
