Item Name,Item Description,Story
Dagger,"This standard small dagger has only a modest attack but can be jabbed in rapid succession, and is effective in critical hits such as after a parry or when stabbing in the back. With both slash and thrust attacks this dagger is useful in various situations","The small dagger is a common weapon that is not very powerful, but can be jabbed quickly multiple times to cause critical damage. It is useful for parrying or stabbing in the back, and can be used in various situations."
Dancer's Armor,"Armor worn by the Dancer of the Boreal Valley. The mirage-like aurora veil is said to be an article of the old gods, permitted only for direct descendants of the old royal family. The black eyes of the Pontiff eventually transformed the Dancer into a beastly creature, her gauntlets fusing with her own hide.","The armor worn by the Dancer of the Boreal Valley is said to be an article of the old gods, permitted only for direct descendants of the old royal family. The Pontiff eventually transformed the Dancer into a beastly creature, her gauntlets fusing with her own hide."
Dancer's Enchanted Swords,"Paired enchanted swords that Pontiff Sulyvahn bestowed upon the Dancer of the Boreal Valley. These blades, symbollic of the Dancer's vows, are enchanted with dark magic in the right hand, and fire in the left, mirroring the Pontiff. Skill: Dancer's Grace Unleash the fury of both blades in a dancing spin motion and use strong attack to continue the performance until stamina is exhausted.","The Dancer of the Boreal Valley was given two enchanted swords by Pontiff Sulyvahn. The swords are enchanted with dark magic in the right hand, and fire in the left, mirroring the Pontiff's vows. When the Dancer performs with the swords, they unleash the fury of both blades in a dancing spin motion. The Dancer can use strong attack to continue the performance until stamina is exhausted."
Dark Armor,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark. Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.","The armor of the Darkwraiths is a symbol of their dark past. Once proud knights of New Londo, they descended into darkness and became Dark servants. Their armor changed, becoming a symbol of their dark art of Lifedrain."
Dark Arrow,"Arrows imbued with dark flame. Tipped with Dark Pine Resin. Weapons fortified with dark are effective against those who fear the dark, such as clerics and magical creatures. Useful in the short term for those who have learned no magic, or whose magic is exhausted","The dark arrows were tipped with dark pine resin, and were weapons that were effective against those who feared the dark, such as clerics and magical creatures. They were also useful in the short term for those who had learned no magic, or whose magic was exhausted."
Dark Clutch Ring,"Ring depicting a hand grasping a purple stone. Increases dark attack, but compromises damage absorption. An old fable in Londor claims that the lure of the clutch ring reaches out to the crestfallen, who might otherwise be overcome by despair.","A ring with a purple stone that increases dark attack, but compromises damage absorption. The ring is said to be the lure of the clutch ring, which reaches out to the crestfallen and helps them overcome their despair."
Dark Ember,"Ember required for weapon ascension. The church long hid the forbidden black ember, and no living blacksmith knows of it","The blacksmiths of the kingdom have been searching for a black ember for years. Finally, they find one in the ruins of an old church. Using the black ember, they are able to forge a new weapon that can ascend a warrior to a higher level."
Dark Gem,"A gem of infused titanite. Born of disembodied humanity. Used in infusion to create dark weapons. Dark weapons inflict dark damage, and scale with intelligence and faith.","The gem of infused titanite is a powerful artifact that was created from the remains of human beings. It is used to create dark weapons, which inflict dark damage and scale with the intelligence and faith of their users."
Dark Hand,"The Darkwraiths, incited by Kaathe, use the power of the dark soul to absorb humanity, an art shared by this weapon, which also acts as a special shield. The ancients, particularly, could sap the humanity of even a replete saint in the blink of an eye",The Darkwraiths are a group of demons that use the power of the dark soul to absorb human souls. This weapon was used by ancient beings to protect themselves from being drained of their humanity.
Dark Mask,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark. Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face","The Mask of the Darkwraiths is a cursed artifact that once belonged to a group of knights known as the New Londo. The knights were once honorable warriors, but they descended into darkness after they were cursed by a Darkwraith. Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face, and that the mask's evil power still lingers. Anyone who wears the mask risks becoming possessed by the Darkwraith's curse, and will"
Dark Mask,"Piece Name) of the Darkwraiths, relics of a small country that fell to the dark long ago. Looks as if it may crumble to dust at any moment. The Darkwraiths were the oldest of the Red Eye Invaders, and rumored to have served a Primordial Serpent.","The Darkwraiths are a relic from a small country that fell to the dark long ago. They look as if they may crumble to dust at any moment, and the Darkwraiths were the oldest of the Red Eye Invaders. Some say that they served a Primordial Serpent."
Dark Moon Greatsword,"A Moon Greatsword, bestowed by a Carian queen upon her spouse to honor long-standing tradition. One of the legendary armaments. Ranni's sigil is a full moon, cold and leaden, and this sword is but a beam of its light.","Ranni's Moon Greatsword is a legendary weapon that was bestowed upon Ranni's spouse by a Carian queen in honor of their long-standing tradition of honoring each other with gifts. The sword is made of cold, leaden metal and is imbued with the light of the moon, making it one of the deadliest weapons in existence."
Dark Quartz Ring,"A ring bestow upon students of a certain standard at the Melfian Magic Academy. It's lightning quartz increases lightning defense. Pyromancer Glocken crafted so many of these replicas that they became widespread, such that his fellow magicians harshly scolded him for undermining lessons gained from harsh training.","The Glocken Ring was a magical artifact that granted its wearer increased lightning defense. Pyromancer Glocken created many of these rings, which caused other magicians to harshly scold him for undermining his training."
Dark Sigil,"A black gaping hole in the flesh that resembles the brand of an Undead. The darkness of humanity seeps from this bottomless pitch-back hole, the gap filled by the accumulation of the curse. This Dark Sigil will never heal, but there is a tale told of a Fire Keeper who returned from the Abyss, and brought great comfort to a bearer of the curse.",The Dark Sigil is a cursed item that has been passed down through the generations of cursed individuals. It is said that a Fire Keeper who returned from the Abyss brought great comfort to those who bore the Dark Sigil.
Dark Silver Armor,"Dark silver armor from Vinland. The dark silver is known to be the oldest metal in the land, and is said to exorcise malice. Its heaviness slightly impedes stamina regeneration.","The armor is said to have been forged in Vinland, the land of the Vikings. The dark silver is known to be the oldest metal in the land, and is said to exorcise malice. It is said that wearing this armor makes the wearer more resistant to attacks, as it slows down their stamina regeneration."
Dark Silver Tracer,"A dark silver dagger used by the Lord's Blade Ciaran, of Gwyn's Four Knights. The victim is first distracted by dazzling streaks of the Gold Tracer, then stung by the vicious poison of this dagger.","The Lord's Blade Ciaran was known for his deadly accuracy with his silver dagger. On one fateful day, he used it to take down a powerful opponent. Unfortunately, the opponent was also wielding a gold tracer, which caused the victim to be distracted and then stung by the poison."
Dark Sword,"Pitch-black straight sword of the Darkwraith, survivor of the land swallowed by darkness. The Darkwraiths were the first red orb invaders, and originators of a unique sword technique inspired by their thick, broad blades.","The Darkwraith's sword is pitch black, and is said to be the only sword that has survived the land swallowed by darkness. The Darkwraith's sword is a unique and powerful weapon, and is said to be the only sword that can defeat the red orb invaders."
Dark Troches,Troches with an inexplicably pungent odor. Temporarily boosts dark defense. Verbal histories often mention Saint Elizabeth; her uniquely concocted medicines and potions are still widely used today.,The Troches were a strange looking item with an inexplicably pungent odor. They temporarily boosted dark defense. The verbal histories often mentioned Saint Elizabeth; her uniquely concocted medicines and potions were still widely used today.
Dark Wood Grain Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface. Agents of subterfuge in this faraway land are particularly fond of the dark gold wood grain, which greatly alters its wearer's rolling action.","The ring is said to be made in an Eastern land, and is said to be made of gold, but with a wood grain crest on its surface. The agents of subterfuge in this faraway land are particularly fond of the dark gold wood grain, which greatly alters its wearer's rolling action."
Darkdrift,"Katana of Grave Warden Agdayne. Has a crystal-clear blade and a strong attack that slices through enemy shields. This katana was originally wielded by the one who gave us first death, and still exists imperfectly between planes.","The Katana of Grave Warden Agdayne is a powerful weapon that was originally wielded by the one who gave us first death. It still exists imperfectly between planes, and its crystal-clear blade makes it a deadly weapon against enemy shields."
Darkmoon Blade Covenant Ring,"Ring granted to those bound by the Darkmoon Blade covenant. Answer Dark Sun Gwyndolin's summoning. Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy.","The Ring of the Darkmoon Blade is a powerful artifact granted to those who swear allegiance to Gwyndolin, the Dark Sun. Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy. If you are able to find and defeat Gwyndolin, the Dark Sun, the Ring will be"
Darkmoon Bow,"Bow born from the soul of the Dark Sun Gwyndolin, Darkmoon deity who watches over the abandoned city of the Gods, Anor Londo. This golden bow is imbued with powerful magic and is most impressive with Moonlight Arrows.","The bow was once the weapon of the Dark Sun Gwyndolin, the deity who watched over the abandoned city of the Gods, Anor Londo. The bow is imbued with powerful magic and is most impressive with Moonlight Arrows. The bow is said to have been born from the soul of the Dark Sun Gwyndolin, and it is said that the bow can shoot arrows that are so powerful they can cleave through even the strongest of armor."
Darkmoon Longbow,"Longbow of Darkmoon Gwyndolin, who was gradually devoured by Aldrich.This golden bow is imbued with powerful magic and is most impressive with Moonlight Arrows. Skill: Darkmoon Arrow Infuse a readied arrow with Darkmoon essence, granting it magic damage and the ability to pierce shields.","The bow of Darkmoon Gwyndolin was once a magnificent weapon. However, over time, the dark lord Aldrich began to consume the god-like being, gradually taking away its life force. In desperation, Gwyndolin called upon the power of the moon, infusing its arrows with its own dark essence. This made the arrows even more powerful, able to pierce through shields and deal magical damage."
Darkmoon Ring,"Ring of the moon deity Gwyndolin, youngest son of Gwyn, the First Lord. Adds many slots for attunement. Gwyndolin, also known as the Dark Sun, commands the Darkmoon Knights, and bestows this ring upon the best of them.","The Ring of the Moon Deity Gwyndolin is a powerful ring that grants its wearer many slots for attunement. Gwyndolin, also known as the Dark Sun, is the youngest son of Gwyn, the First Lord. He commands the Darkmoon Knights, and bestows this ring upon the best of them."
Darkmoon Seance Ring,"This ring is granted to adherents of Gwyndolin, Darkmoon deity and last born of Gwyn, Lord of Sunlight. Grants additional magic attunement slots. The Dark Sun Gwyndolin is the only remaining deity in Anor Londo. His followers are few, but their tasks are of vital importance.","The ring is a sign of allegiance to the Darkmoon deity Gwyndolin. It grants the wearer an additional magic attunement slot, making it more powerful than most other rings. Gwyndolin is the last of the deities, and his followers are few, but their tasks are of vital importance."
Darkmoon talisman,"Medium for casting miracles of the Gods. Granted to Darkmoon Blade knights, adherents to the Covenant of the Dark Sun Gwyndolin. This talisman demands dutiful faith from its owner, but has very high miracle adjustment","The Darkmoon Blade knights were the most devout followers of the Dark Sun Gwyndolin, and as such were granted this miraculous medium. It required great faith from the user, but the talisman's miracle adjustment made it one of the most powerful tools in their arsenal."
Darknight Stone,"An altered state of titanite. Use to imbue weapons with darkness, or to provide darkness reduction to shields. Sorcerers at the Melfian Magic Academy once attempted to imbue titanite with various elements, but are said to have failed. Someone must have succeeded though; what else would explain this stone?","The stone is said to have been used by sorcerers at the Melfian Magic Academy to imbue weapons with darkness. However, it is unknown what happened to the stone after they failed. Someone must have succeeded though, as this is the only explanation for this strange stone."
Darksign,"The Darksign signifies an accursed Undead. Those branded with it are reborn after death, but will one day lose their mind and go hollow. Death triggers the Darksign, which returns its bearer to the last bonfire rested at, but at the cost of all humanity and souls.","The Darksign is a sign of accursed Undead. When a person is branded with the Darksign, they are reborn after death. However, this comes with a cost. The Darksign returns the bearer to the last bonfire they rested at, but at the cost of all humanity and souls. This means that the bearer can never truly die, and will always be haunted by their past."
Darksign,"The Darksign signifies an accursed Undead. Those branded with it are reborn after death, but will one day lose their mind and go hollow. Death triggers the Darksign, which returns its bearer to the last bonfire rested at, but at the cost of all humanity and souls.","The Darksign is a sign of accursed Undead. When a person is branded with the Darksign, they are reborn after death. However, this comes with a cost. The Darksign returns the bearer to the last bonfire they rested at, but at the cost of all humanity and souls. This means that the bearer can never truly die, and will always be haunted by their past."
Darksign,"An accursed mark. The Darksign induces death, returning the player to the last bonfire rested at, at the cost of all souls held. Do what you must to gather the pieces, scraping them into some semblance of a whole, before the will to do so fades.","The Darksign is a mark that induces death, returning the player to the last bonfire rested at. The player must gather the pieces of the Darksign before the will to do so fades."
Darksword,"The sword of the knights of the Four Kings of New Londo. Its blade is wide and thick and it is wielded in an unusual manner. When the Four Kings were seduced by evil, their knights became Darkwraiths, servants of the Dark who wielded these darkswords.","The sword of the knights of the Four Kings of New Londo. It was wielded in an unusual manner, and when the Four Kings were seduced by evil, their knights became Darkwraiths, servants of the Dark."
Deacon Robe,"Robe and Skirt worn by deacons of the Cathedral of the Deep, worn on the inside of the deep red robe. In time, those dedicated to sealing away the horrors of the Deep succumbed to their very power. It seems that neither tending to the flame, nor the faith, could save them.","The deacons of the Cathedral of the Deep wore robes of deep red, inside of which were hidden the robes worn by the priests of the cathedral. These robes were meant to seal away the horrors of the Deep, but eventually those dedicated to sealing away the horrors of the Deep succumbed to their very power."
Death Ritual Spear,"Ritual spear used by priests of old who were permitted to come among the Deathbirds. The priests became guardians of the birds through the rite of Death, which also serves as an oath sworn to their distant resurrection.","The ritual spear was used by priests of old who were permitted to come among the Deathbirds. These priests became guardians of the birds through the rite of Death, which also serves as an oath sworn to their distant resurrection."
Death's Poker,Barbed rod carried by Deathbirds. The birds are graveyard fire keepers; it is said they rake out the ashen remains of the dead from their kilns.,The barbed rod is a ceremonial tool carried by the deathbirds. It is said that the birds rake out the ashen remains of the dead from their kilns. This rod is used to punish those who have wronged the deathbirds.
Decorative Old Hunter Garb,"Old Hunter Garb decorated with brass trinkets At the time, some hunters believed that certain metals would ward off beast blood. On a night of the hunt, it is no wonder that people would resort to superstition.","The old hunter's garb was adorned with brass trinkets, and it was said that by wearing them, the hunter would be protected from the beasts during the hunt. On that fateful night, the hunter was successful in bringing down a large animal, but as he was about to take its head off, he was attacked from behind. The brass trinkets must have worked as intended, as the beast's blood was repelled by the metal."
Deep Braille Divine Tome,"A braille divine tome of the Deep, belonging to the deacons of the cathedral. Intended to teach divine protection to the deacons of the deep, but later, dark tales were added to its pages, such that it is now considered a thing profane.","The deacons of the cathedral were always looking for ways to protect their people from harm. So, when they found a braille divine tome that could teach them divine protection, they were excited. However, over time, the tome began to be filled with dark tales. Now, the deacons believe that the divine protection the tome promised is nothing more than a curse."
Deep Gem,"A gem of infused titanite. Found in the dregs of the Cathedral of the deep. Used in infusion to deep weapons. Deep weapons inflict dark damage, but lose scaling effects. There is a darkness that lies beyond human ken.","The gem was found deep within the Cathedral of the Deep. It was used in infusion to create deep weapons, which inflicted dark damage but lost some of their scaling effects. The darkness that lies beyond human understanding was what inspired the creation of these weapons."
Deep Ring,"A ring bestowed upon the Deacons of the Cathedral of the Deep. Allows attunement of additional spells. In the Cathedral slumber things most terrible, and as such, the deacons require a grand narrative, to ensure they do not falter in their duty. A philosophy, to ward away the madness beckoned by the grotesqueries at hand.","The ring bestowed upon the Deacons of the Cathedral of the Deep allows them to attune to additional spells. The deacons were once content with their meager allotment of magic, but now they find themselves in need of more. The ring allows them to access spells that are not normally available to them. This allows them to bolster their defenses and to cast spells that would otherwise be too dangerous for them to use."
Deep Sea Rune,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices depicts downreaching currents. This rune means Deep Sea and grants augmented resistance. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours.","Caryll left this rune to those who seek knowledge of the Great Ones. The rune represents the deep sea and the resistance it provides against the currents of the eldritch Truth. By transcribing the voices of the Great Ones, Caryll hoped to overcome the hindrance of sleep and find what is rightfully theirs."
Defender Greatsword,Greatsword wielded by the Throne Defender. Unleash its true power to enwreath in magic. The Defender has stood by the throne for ages. Will his wait be worth the while?,"The greatsword is wielded by the Throne Defender, a figure who has defended the throne for many years. The sword is said to have the power to enwrap in magic, and the Defender is waiting to unleash its full potential. His wait may be worth it, as the throne may soon be in danger."
Delayed Molotov,"A special hunter tool crafted by the old Oto Workshop. These molotovs wedge into the ground when thrown, and explode on a timed delay. A shame that such a complex gadget must be sacrificed with each use of this inefficient hunter tool. Nevertheless, delayed molotovs are cherished by the minority of hunters who prefer the tricksier kill. This creation is one of the earliest- known roots of the Powder Kegs.","The old Oto Workshop crafted this Molotov hunter tool in an effort to create an efficient hunting tool. Unfortunately, each Molotov must be used in conjunction with the hunter tool, sacrificing its efficiency. However, Molotov hunters who prefer the more tricky kills cherish this creation, as it is one of the earliest roots of the Powder Kegs."
Delayed Rope Molotov,"A special hunter tool crafted by the old Oto Workshop. These molotovs wedge into the ground when thrown behind one's back, and explode on a timed delay. A shame that such a complex gadget must be sacrificed with each use of this inefficient hunter tool. Nevertheless, delayed molotovs are cherished by the minority of hunters who prefer the tricksier kill. This creation is one of the earliest-known roots of the Powder Kegs.","The old Oto Workshop crafted this Molotov Hunter Tool in an effort to create a more efficient hunting tool. Unfortunately, each Molotov Hunter Tool must be sacrificed in order to use it. This creation is a precursor to the Powder Kegs, which are still used by a minority of hunters today."
Delicate String,"A soft string-like ring tied around the finger. Makes it easier for invaders to find your world. Who would create such a ring, and why? Perhaps the answer is better left unknown.","The ring was a simple design, a thin, soft string of metal wrapped around the finger. It was easy to miss, unless you were specifically looking for it. It was a simple design, but it had a purpose. The ring was created to help invaders find Earth. The creators of the ring knew that if they could make it easy for invaders to find our world, it would be much harder for us to defend ourselves. The ring was a warning to all of humanity,"
Demi-Human Queen's Staff,"Glintstone staff styled as a scepter. A gift once given to the demi-humans to foster peace, it can be wielded even by those of low intelligence. Sneered at by fools in the academy.","The Glintstone staff was once given to the demi-humans as a way to foster peace. It was scoffed at by many in the academy, but it can be wielded by even the lowest of intelligence. One day, a young student decided to take it up as a challenge and use it to achieve greatness."
Demon Great Machete,The lesser Capra demons use these Greatsword in pairs. The blade is cast iron and hooked. The sword is imbued with no particular magic but for those who have the strength its great weight will smash foes mercilessly,"The lesser Capra demons use these Greatswords in pairs. The blade is cast iron and hooked. The sword is imbued with no particular magic but for those who have the strength, its great weight will smash foes mercilessly."
Demon's Fist,"A demonic fist that burns with fiery essence. Its wielder can release this power through use of its Skill. When two-handed, fists are equipped in each hand. Skill: Flame Whirlwind Spin through opponents with abandon, flaming fists outstretched. Using a strong attack while spinning utilizes your momentum to slam the ground with both fists.","The demonic fist was created by a powerful demon as a weapon of destruction. The fist is made of pure fire, and when used by its wielder, the fire can be released through the use of their skill. When two-handed, the fists are equipped in each hand, allowing for a powerful spin that can devastate opponents."
Demon's Great Hammer,"Great hammer made of unknown materials. Perhaps it is stone, or even wood. The origins of its name are unclear. Its tremendous weight suggests that it was never intended for humans. Perhaps it was an offering to the demons that appear in legend.","The great hammer is a powerful tool, made from an unknown material. It is said to have been made to appease the demons that haunt the night. Despite its imposing size, the hammer was never meant for human use. It is said that the hammer was once an offering to the dark beings, and that its weight is a testament to its power."
Demon's Greataxe,Carved from the bones of fellow demons. Wielded by the lesser Taurus demons. This axe is imbued with no special power but can merrily beat foes to a pulp providing you have the strength to wield it.,"The Taurus demons are a race of demons that are weaker than the other demons. They carve axes from the bones of their fellow demons in order to try and make themselves stronger. The axe in question is imbued with no special power, but is just as effective at beating foes to a pulp as any other axe."
Demon's Scar,"This chaotic thing, the last flame kindled by a demon prince, is shaped like the claw marks of a demon. It is both a fiery bladed weapon, and pyromancy flame.","The last flame, a chaotic thing that is both a fiery bladed weapon and pyromancy flame. It is shaped like the claw marks of a demon."
Demon's Spear,Carved from the bones of fellow demons. Wielded by the slim lesser Batwing demons. The weapon of these chaos demons wandering Anor Londo are different from those of other chaos demons and are imbued with lightning,"The lesser Batwing demons are a race of demons that roam the dark depths of Anor Londo. They are known for their unique weapon, a bone-carved staff that is imbued with lightning. This weapon is said to be different from the other weapons of the lesser Batwing demons, and is said to be more powerful."
Depraved Perfumer Robe,Robe worn by depraved perfumers. The embroidery on the apron is itself a curse upon the Erdtree. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,"A cursed apron embroidered with heresy-inspiring symbols is what has earned the Erdtree perfumers their infamous reputation. These perfumers steep their own spices in order to alter their bodies and minds, and as they sink further into their own depravity, their apron becomes a symbol of their own damnation."
Desert Sorceress Top,"Sorceress Clothes from the distant land of Jugo. Appears to be a plain, thin fabric, but is permeated with powerful magic. Desert Sorceresses have enchanting looks, and they use them to catch people off guard. Oddly enough, even those who are perceptive enough to realize the ploy fall prey to their seductions with alarming regularity.","The sorceress clothes are from a faraway land called Jugo. They are a plain fabric, but are infused with powerful magic. Desert sorceresses have enchanting looks, and they use them to catch people off guard. Oddly enough, even those who are perceptive enough to realize the ploy fall prey to their seductions with alarming regularity."
Deserter Armor,"Common soldier's armor. It's insignia is worn beyond recognition. This musty, rusted hunk of metal befits one reduced to thievery.","The common soldier's armor is a rusty hunk of metal that is worn beyond recognition. It is fitting for one reduced to thievery, as the insignia is worn beyond recognition."
Destructive Greatarrow,"Greatarrows with intricately crafted tips. Designed to destroy equipment with impact. Bravery does not necessarily entail going head-on with a foe, especially if they have better armor than you. Use these arrows, and grind them down from afar.","The greatarrows were designed by a master craftsman with the intent of destroying enemy equipment with impact. Though they are not meant for head-on combat, they can be used to take down enemies from a distance with ease."
Devourer's Scepter,Scepter in the shape of a serpent devouring the world. This weapon will one day become the very symbol of the Lord of Blasphemy. One of the legendary armaments. A vision of the future briefly seen by Rykard in his final moments before being devoured by the great serpent.,"The Scepter in the shape of a serpent devouring the world is a legendary armament. A vision of the future briefly seen by Rykard in his final moments before being devoured by the great serpent. The scepter is said to be one of the legendary armaments, and it is said that one day it will become the very symbol of the Lord of Blasphemy."
Dexterity Ring,"An oddly deformed iron ring. Increases the dexterity of its wearer. The Old Iron King ruled over a great age of iron. The King's power allowed him to mold iron freely, as if he held sway over the forces of life and creation.","The ring was old and battered, but it still shone brightly. It seemed to amplify the dexterity of whoever wore it, making their movements more nimble and precise. The Old Iron King had worn it for centuries, and it had helped him to build an empire of iron. Now, the ring was all that remained of his great kingdom."
Digger's Staff,"Staff of a sorcerer-miner who extracts glintstone from crystal tunnels. The staff itself is a tool used to mine, and the ferrule is also embedded with a glintstone. Boosts the power of Stonedigger sorceries","The staff of a sorcerer-miner who extracts glintstone from crystal tunnels. The staff itself is a tool used to mine, and the ferrule is also embedded with a glintstone. The staff gives the user a boost to the power of Stonedigger sorceries."
Dingy Robe,"Worn by the Fire Keeper at Firelink Shrine. It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires darkened it over the years","The white robe of a maiden was once pristine and beautiful, but years of exposure to the flames of bonfires has stained it black. Now, it is the robe of the Fire Keeper at Firelink Shrine, and is thought to have once belonged to a young girl who died in the flames of a burning building."
Dirty Damp Blood Gem,"A blood gem that fortifies weapons and adds various properties. This particular specimen has a pronounced effect, due to its extended state of dampness. Most radial blood gems have effects that bear upon physical attacks.","The gem was found in a dried up riverbed. It was covered in moss and algae, and the light shining through the gem created a eerie glow. The gem was heavy, and when picked up it felt warm and heavy in the hand."
Diry Blood Gemstone,"A blood gem that fortifies weapons and adds various properties. Blood gems are especially rare blood stones that grow on cold blood. Blood gems are kneaded into weapons using workshop tools, but only when of matching shape. Most waning blood gems provide rare special effects such as fire, bolt, or healing.","The blood gem was a rare and powerful item. It was said to fortify weapons and add various properties. Blood gems were especially rare blood stones that grew on cold blood. Blood gems were kneaded into weapons using workshop tools, but only when of matching shape. Most waning blood gems provided rare special effects such as fire, bolt, or healing."
Disc Chime,"A rare sacred chime of unknown origin. Can be used as a shield. This chime, likely brought here by a visiting saint, slightly augments the effects of miracles. Use strong attack to emit miracles and hexes. Effect: use miracles and hexes (strong attack)","The chime was a sacred artifact that had been brought to the kingdom by a visiting saint. It had a slight effect on the effects of miracles, and could be used to emit miracles and hexes. The king had always been fascinated by the chime, and decided to use it to increase the power of his kingdom."
Dispelling Ring,"A protective ring set with gemstones of four different colors. Increases the wearer's resistance to magic, lightning, fire and dark. The artistry required to attune the varying powers of four different stones within one ring could only be described as transcendental. There is only one sorcerer who could have done this; a man from the lost land of Olaphis","The ring was created by a sorcerer from the lost land of Olaphis. He was able to attune the gemstones to increase the wearer's resistance to magic, lightning, fire, and dark. The ring is said to be able to protect its wearer from any magical attack."
Dissipating Lake Rune,"A secret symbol left by Caryll, runesmith of Byrgenwerth. This transcription of the Great Ones' inhuman voices ripples like a watery reflection. This rune means Lake, and those branded by it enjoy augmented defense. Great volumes of water serve as a bulwark guarding sleep, and an augur of the eldritch Truth. Overcome this hindrance, and seek what is yours.","Caryll left this rune for those who seek to understand the Great Ones. The rune is said to represent Lake, and those who are branded by it enjoy augmented defense. The rune is also said to be an augur of the eldritch Truth, and can be used to overcome obstacles."
Divine Blessing,Holy water from Goddess Gwynevere. Fully restore HP and undo irregularities. The Goddess of Sunlight Gwynevere daughter of the great Lord of Sunlight Gwyn is cherished by all as the symbol of bounty and fertility.,"The Holy water from Goddess Gwynevere was said to be fully restore HP and undo irregularities. A few drops of this blessed water was enough to heal any injury and restore balance to any situation. Many people sought out this water for its miraculous properties, and the Goddess was always happy to grant a few drops to those in need."
Divine Blessing,"Holy water endowed with a divine blessing. Cures status effects and fully restores HP. Water blessed by an ancient goddess. Her name is long forgotten, and the Magic Academy of Melfia denies even her existence. In any age, there are those who refuse to see reason. It is their meddling that distorts the truth.","In the faraway kingdom of Melfia, there is a Magic Academy that is said to be the best in the land. However, the Academy denies the existence of a goddess known as the White Maiden. One day, a student named Edward discovered a vial of holy water that had been blessed by the White Maiden. Edward's discovery caused a stir at the Academy, and the students began to debate the merits of the White Maiden's blessing. Edward's discovery also restored the health of"
Divine Ember,"Ember required for weapon ascension. Divine embers are property of the church, and intended for divine blacksmiths","The divine embers were coveted by all blacksmiths, for they were the key to weapon ascension. However, the church held a monopoly on these embers, and only those who were sanctioned by the church could obtain them. One day, a young blacksmith named Ember decided to break the church's rule and obtain divine embers on his own. Unfortunately, he was caught and sentenced to life in a prison cell. However, Ember refused to give up on his dream, and"
Divine Spear Fragment,"A fragment of the matching ritual spears once held by the knights of Princess Filianore. These Divine Spears of gold were placed in the trusted hands of exalted Spears. When Spears of the Church face unduly treacherous foes, this allows them to draw upon former majesty, and summon a row of upward-thrusting ritual spears.","The spears once wielded by the knights of Princess Filianore are now in the hands of the Spears of the Church. When they face an enemy that is too treacherous, they can draw upon their former majesty and summon a row of spears that thrust upward. This allows them to overcome their opponents easily."
Doll Clothes,"Discarded doll clothing, likely a spare for dress-up. A deep love for the doll can be surmised by the fine craftsmanship of this article, and the care with which it was kept. It borderlines on mania, and exudes a slight warmth.","The doll clothing was discarded because the owner had outgrown it. They had loved the doll so much that they couldn't bear to part with it, even though it was no longer of use. The clothing was of high quality, and showed the care that had been taken in its creation. It was as if the doll itself still inhabited the clothing, and the owner could feel its warmth."
Doll Hat,"A discarded doll hat, likely a spare for dress-up. A deep love for the doll can be sumised by the fine craftsmanship of this article, and the care with which it was kept. It borderlines on mania, and exudes a slight warmth.","The doll hat had been abandoned on the side of the road. It was a beautiful hat, made with fine craftsmanship and care. It was a little bit mania, and it exuded a slight warmth. The doll had been loved very much, and its owner had taken great care of it."
Doll Skirt,"Discarded doll skirt, likely a spare for dress-up. A deep love for the doll can be sumised by the fine craftsmanship of this article, and the care with which it was kept. It borderlines on mania, and exudes a slight warmth.","The doll skirt was discarded because it was a spare for a dress-up doll. The doll's deep love for itself can be seen in the fine craftsmanship and the care that was taken with it. It borders on mania, and exudes a slight warmth."
Dragon Acolyte Mask,"Mask worn by a Dragon Acolyte sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic? It is no doubt difficult to judge the veracity of the man's words, but this mask certainly seems to possess an unusual power.",A sorcerer wearing a mask that seems to have the power to seal oneself away.
Dragon Bone Fist,"A weapon from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo. The Gods fused the power of the soul with the great bones of the dragons, forming an appropriate core for the giant golem","The Iron Golem was a giant golem that guarded Sen's Fortress. It was said that the Gods fused the power of the soul of the dragons with the great bones of the golem, forming an appropriate core for the giant golem. The Iron Golem was a powerful guardian, repelling countless heroes who sought to enter Anor Londo."
