Status:,"Needed: Elden RingBloodborne, DS!, DS2,DS3",Completed: 
High Page,"Strong and dexterous servants of the Nobility, commited to keep them out of harm's way. Specially compared with their common counterparts.",
Nameless White Mask,"Of the surgeons that were abducted by the Lord of Blood, none were able to tame the accursed blood. None but Varre, that is; but he was an exception.",
Beast Patient,The cursedd remnants of a Hunt from long ago. The burns and scars from the Healing Church's purge are still fresh in the mangled minds of these beasts.,
Gravekeeper Scorpion,"""Whether as fast as a shadow's chikage, or as stealthy as stalkers, scorpions pose threats to all manners of hunters so come prepared with antidotes.""",
Maneater Boar,"""A beast of this size will find no trouble trampling an unsuspecting Hunter. If you hear a beastly squeal and it starts to charge, you have but one option: flee.""",
Hemwick Grave Woman,"""Their mumblings give away their presence from a distance, but their screams can be deafening. They wield a variety of weapons, but what they lack in dexterity they more than make up for with intensity and tenacity.""",
Merciless Watcher,"""Protectors roam the depths, keeping guard over the quiet. Born in the depths and living off of blood and rotting flesh, they are cold and damp, with bluish-white skin that has never been touched by sunlight, and devolved eyes that are pitch black and sunk deep into their sockets.""",
Beast-possessed Soul,"""Dimly lit by pale moonlight, unscorned by human pity, lie things unseen by curious eyes, blood-thirsty and lithy. Hunter! Fear the possessed beast, fangs sharp as Ludwig's nerve, for it will feast upon your limbs, no mercy nor reserve."" - Old Yharnam Limerick.",
Hunting Dog,"""A gruesome twist on your average hunting dog. It sports dozens of spiky protrustions from its back and is more aggresive than ever, tearing overly confident hunters to bits in mere seconds.""",
Mergo's Attendant,"""Some say academics from the faculty of the School of Mensis still reside in the Nightmare, dictating dream logic within its warped fabric. Could these masked horrors be the very same?""",
Bloodlicker,"""This grotesquely misshapen creation crawls along the icy Cainhurst courtyard, erratic and almost comical in some morbidly twisted way.""",
Huntsman,"""Due to the infestation of the scourge, this is what the mob that has risen for the beast hunt have become. The fever-like urge to hunt remains, but they themselves have already been infested with the scourge of the beast.""",
Bone Ash Hunter,"""Lithe, graceful and ruthlessly efficient when dealing with foes, these agile hunters wield the scorching power of fire to effectively eliminate their targets.""",
Brick Troll,"""Don't let their slow and lumbering walk fool you. Despite their low mental capacity, when agitated they can deal devastating blows.""",
Nightmare Apostles,"""Of nightmarish creatures there are many in Mensis, yet few are as sly and as cunning as spiders, scuttling unperturbed along the loft's rafters.""",
Brain of Mensis,"""The immense brain that Mensis retrieved from the nightmare was indeed lined with eyes on the inside, but they were of an evil sort, and the brain itself was terrible rotten. But even still, it was a legitimate Great One, and left a relic. A living relic, at that, which is a precious thing indeed. """,
Hateful Maggot,"""Blindly vicious, these creatures will leap from the ground to bury their curved mandibles into flesh.""",
Keeper's Hunting Dog,"""Ever-faithful, even when grotesquely transformed and succumbed to the Scourge. These dogs continue to hunt their masters' prey, fueled by a voracious thirst for blood.""",
Brainsucker,"""Driven mad by wisdom not of this world, these fiends will seek to bound you in place and steal what is in your very head. But who is to say this is not a good thing?""",
Pilgrim,"""It meanders in the seemingly endless depths of the labyrinth, mourning in front of the remains of graves in the darkness. What binds such pitiful souls to this world?""",
Snatcher,"""Of all the beasts you may encounter on the night of the Hunt, beware the Snatchers. For to them, it is not enough to take your life, they wish to drag you into their vile kingdom and subject you to their abhorrent rituals.""",
Carrion Crow,"""Among the crows that eat rotting carrion, there are those that favor human meat. Those bloated, ugly monsters drag themselves between the corpses feasting on the once rich citizens of Yharnam.",
Rotted Corpse,"""Nestled in the fetid broth of the sewers are rotten corpses, pathetic beings who pitifully grasp at some last semblance of life while slithering along in the malodorous slime.""",
Scourge Beast,"""Taken and transformed by the plague at a very early stage, these beasts are extremely fast and powerful, capable of closing in on Hunters in the blink of an eye. They can easily take Hunters by surprise with their erratic and unpredictable movements. Extreme care is required when dealing with them, especially when encountered in pairs.""",
Chapel Giant,"""The church controls treatment of the disease, but it hunts with this large servant. Half terrifying legend, its expression is vacant, its skin pallid, its huge form oddly thin. It screams as it swings its silver weapon. A bell hangs from its neck, and when the citizens of Yharnam hear its ring they close their doors and stay within.""",
Shadow of Yharnam,"""The unmistakable robed figure of a Shadow instils fear into the once fearless. Nimble and expertly trained, they often strike unseen and as lethally as discipline calls.""",
Corvian,Winged fiend protecting the Road of Sacrifices.,
Corvian Storyteller,"This is a mage variant of the Corvian. Their wings are always fully formed.
The Seer behaves like a pyromancer and can cast a fire wave or a poison cloud.
Emits a loud piercing cry, summoning other Corvians to its aid.",
Smoldering Ghru,"A Demon found in Smouldering Lake and Old King's Antechamber, possessing four arms, a crown of horns and a beaked face.
Utilizes long and mid-range Pyromancies and wields a Great Machete.
Will summon Chaos Fire Orbs.",
Winged Knight," found above the Grand Archives differ in appearance and can fly, utilizing this ability in their attacks",
Poisonhorn Bug,"A purple mushroom shaped bug shorter than the player.
Mostly appear in large swarms at Road of Sacrifices.",
Lycanthrope,"Lycanthropes are large, red-eyed hollows with crosses chained to their backs. They wear a tattered rag and have sharp claws protruding from their elongated fingers. They are usually seen sitting down, attacking only when someone draws near. Oddly enough, some Lycanthropes won't attack unless provoked.",
Court Sorcerer,"A human enemy who guards the chapel in the toxic swamp of Profaned Capital.
Is standing at the roof of the chapel.
Wields a Gargoyle Flame Hammer and Court Sorcerer's Staff.
Casts Homing Soulmass and Soul Spear",
Darkwraith,Darkwraith Knights wear the Dark Set armour,
Sewer Centipede,Sewer Centipedes mimic the body of a drowned woman but they're actually spidery fiends.,
Stray Demon,"The Stray Demon is a large demon with a body made of rock wielding a large stone greathammer,",
Overgrown Lothric Knight,"using Lothric War Banner, Sword & Shield, Lothric Knight Greatsword",
Judicator,A giant,
Infested Corpse,Walking corpse with a mass of maggots extruding from a gaping chest cavity.,
Wretch,,
Maggot-grub,,
Headless Gargoyle,,
Thrall,,
Crystal Lizard,,
Desert Pyromancer,,
Harald Knight,,
Angel,,
Angel Pilgrim,,
Flesh of Aldrich,,
Deep Accursed,,
Drang Knights,,
Rock Lizard,,
Drakeblood Knight,,
Scholar,,
Ghru Leaper,,
