Prompt:,"IName:,","Completion:,",Status: Finished,IDescription:,Needed: Demon Souls (Maybe),Completed:
Prompt:,"IName:,","Completion:,",Crown of Illusions,IDescription:,"One of the precious secrets of Cainhurst. The old king's crown is said to reveal illusions, and expose a mirage that hides a secret. And so Logarius donned the crown of his own volition, determined to prevent a single soul from stumbling upon the vile secret. What visions did he see, sitting serenely upon his new throne?",IType:
Prompt:,"IName:,","Completion:,",Crown of the Dark Sun,IDescription:,"Crown of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo. This crown of the gods demands faith immeasurable of its wearer, but it is imbued with Darkmoon power that enhances all magic. The image of the sun manifests Gwyndolin's deep adoration of the sun",IType:
Prompt:,"IName:,","Completion:,",Crucible Axe Armor,IDescription:,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord.Worn by the knight Ordovis and his men.Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",IType:
Prompt:,"IName:,","Completion:,",Crystalline Armor,IDescription:,"Armor worn by a Hollowed knight, who was partially crystallized. The crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired",IType:
Prompt:,"IName:,","Completion:,",Cuckoo Knight Armor,IDescription:,"Armor worn by Raya Lucaria Academy knights.Its left breast is emblazoned with a peering cuckoo, whence came their name.Perhaps the bird's shrewd gaze is an expression of their refusal to be mere servants of the academy.",IType:
Prompt:,"IName:,","Completion:,",Cuckoo Surcoat,IDescription:,"Armor worn by Raya Lucaria Academy soldiers.The surcoat depicts twinned cuckoos peering into a flourishing mass of glintstone.To a glintstone sorcerer, the body is a transient thing. The Cuckoo alone knows its insignificance, yet watches over it all the same.",IType:
Prompt:,"IName:,","Completion:,",Dancer's Armor,IDescription:,"Armor worn by the Dancer of the Boreal Valley. The mirage-like aurora veil is said to be an article of the old gods, permitted only for direct descendants of the old royal family. The black eyes of the Pontiff eventually transformed the Dancer into a beastly creature, her gauntlets fusing with her own hide.",IType:
Prompt:,"IName:,","Completion:,",Dark Armor,IDescription:,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark. Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.",IType:
Prompt:,"IName:,","Completion:,",Dark Mask,IDescription:,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark. Some say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face",IType:
Prompt:,"IName:,","Completion:,",Dark Mask,IDescription:,"Piece Name) of the Darkwraiths, relics of a small country that fell to the dark long ago.Looks as if it may crumble to dust at any moment.The Darkwraiths were the oldest of the Red Eye Invaders, and rumored to have served a Primordial Serpent.",IType:
Prompt:,"IName:,","Completion:,",Dark Silver Armor,IDescription:,"Dark silver armor from Vinland. The dark silver is known to be the oldest metal in the land, and is said to exorcise malice. Its heaviness slightly impedes stamina regeneration.",IType:
Prompt:,"IName:,","Completion:,",Deacon Robe,IDescription:,"Robe and Skirt worn by deacons of the Cathedral of the Deep, worn on the inside of the deep red robe.In time, those dedicated to sealing away the horrors of the Deep succumbed to their very power. It seems that neither tending to the flame, nor the faith, could save them.",IType:
Prompt:,"IName:,","Completion:,",Decorative Old Hunter Garb,IDescription:,"Old Hunter Garb decorated with brass trinkets At the time, some hunters believed that certain metals would ward off beast blood. On a night of the hunt, it is no wonder that people would resort to superstition.",IType:
Prompt:,"IName:,","Completion:,",Depraved Perfumer Robe,IDescription:,"Robe worn by depraved perfumers.The embroidery on the apron is itself a curse upon the Erdtree.These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.",IType:
Prompt:,"IName:,","Completion:,",Desert Sorceress Top,IDescription:,"Sorceress Clothes from the distant land of Jugo. Appears to be a plain, thin fabric, but is permeated with powerful magic. Desert Sorceresses have enchanting looks, and they use them to catch people off guard. Oddly enough, even those who are perceptive enough to realize the ploy fall prey to their seductions with alarming regularity.",IType:
Prompt:,"IName:,","Completion:,",Deserter Armor,IDescription:,"Common soldier's armor. It's insignia is worn beyond recognition.This musty, rusted hunk of metal befits one reduced to thievery.",IType:
Prompt:,"IName:,","Completion:,",Dingy Robe,IDescription:,"Worn by the Fire Keeper at Firelink Shrine. It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires darkened it over the years",IType:
Prompt:,"IName:,","Completion:,",Doll Clothes,IDescription:,"Discarded doll clothing, likely a spare for dress-up. A deep love for the doll can be surmised by the fine craftsmanship of this article, and the care with which it was kept. It borderlines on mania, and exudes a slight warmth.",IType:
Prompt:,"IName:,","Completion:,",Doll Hat,IDescription:,"A discarded doll hat, likely a spare for dress-up. A deep love for the doll can be sumised by the fine craftsmanship of this article, and the care with which it was kept.It borderlines on mania, and exudes a slight warmth.",IType:
Prompt:,"IName:,","Completion:,",Doll Skirt,IDescription:,"Discarded doll skirt, likely a spare for dress-up. A deep love for the doll can be sumised by the fine craftsmanship of this article, and the care with which it was kept.It borderlines on mania, and exudes a slight warmth.",IType:
Prompt:,"IName:,","Completion:,",Dragon Acolyte Mask,IDescription:,"Mask worn by a Dragon Acolyte sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic? It is no doubt difficult to judge the veracity of the man's words, but this mask certainly seems to possess an unusual power.",IType:
Prompt:,"IName:,","Completion:,",Dragonrider Armor,IDescription:,"Armor worn by the dragonriders, King Vendricks royal guard. According to legend, the dragonriders astride not horses, but wyrms. Aspiring dragonriders who had not the mettle to handle their training were torn apart by their wyrms, and those who survived emerged with deific strength.",IType:
Prompt:,"IName:,","Completion:,",Dragonscale Armor,IDescription:,"Armor of a nameless king who was ally to the ancient dragons. The golden crown, buried amidst long strands of bristling ash, is said to closely resemble that of the First Lord. Dragon scales are razor-sharp and cannot be burned",IType:
Prompt:,"IName:,","Completion:,",Dragonslayer Armor,IDescription:,"Golden Armor associated with Dragonslayer Ornstein, from the age of gods, and imbued with the strength of lightning. In the dragonless age, this knight, who long guarded the ruined cathedral, left the land in search of the nameless king.",IType:
Prompt:,"IName:,","Completion:,",Drake Knight Armor,IDescription:,"Black iron armor worn by drake knights.Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partake of communion.The cape is crafted with dragon wing membrane.Altered:From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe.",IType:
Prompt:,"IName:,","Completion:,",Drakeblood Armor,IDescription:,"Armor of the Drakeblood Knights, worshippers of the blood of dragons. The red cloth is said to symbolize their yearning for blood. Dragon worship has captured the hearts and minds of warriors across the lands for many ages. Perhaps such warriors are attracted to doctrines of few words.",IType:
Prompt:,"IName:,","Completion:,",Drakekeeper Helm,IDescription:,"Giant onyx helmet. Something dark indeed eats away at the drakekeepers, eternal guardians of the shrine",IType:
Prompt:,"IName:,","Completion:,",Drang Armor,IDescription:,"Armour of the Drang Knights, proclaimed descendents of the land known for the legend of the Linking of the Fire. Fine protection that is both light and strong, having been reinforced with rare geisteel. The Drang knights were once feared sellswords, until treason meant descending into the abyss, and they were seperated forever",IType:
Prompt:,"IName:,","Completion:,",Drummonds Helm,IDescription:,"A traditional Drangleic helmet. Belonged to Captain Drummond. In his day, King Vendrick was fair and just, and expected the same of his liegemen. This helm was proof of King Vendrick's trust, an honor, until his transfiguration. Drummond's ancestors have served Drangleic for generations, principally as defenders of the great fort, but Captain Drummond is the last in this proud line",IType:
Prompt:,"IName:,","Completion:,",Eastern Armor,IDescription:,"offers excellent defense, particulary versus slashing attacks, which are one of the main threats in battles in the East. A distinctive armor made in an Eastern land. Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East",IType:
Prompt:,"IName:,","Completion:,",Eastern Armor,IDescription:,"Distinctive armor made in an Eastern land. The exquisite craftmanship and artistic design made these prized pieces in the collection of any nobleman. Offers excellent damage absorption, particularly from slashing attacks from katanas, which are commonly encountered threats in battles fought in the East.",IType:
Prompt:,"IName:,","Completion:,",Eccentric's Hood,IDescription:,"A pointy, ragged hood.Worn by the knight Jerren.The hood hides an aged, bearded mask.Jerren served General Radahn as a guest commander, and they are said to have sworn an oath of honorable death to one another.",IType:
Prompt:,"IName:,","Completion:,",Elden Lord Crown,IDescription:,"Crown of Godfrey, the first Elden Lord.The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield.He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded.",IType:
Prompt:,"IName:,","Completion:,",Elite Knight Armor,IDescription:,"Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat. Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow",IType:
Prompt:,"IName:,","Completion:,",Elite Knight Armor,IDescription:,"Armor made of bradden steel. Provides sturdy defense, making it an old-time favorite of elite knights. Bradden steel is used widely in Drangleic. This fine alloy is made from ores mined in the southern kingdom",IType:
Prompt:,"IName:,","Completion:,",Embraced Armor of Favor,IDescription:,"Armor of Lautrec the Embraced, representing the goddess Fina's love. During his solitude, he forsook everything, for he believed in the goddess's love for him. The goddess's arms wrap around it, as if to embrace the wearer",IType:
Prompt:,"IName:,","Completion:,",Enlarged Head,IDescription:,"An enlarged head of a patient of the Cathedral, with a cavity that just happens to fit a human head, although one would be mad to try it on. But if you do, listen carefully, for the sticky sound. Drip, drop. As water, seeping up from the depths, slowly, steadily.",IType:
Prompt:,"IName:,","Completion:,",Erdtree Surcoat,IDescription:,"worn by soldiers sworn to defend the royal capital of Leyndell.The surcoat bears a majestic likeness of the Erdtree. Its golden backing is an honor bestowed on no other soldiers.",IType:
Prompt:,"IName:,","Completion:,",Errant Sorcerer Robe,IDescription:,"Commonplace robe made of thick cloth. Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold.A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold.",IType:
Prompt:,"IName:,","Completion:,",Evangelist Robe,IDescription:,"Robe of an evangelist sent from the cathedral. These teachers, all women, came to enlighten inhabitants of the Undead Settlement and sent carriers on the path of sacrifice.",IType:
Prompt:,"IName:,","Completion:,",Executioner Armor,IDescription:,"Steel armor of Horace the Hushed, who took a liking to its cold, bulky insides. The original owner was said to be a corrupt executioner, who was killed and stripped of his armor. Horace is one of only two children to escape Aldrich's clutches.",IType:
Prompt:,"IName:,","Completion:,",Executioner Garb,IDescription:,"Attire worn by the band of executioners commanded by the martyr Logarius. Later became the basis for all Church attire, with its heavy draping of Holy Shawl.As the great Logarius once said, Acts of goodness are not always wise, and acts of evil are not always foolish, but regardless, we shall always strive to be good.",IType:
Prompt:,"IName:,","Completion:,",Executioner Gauntlets,IDescription:,"Black Helmet/Armor/Gauntlets/Leggings worn by the executioner of the Undead Purgatory. The spikes are designed to evoke fear.The executioner mercilessly put down countless Undead, but how could he know that it was never his own will, but that of the chariot horse?",IType:
Prompt:,"IName:,","Completion:,",Exile Gauntlets,IDescription:,Damaged iron gauntlets. Worn by soldiers sent to the penal colonies.,IType:
Prompt:,"IName:,","Completion:,",Exile Mask,IDescription:,"Mask of the watchdogs of Farron's Keep. After the Legion's Watchers became Lords of Cinder, the wolf blood dried up, and Farron was consumed by a festering wood. Within the wood, an emaciated old wolf commands watchdogs to defend the sanctity of sleeping warriors. Both the exiles were surely watchdogs themselves, for Farron has always been a land of itinerants.",IType:
Prompt:,"IName:,","Completion:,",Falconer Gloves,IDescription:,"Gloves worn by the Volgen Falconers. Domestic Volgen soldiers are infamously timid, so it is no wonder that this fierce band of mercenary falconers was hired to compensate.In practice they serve as bodyguards for the affluent elite, and they serve well, such that nobody dares scrutinize their backgrounds.",IType:
Prompt:,"IName:,","Completion:,",Fallen Knight Armor,IDescription:,"Armor of an order of fallen knights who disbanded and fled but met untimely deaths. The drab, tattered cloth conceals tough, black metal which provides dependable protection from fire. It is just possible to make out the majestic gold engravings on its surface.",IType:
Prompt:,"IName:,","Completion:,",Faraam Armor,IDescription:,"Armor blessed by the war god Faraam. armor is designed in the style of the Lion Knights, a once-mighty order from Forossa. Although the Lion Knights wore heavy armor, they were feared for their nimble two-handed swordplay. But their legacy was cut short with the fall of Forossa.",IType:
Prompt:,"IName:,","Completion:,",Faraam Gauntlets,IDescription:,"This set pf Gauntlets after a god of war. The armor of the Forossa Lion Knights was preserved even after the destruction of their homeland, and is mentioned in numerous legends, alongside the names of those who are said to have gone beyond death.",IType:
Prompt:,"IName:,","Completion:,",Fia's Robe,IDescription:,"Robe of black cloth that covers the entire body.Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home.The fabric itself is soft as silk and thin enough that those embraced can feel every pulse; every bit of her warmth.",IType:
Prompt:,"IName:,","Completion:,",Finger Maiden Shoes,IDescription:,"Shoes worn by maidens who serve the Two Fingers.The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers.The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago.",IType:
Prompt:,"IName:,","Completion:,",Fingerprint Armor,IDescription:,"Iron armor singed and blistered by fingers.Worn by Vyke, knight of the Roundtable Hold.No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy.Did he make his choice for his maiden, or did some other force lure him with suggestion?",IType:
Prompt:,"IName:,","Completion:,",Fire Keeper Robe,IDescription:,"Robe, Manchettes and Skirt worn by the guardian of the shrine. The Fire Keepers were robbed of light, to better serve as vessels for souls. Only those who cherish the writhing, searing darkness were given the keeper's black attire.",IType:
Prompt:,"IName:,","Completion:,",Fire Monk Armor,IDescription:,"Black iron armor adorned with a red cloth.
Attire of the Fire Monks.
The grotesque face sculpted on the chest is said to depict the corrupt ancient god of the flame.
Taboos transform into lasting obsessions by virtue of the fear that they inspire.",IType:
Prompt:,"IName:,","Completion:,",Fire Prelate Helm,IDescription:,"Helm engraved with a sacred countenance and housing a cauldron.Attire of the Fire Prelates, commanders of the Fire Monks.It is said the cauldron perched atop the head was originally furnished with embers, and would surge into flames when the wearer's faith reached its zenith. The fire of this cauldron has since died out, however.",IType:
Prompt:,"IName:,","Completion:,",Fire Witch Gauntlets,IDescription:,"Gloves of witches who bore the Profaned Flame, now harrowed spirits of Irithyll. The witches who lead the Pontiff's Knights were originally ordained as holy knights. It was not long however, before their hearts were swallowed by the Profaned Flame",IType:
Prompt:,"IName:,","Completion:,",Firelink Armor,IDescription:,"Armor of the Soul of Cinder, a deific manifestation of the Lords of Cinder, who linked the First Flame. It resembles a knight's armor, but bears hideous burns and contortions..A mishappen crown can be seen upon its Helm. The Armor taking the shape of a deathly ribcage. It exists as a symbol of the great Lords and the noble act of linking the fire, though it is no more than an empty husk.",IType:
Prompt:,"IName:,","Completion:,",Foot Soldier Greaves,IDescription:,"Metal Graves that have already been mended countless times.Widely issued to foot soldiers in a lord's army.",IType:
Prompt:,"IName:,","Completion:,",Foot Soldier Tabard,IDescription:,Padded cloth armor with more than a few stains. Widely issued to foot soldiers in a lord's army.,IType:
Prompt:,"IName:,","Completion:,",Foreign Garb,IDescription:,"Clothing worn upon awakening to the nightmare of blood and beasts. Not typical clothing for Yharnam, perhaps it is of foreign origin. It is said, after all, the traveler came to Yharnam from afar. Without memory, who will ever know?",IType:
Prompt:,"IName:,","Completion:,",Fur Raiment,IDescription:,"Raiment fashioned from a bristly pelt.Worn by ancestral follower warriors.The ancestral followers keep their distance from the Erdtree,awaiting new buds. They are certain to sprout from their veryflesh, and indeed, their souls.",IType:
Prompt:,"IName:,","Completion:,",Gascoigne's Cap,IDescription:,"Hunter attire worn by Father Gascoigne. Similar to hunter garb created at the workshop, only these are tainted by a pungent beastly stench that eats away at Gascoigne.Father is a title used for clerics in a foreign land, and there is no such rank in the Healing Church.",IType:
Prompt:,"IName:,","Completion:,",Gascoigne's Garb,IDescription:,"Hunter attire worn by Father Gascoigne. The dingy scarf is a Holy Shawl and symbol of the Healing Church, from which Gascoigne would eventually part ways. Father is a title used for clerics in a foreign land, and there is no such rank in the Healing Church.",IType:
Prompt:,"IName:,","Completion:,",Gauntlets of Favor,IDescription:,"Guantlets of the pitiable Embraced Knight. Depicts the affection of goddess Fina. Adrift on sea of isolation, only his faith in the love of his goddess remained true, and so the knight forsook all else. The face of the guantlets are crafted to depict the goddess's embrace, quite ignoring the fact that her love is in fact as fickle as the weather",IType:
Prompt:,"IName:,","Completion:,",Gauntlets of the Vanquisher,IDescription:,"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall. They gold bracelets symbolize a vanquisher",IType:
Prompt:,"IName:,","Completion:,",Gauntlets of Thorns,IDescription:,"Guantlets of Kirk, the notorious knight of Thorns. A dense patch of thorns grows from its surface. A fitting item for the murderous Kirk, for even the simple act of rolling can damage enemies when wearing this attire.",IType:
Prompt:,"IName:,","Completion:,",Gehrman's Hunter Cap,IDescription:,"Hunter attire of Gehrman, the first hunter. Created before the workshop existed by making adjustments to everyday clothing, and later became the basis for all hunter's garb.The hunter's emphasis on engaging beasts with speed, and therefore of selecting lightweight attire, no doubt traces back to Gehrman's own combat style.",IType:
Prompt:,"IName:,","Completion:,",Gehrman's Hunter Garb,IDescription:,"Hunter attire of Gehrman, the first hunter. Created before the workshop existed by making adjustments to everyday clothing, and later became the basis for all hunter's garb. The hunter's emphasis on engaging beasts with speed, and therefore of selecting lightweight attire, no doubt traces back to Gehrman's own combat style.",IType:
Prompt:,"IName:,","Completion:,",Gelmir Knight Armor,IDescription:,"Armor worn by knights once royal to Praector Rykard.It bears an emblem that none wear any longer, standing as it does for a lord that fell from loft ambition into gluttonous depravity. As the lord lost his dignity, so too did these knights lose their master.",IType:
Prompt:,"IName:,","Completion:,",Giant Armor,IDescription:,"Armor of the giant sentinels of Anor Londo. Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.",IType:
Prompt:,"IName:,","Completion:,",Gilded Foot Soldier Cap,IDescription:,"Flanged cap made from gilded iron.Issued to foot soldiers protecting the royal capital of Leyndell.",IType:
Prompt:,"IName:,","Completion:,",Gloom Armor,IDescription:,"Black iron armour worn by Yurt, the Silent Chief. A portion of the complete armor set which has an extremely high level of adhesion.The black iron robs the wearer of his or her body heat, causing them to shiver and breathe out cold air.",IType:
Prompt:,"IName:,","Completion:,",Godrick Knight Armor,IDescription:,"Armor worn by knights loyal to Godrick The Grafted.Its left breast is emblazoned with a two-headed war axe, an emblem of the golden lineage. The knights surely boasted of their strength in days long gone.",IType:
Prompt:,"IName:,","Completion:,",Godskin Apostle Robe,IDescription:,"Robe made by sewing together patches of smooth skin.Worn by the Godskin Apostles.The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",IType:
Prompt:,"IName:,","Completion:,",Godskin Noble Hood,IDescription:,"Hood made by sewing together patches of smooth skin.Subcutaneous fat makes it plump and soft.Worn by Godskin Nobles.Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form.",IType:
Prompt:,"IName:,","Completion:,",Gold Ardeo,IDescription:,"The odd helmet worn by the band of Executioners commanded by the martyr Logarius. The conical gold helmet, symbol of the executioners, represents luminosity, ambition, and an unflagging resolve to face impurity, staring it down with stern golden spirit. As the great Logarius once said, Acts of goodness are not always wise, and acts of evil are not always foolish, but regardless, we shall always strive to be good.",IType:
Prompt:,"IName:,","Completion:,",Gold-Hemmed Black Cloak,IDescription:,"Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos. She wore this gold-hemmed black cloak before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.",IType:
Prompt:,"IName:,","Completion:,",Goldmask's Rags,IDescription:,"Worn rags that just barely cover the body.Lord Goldmask felt no draw to the vain excess of clothing; what use is finery to one who seeks greater brilliance?",IType:
Prompt:,"IName:,","Completion:,",Golem Armor,IDescription:,"Body of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo. Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery",IType:
Prompt:,"IName:,","Completion:,",Gough's Armor,IDescription:,"Armor of Hawkeye Gough, one of Gwyn's Four Knights. Armor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors",IType:
Prompt:,"IName:,","Completion:,",Grave Warden Robe,IDescription:,"Rotting, tattered skirt, robe, hood and wrap. Attire of grave wardens at the Cathedral of the Deep. Grave wardens were tasked with disposing of the ever rising corpses that plagued the cathedral. Their clothes are utterly putrid, drenched in the blood and mucilage of their undertaking.",IType:
Prompt:,"IName:,","Completion:,",Grave Warden Top,IDescription:,"Worn by a Grave Warden sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic? It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power. He calls himself Navlaan, now.",IType:
Prompt:,"IName:,","Completion:,",Graveguard Mask,IDescription:,"Mask of Dores, graveguard of the Forbidden Woods. His pale countenance mimics the labyrinth watchers. Willem kept two loyal servants back at Byrgenwerth. When they were sent into the labyrinth. they encountered the eldritch Truth. and went mad. One became the password gatekeeper, while Dores became a graveguard of the forest. Both remained loyal, even in madness.",IType:
Prompt:,"IName:,","Completion:,",Graveguard Robe,IDescription:,"Robe of Dores, graveguard of the Forbidden Woods. His pale countenance mimics the labyrinth watchers. Willem kept two loyal servants back at Byrgenwerth. When they were sent into the labyrinth. they encountered the eldritch Truth. and went mad. One became the password gatekeeper, while Dores became a graveguard of the forest. Both remained loyal, even in madness.",IType:
Prompt:,"IName:,","Completion:,",Gravekeeper Cloak,IDescription:,"Defensive wear encircled by bronze snakes.Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes.The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered.",IType:
Prompt:,"IName:,","Completion:,",Great Horned Headband,IDescription:,"Headband decorated by a pair of great horns.Worn by ancestral follower warriors.",IType:
Prompt:,"IName:,","Completion:,",Grey Wolf Cap,IDescription:,"Attire of the retired hunter Djura. This worn wolf cap was his trademark. Djura is known through his contact with the Powder Kegs, the heretics of the workshop. He is said to have been both uncommonly kind and dreadfully foolish. Djura felt defeated by the state of Old Yharnam and renounced his hunter's vows.",IType:
Prompt:,"IName:,","Completion:,",Guardian Armor,IDescription:,"Armor of the stone knights, guardians of the forest sanctuary. The stone knights are golems animated by magic, and their enchanted armor is oppressively heavy",IType:
Prompt:,"IName:,","Completion:,",Guardian Bracers,IDescription:,"Engraved golden bracers.Worn by the guardians of the Minor Erdtree.In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",IType:
Prompt:,"IName:,","Completion:,",Guilty Hood,IDescription:,"Coarse hooded cloak of olive brown.The garb of those accused of lesser crimes, indicated by the collar of sharpened branches.",IType:
Prompt:,"IName:,","Completion:,",Gundyr's Armor,IDescription:,"Ancient armor of a set of cast iron armor, belonging to Champion Gundyr. Modeled after a former king. Gundyr, or the Belated Champion, was bested by an unknown warrior. He then became sheath to a coiled sword in the hopes that someday, the first flame would be linked once more.",IType:
Prompt:,"IName:,","Completion:,",Gyrm Armor,IDescription:,"Armor of the nomadic Gyrm. Excellent poise but heavy. The stocky Gyrm are kind-natured, but humans deemed them impure, and drove them underground",IType:
Prompt:,"IName:,","Completion:,",Haima Glintstone Crown,IDescription:,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.Increases intelligence and strength to the detriment of FP.Scholars of the Haima Conspectus sought the power to quell conflict, and to this end studied the sorceries of cannon fire and the gavel.",IType:
Prompt:,"IName:,","Completion:,",Haligtree Gauntlets,IDescription:,"Gauntlets worn by soldiers sworn to the Haligtree.Rust-worn and stained through unending conflict.",IType:
Prompt:,"IName:,","Completion:,",Haligtree Knight Armor,IDescription:,"Armor worn by knights sworn the Haligtree.Its left breast is emblazoned with the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.",IType:
Prompt:,"IName:,","Completion:,",Haligtree Knight Helm,IDescription:,"Helm worn by knights sworn to the Haligtree.Graced by a crown of unalloyed gold.Increases faith.",IType:
Prompt:,"IName:,","Completion:,",Hard Leather Armor,IDescription:,"Armor made of thick leather. Very common type of protective gear, they provide a sound level of defense.",IType:
Prompt:,"IName:,","Completion:,",Hard Leather Armor,IDescription:,A commonplace piece of armor. No embellishments. Very solid,IType:
Prompt:,"IName:,","Completion:,",Harrowed Garb,IDescription:,"Certain Church hunters obfuscate their identities and slip into the nooks and crannies of the city. This is the garb that allows these harrowed individuals to go unnoticed. These hunters are keen to early signs of the scourge, serving as a first line of defense against its outbreak. Or perhaps, when the time is ripe, they find signs of the scourge where there are none. It just goes to show, the corner beggar is not always who he seems.",IType:
Prompt:,"IName:,","Completion:,",Havel's Armor,IDescription:,"Armor worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides. Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp",IType:
Prompt:,"IName:,","Completion:,",Havel's Armor,IDescription:,"A helm and armor as if hewn from a giant boulder. Offers stupendous defense, but weighs a ton. The origin of the name Havel is not clear. Some say it was the warrior who wore the armor, but others say it was the name of a great kingdom ruined in a barbaric war.",IType:
Prompt:,"IName:,","Completion:,",Havel's Gauntlets,IDescription:,"Gauntlets as if hewn from a giant boulder. Highly protective, but excessively heavy. The warriors who followed Havel the Rock never flinched, nor retreated from battle, crushing any foe that stood in their way.",IType:
Prompt:,"IName:,","Completion:,",Heavy Boots,IDescription:,"Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable",IType:
Prompt:,"IName:,","Completion:,",Heide Knight Chainmail,IDescription:,"Chainmail worn by Heide Knights. Whether Heide refers to a kingdom or was just a name for the land is not clear, for no records date back far enough to tell.All that is known is that the Way of Blue has its origins in Heide, and that Heide was later subsumed by the sea.",IType:
Prompt:,"IName:,","Completion:,",Henryk's Hunter Cap,IDescription:,"Hunter's hat worn by Henryk, the old hunter. The taciturn old hunter Henryk was once partners with Father Gascoigne, and though they were a fierce and gallant duo, their partnership led to Henryk's tragically long life. Henryk's unique yellow garb is resistant to bolt and will be of great help to any hunter who has inherited the onus of the hunt.",IType:
Prompt:,"IName:,","Completion:,",Henryk's Hunter Garb,IDescription:,"Hunter's attire worn by Henryk, the old hunter. The taciturn old hunter Henryk was once partners with Father Gascoigne, and though they were a fierce and gallant duo, their partnership led to Henryk's tragically long life. Henryk's unique yellow garb is resistant to bolt and will be of great help to any hunter who has inherited the onus of the hunt.",IType:
Prompt:,"IName:,","Completion:,",Herald Armor,IDescription:,"Steel armor, Leather Gloves and Quilted Trousers said to be worn by Heralds of the Way of White, who deliver commandments of duty. Protection made of steel has excellent physical absorption, but is found lacking against blunt strikes and lightning damage.",IType:
Prompt:,"IName:,","Completion:,",Hexer's Robes,IDescription:,"Grants slight increase to spell uses. Hexing appears to be an offshoot of sorcery, but its specific origins are unknown. Robes worn by a hexer. Belonged to Felkin the Outcast. Those who have a taste of dark are drawn into its vortex and rarely return. Perhaps it appeals to something deep within the human soul.",IType:
Prompt:,"IName:,","Completion:,",Hierodas Glintstone Crown,IDescription:,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.Increases intelligence and endurance to the detriment of FP.The crown of Hierodas was granted to scholars who engaged in nomadic study away from the academy.",IType:
Prompt:,"IName:,","Completion:,",High Page Hood,IDescription:,"Hood of a page selected for special privilege by the noble they serve.The unassuming sack-like appearance benefits their unseen and unknown stature.",IType:
